,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Adam El-Abd,eg EGY,DF,Swindon Town,30,1984,13,13,1153,12.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4eb90566
2,Adam El-Abd,eg EGY,DF,Gillingham,30,1984,8,8,640,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4eb90566
3,Nadjim Abdou,km COM,MF,Millwall,31,1984,29,27,2413,26.8,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,5b7a0657
4,Ché Adams,sct SCO,FWMF,Sheffield United,19,1996,36,29,2633,29.3,11,2,13,10,1,1,5,0,0.38,0.07,0.44,0.34,0.41,Matches,f2bf1b0f
5,Miles Addison,eng ENG,DFMF,Peterborough,26,1989,3,2,181,2.0,1,0,1,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches,ccc9bd95
6,Tobi Adebayo-Rowling,eng ENG,DFMF,Peterborough,18,1996,4,3,211,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a60a16ce
7,Hakeeb Adelakun,eng ENG,FWMF,Scunthorpe,19,1996,21,9,1044,11.6,2,2,4,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches,042d182c
8,Will Aimson,eng ENG,DF,Blackpool,19,1995,15,14,1198,13.3,0,1,1,0,0,0,6,1,0.00,0.08,0.08,0.00,0.08,Matches,4f71beda
9,Callum Ainley,eng ENG,MF,Crewe Alexandra,17,1997,16,6,665,7.4,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,Matches,836e8740
10,Semi Ajayi,ng NGA,DFMF,Crewe Alexandra,21,1993,13,13,1170,13.0,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,d6192210
11,Nicky Ajose,eng ENG,FW,Swindon Town,23,1991,38,38,3313,36.8,24,0,24,21,3,3,0,0,0.65,0.00,0.65,0.57,0.57,Matches,9ba0ea6e
12,Lucas Akins,gd GRN,DFFW,Burton Albion,26,1989,44,31,2918,32.4,12,4,16,10,2,2,3,0,0.37,0.12,0.49,0.31,0.43,Matches,a8e93bd1
13,Femi Akinwande,eng ENG,FW,Colchester,19,1996,2,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,29932be8
14,Jean-Louis Akpa Akpro,ci CIV,FW,Shrewsbury,30,1985,38,16,1855,20.6,6,6,12,6,0,0,5,0,0.29,0.29,0.58,0.29,0.58,Matches,de365d76
15,Craig Alcock,eng ENG,DF,Doncaster,27,1987,27,24,2253,25.0,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,86f6cfd2
16,Craig Alcock,eng ENG,DF,Sheffield United,27,1987,3,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86f6cfd2
17,Tom Aldred,sct SCO,DF,Blackpool,24,1990,42,42,3770,41.9,5,1,6,5,0,0,10,0,0.12,0.02,0.14,0.12,0.14,Matches,2a75e914
18,Lewis Alessandra,eng ENG,FWMF,Rochdale,26,1989,8,3,337,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,c9b22fff
19,Jamie Allen,eng ENG,MF,Rochdale,20,1995,38,35,3064,34.0,3,3,6,3,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches,2c183a79
20,Ben Alnwick,eng ENG,GK,Peterborough,28,1987,39,39,3449,38.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,55b11e73
21,Jak Alnwick,eng ENG,GK,Port Vale,22,1993,41,41,3680,40.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b0835fc0
22,Darren Ambrose,eng ENG,FWMF,Colchester,31,1984,25,13,1147,12.7,4,3,7,4,0,0,2,0,0.31,0.24,0.55,0.31,0.55,Matches,6e5117de
23,Shola Ameobi,ng NGA,FW,Fleetwood Town,33,1981,10,7,599,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,e79a368b
24,Harry Anderson,eng ENG,FWMF,Peterborough,18,1997,5,3,271,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6f940ed
25,Jermaine Anderson,eng ENG,DFMF,Peterborough,19,1996,14,13,1084,12.0,4,4,8,4,0,0,5,1,0.33,0.33,0.66,0.33,0.66,Matches,97d9a4df
26,Keshi Anderson,eng ENG,FWMF,Doncaster,20,1995,7,5,480,5.3,3,0,3,3,0,0,1,0,0.56,0.00,0.56,0.56,0.56,Matches,864a3eba
27,Paul Anderson,eng ENG,MF,Bradford City,27,1988,11,5,448,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b3ab8f5c
28,Tom Anderson,eng ENG,DF,Chesterfield,21,1993,18,18,1569,17.4,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,76e8c264
29,Ebo Andoh,gh GHA,FWMF,Port Vale,22,1993,12,11,839,9.3,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,5099b36e
30,Calvin Andrew,eng ENG,FW,Rochdale,28,1986,30,14,1713,19.0,6,4,10,6,0,0,3,0,0.32,0.21,0.53,0.32,0.53,Matches,4b2711f5
31,Danny Andrew,eng ENG,DFMF,Fleetwood Town,24,1990,9,8,753,8.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,90b57521
32,Lee Angol,eng ENG,FWMF,Peterborough,20,1994,33,24,2128,23.6,11,2,13,11,0,0,5,0,0.47,0.08,0.55,0.47,0.55,Matches,139aeffa
33,Joe Anyon,eng ENG,GK,Scunthorpe,28,1986,8,7,649,7.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1794a512
34,Jordan Archer,sct SCO,GK,Millwall,22,1993,39,39,3445,38.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,480c4a00
35,Gboly Ariyibi,us USA,FWMF,Chesterfield,20,1995,38,27,2531,28.1,2,6,8,2,0,0,2,1,0.07,0.21,0.28,0.07,0.28,Matches,37849392
36,Adam Armstrong,eng ENG,FWMF,Coventry City,18,1997,40,38,3430,38.1,20,5,25,18,2,2,2,0,0.52,0.13,0.66,0.47,0.60,Matches,68c720b5
37,Chris Atkinson,eng ENG,MF,Crewe Alexandra,23,1992,15,7,731,8.1,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,d0ce3b79
38,Will Atkinson,eng ENG,MF,Southend United,26,1988,36,29,2438,27.1,2,2,4,2,0,0,9,0,0.07,0.07,0.15,0.07,0.15,Matches,a16b77f1
39,Daniel Bachmann,at AUT,GK,Bury,21,1994,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1c0eea98
40,James Baillie,eng ENG,DF,Crewe Alexandra,19,1996,3,1,149,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cef12475
41,Zoumana Bakayogo,ci CIV,DF,Crewe Alexandra,28,1986,22,16,1455,16.2,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,1d2647b1
42,Jack Baldwin,eng ENG,DFMF,Peterborough,22,1993,18,17,1541,17.1,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,Matches,8ae7c4f9
43,David Ball,eng ENG,FWMF,Fleetwood Town,25,1989,37,26,2131,23.7,4,2,6,4,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matches,c538e9e7
44,Jeremy Balmy,fr FRA,FW,Swindon Town,21,1994,12,1,228,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f0c36ef2
