,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Victor Adeboyejo,eng ENG,FW,Burton Albion,24,1998,26,24,2041,22.7,11,2,13,9,2,2,1,0,0.49,0.09,0.57,0.40,0.49,Matches,e3c24495
2,Victor Adeboyejo,eng ENG,FW,Bolton,24,1998,16,10,877,9.7,3,1,4,3,0,0,0,0,0.31,0.10,0.41,0.31,0.41,Matches,e3c24495
3,Korede Adedoyin,ng NGA,FW,Accrington,21,2000,19,4,691,7.7,3,0,3,3,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,9af1b8c2
4,Leslie Adekoya,ie IRL,FW,Accrington,18,2004,7,0,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,09c60c46
5,Hakeeb Adelakun,eng ENG,FW,Lincoln City,26,1996,2,2,160,1.8,0,1,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,Matches,042d182c
6,Dennis Adeniran,eng ENG,MF,Sheffield Weds,23,1999,22,9,871,9.7,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,506eff98
7,Daniel Adshead,eng ENG,MF,Cheltenham,20,2001,11,2,325,3.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8f817fc7
8,Dapo Afolayan,eng ENG,FWMF,Bolton,24,1997,22,13,1249,13.9,3,2,5,3,0,0,2,0,0.22,0.14,0.36,0.22,0.36,Matches,5054c359
9,Derek Agyakwa,nl NED,DF,Port Vale,20,2001,1,0,56,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9a71137f
10,Will Aimson,eng ENG,DF,Exeter City,26,1995,18,18,1610,17.9,0,2,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,4f71beda
11,Will Aimson,eng ENG,DF,Bolton,26,1995,11,9,826,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4f71beda
12,Jack Aitchison,sct SCO,FWMF,Barnsley,22,2000,20,15,1103,12.3,3,0,3,3,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,cd3110c7
13,David Ajiboye,eng ENG,MF,Peterborough,23,1998,4,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b1e9f24
14,Sone Aluko,ng NGA,MF,Ipswich Town,33,1989,14,4,443,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,5a75d4cc
15,Jordan Amissah,gh GHA,GK,Burton Albion,20,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50fc4c0a
