,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,George Abbott,eng ENG,MF,Wycombe,19,2005,11,6,584,6.5,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,56628958
2,George Abbott,eng ENG,MF,Mansfield Town,19,2005,10,6,517,5.7,1,1,2,1,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches,56628958
3,Azeem Abdulai,sct SCO,MF,Leyton Orient,22,2002,37,18,1760,19.6,1,1,2,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10,Matches,a0893a41
4,Kelvin Abrefa,eng ENG,DFMF,Reading,21,2003,22,12,1139,12.7,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,ceabce33
5,Tayo Adaramola,ie IRL,DFMF,Leyton Orient,21,2003,15,14,1051,11.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,c150b220
6,Corey Addai,jm JAM,GK,Stockport,27,1997,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a95f407f
7,Elijah Adebayo,eng ENG,FW,Luton Town,27,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0480ebc7
8,Victor Adeboyejo,eng ENG,FW,Mansfield Town,27,1998,14,7,587,6.5,1,1,2,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,Matches,e3c24495
9,Babajide Adeeko,ie IRL,MF,Wigan Athletic,22,2003,7,2,220,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d4bbd51
10,Emmanuel Adegboyega,ie IRL,DF,Rotherham,21,2003,11,7,589,6.5,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,45dde494
11,Hakeeb Adelakun,eng ENG,MFFW,Doncaster,29,1996,19,14,1163,12.9,2,2,4,2,0,0,0,0,0.15,0.15,0.31,0.15,0.31,Matches,042d182c
12,Pemi Aderoju,eng ENG,FW,Peterborough,20,2005,17,1,329,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,b9ea0048
13,Kain Adom,,FW,Burton Albion,,,13,6,426,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e532e0a9
14,Lenny Agbaire,sct SCO,DF,Rotherham,20,2005,18,12,1005,11.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cb2228fe
15,Ashqar Ahmed,,DF,Reading,,,9,8,543,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,aa0e5f3f
16,Will Aimson,eng ENG,DF,Wigan Athletic,29,1995,43,43,3839,42.7,1,0,1,1,0,0,8,0,0.02,0.00,0.02,0.02,0.02,Matches,4f71beda
