 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
374,Oli Johnson,eng ENG,FW,Yeovil Town,23,1987,6,5,399,4.4,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,e01a4c75
375,Réda Johnson,bj BEN,DF,Sheffield Weds,23,1988,24,22,1983,22.0,7,0,7,7,0,0,7,0,0.32,0.00,0.32,0.32,0.32,4bd05969
376,Sam Johnstone,eng ENG,GK,Scunthorpe,18,1993,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,9e5708be
377,Andrai Jones,eng ENG,DF,Bury,19,1992,11,9,805,8.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,d47f08d3
378,Billy Jones,eng ENG,DF,Exeter City,28,1983,19,16,1405,15.6,1,3,4,1,0,0,2,0,0.06,0.19,0.26,0.06,0.26,4a7da20c
379,Daniel Jones,eng ENG,DFMF,Sheffield Weds,24,1986,3,1,64,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,4d8c6d57
380,Gary Jones,eng ENG,MF,Rochdale,34,1977,45,45,4050,45.0,5,6,11,3,2,4,2,0,0.11,0.13,0.24,0.07,0.20,0f95466a
381,Jamie Jones,eng ENG,GK,Leyton Orient,22,1989,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8bba5887
382,Mike Jones,eng ENG,MF,Sheffield Weds,23,1987,10,6,507,5.6,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,a8771fa1
383,Mike Jones,eng ENG,MF,Bury,23,1987,24,24,2027,22.5,3,4,7,3,0,0,1,0,0.13,0.18,0.31,0.13,0.31,a8771fa1
384,Nathan Jones,wls WAL,DF,Yeovil Town,38,1973,22,21,1700,18.9,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,6c212a97
385,Rob Jones,eng ENG,DF,Sheffield Weds,31,1979,33,32,2586,28.7,4,2,6,4,0,0,10,0,0.14,0.07,0.21,0.14,0.21,ca7aff54
386,Stephen Jordan,eng ENG,DF,Rochdale,29,1982,19,17,1491,16.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1a3d94b5
387,Jimmy Juan,fr FRA,MF,Chesterfield,28,1983,7,6,413,4.6,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,d0447a50
388,Alan Judge,ie IRL,FWMF,Notts County,22,1988,43,40,3358,37.3,7,12,19,7,0,0,6,0,0.19,0.32,0.51,0.19,0.51,3d9ef282
389,Alan Julian,nir NIR,GK,Stevenage,28,1983,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6634408e
390,Antony Kay,eng ENG,DFMF,Huddersfield,28,1982,28,25,2249,25.0,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,44717a3c
391,Michael Kay,eng ENG,DF,Tranmere Rovers,21,1989,6,4,407,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,68fdb9a3
392,Jake Kean,eng ENG,GK,Rochdale,20,1991,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,66d29ce7
393,Julian Kelly,eng ENG,DFMF,Notts County,21,1989,32,29,2465,27.4,3,1,4,3,0,0,2,1,0.11,0.04,0.15,0.11,0.15,cc8ac569
394,Jason Kennedy,eng ENG,MF,Rochdale,24,1986,44,38,3329,37.0,4,2,6,4,0,0,2,0,0.11,0.05,0.16,0.11,0.16,d49a1592
395,Jimmy Keohane,ie IRL,DFMF,Exeter City,20,1991,4,0,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,76b2019e
396,Yann Kermorgant,fr FRA,FW,Charlton Athletic,29,1981,36,33,2992,33.2,12,2,14,12,0,0,6,0,0.36,0.06,0.42,0.36,0.42,0172d6cc
397,Jesse Kewley-Graham,eng ENG,MF,Wycombe,17,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,ef5a1dbd
398,Artur Krysiak,pl POL,GK,Exeter City,21,1989,38,38,3364,37.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,603d2869
399,Shefki Kuqi,fi FIN,FW,Oldham Athletic,34,1976,40,39,3320,36.9,11,2,13,8,3,3,6,0,0.30,0.05,0.35,0.22,0.27,1e05027f
400,Péter Kurucz,hu HUN,GK,Rochdale,23,1988,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dedc6acd
401,Joss Labadie,eng ENG,MF,Tranmere Rovers,20,1990,27,9,1090,12.1,5,1,6,4,1,1,7,0,0.41,0.08,0.50,0.33,0.41,57fdfc19
