,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
660,Scott Shearer,sct SCO,GK,Rotherham,32,1981,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,bd106774
661,Alan Sheehan,ie IRL,DF,Notts County,26,1986,42,42,3666,40.7,7,7,14,2,5,6,9,1,0.17,0.17,0.34,0.05,0.22,0e39bdaa
662,Nicky Shorey,eng ENG,DFMF,Bristol City,32,1981,14,11,1076,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,9665e2ea
663,Enoch Showunmi,ng NGA,FW,Notts County,31,1982,14,9,690,7.7,3,1,4,3,0,0,0,0,0.39,0.13,0.52,0.39,0.52,8fb89c41
664,Robin Shroot,nir NIR,MF,Stevenage,25,1988,10,6,611,6.8,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,9f36493b
665,Chris Shuker,eng ENG,MF,Port Vale,31,1982,9,1,224,2.5,0,1,1,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,c9fd80f9
666,Björn Sigurðarson,is ISL,FW,Wolves,22,1991,18,7,698,7.8,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,bb79b58f
667,Josh Simpson,eng ENG,MF,Crawley Town,26,1987,38,37,3206,35.6,2,0,2,2,0,0,0,0,0.06,0.00,0.06,0.06,0.06,ded86fdd
668,Robbie Simpson,eng ENG,FW,Leyton Orient,28,1985,14,5,474,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cf5c05d2
669,Emile Sinclair,eng ENG,FW,Crawley Town,25,1987,15,9,730,8.1,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,cf6214ef
670,Joe Skarz,eng ENG,DF,Rotherham,24,1989,41,39,3515,39.1,2,2,4,2,0,0,2,0,0.05,0.05,0.10,0.05,0.10,ab8c03de
671,Denzel Slager,cw CUW,FW,Coventry City,20,1993,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b8855377
672,Richard Smallwood,eng ENG,MF,Rotherham,22,1990,18,17,1415,15.7,0,1,1,0,0,0,2,1,0.00,0.06,0.06,0.00,0.06,c2c0306f
673,Alan Smith,eng ENG,FWMF,MK Dons,32,1980,24,14,1314,14.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,fdac06ea
674,Alex Smith,eng ENG,DF,Swindon Town,21,1991,8,5,479,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,1c8af6eb
675,Connor Smith,ie IRL,MF,Gillingham,20,1993,10,6,500,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,fe59ca89
676,Jimmy Smith,eng ENG,MF,Stevenage,26,1987,42,40,3411,37.9,3,3,6,3,0,0,4,1,0.08,0.08,0.16,0.08,0.16,5ed1816c
677,Korey Smith,eng ENG,DFMF,Oldham Athletic,22,1991,42,42,3780,42.0,1,2,3,1,0,0,2,0,0.02,0.05,0.07,0.02,0.07,b80dbb09
678,Manny Smith,eng ENG,DF,Notts County,24,1988,24,20,1923,21.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,8b23fc58
679,Michael Smith,eng ENG,FW,Swindon Town,21,1991,20,20,1747,19.4,8,1,9,6,2,2,4,0,0.41,0.05,0.46,0.31,0.36,b93da142
680,Akpo Sodje,eng ENG,FW,Tranmere Rovers,33,1980,9,3,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,81a82237
681,Jordan Spence,eng ENG,DF,MK Dons,23,1990,29,29,2610,29.0,2,1,3,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,f7780381
682,Mason Spence,wls WAL,DF,Colchester,18,1994,1,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e011aa63
683,Jimmy Spencer,eng ENG,FW,Notts County,21,1991,13,13,1091,12.1,5,0,5,5,0,0,2,1,0.41,0.00,0.41,0.41,0.41,dcd41652
684,Fabian Spiess,de GER,GK,Notts County,19,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d94e32df
685,Jon Stead,eng ENG,FW,Oldham Athletic,30,1983,5,4,312,3.5,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,aba66ab7
686,Jon Stead,eng ENG,FW,Bradford City,30,1983,8,8,653,7.3,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,aba66ab7
687,Richard Stearman,eng ENG,DF,Wolves,25,1987,40,39,3389,37.7,2,1,3,2,0,0,2,1,0.05,0.03,0.08,0.05,0.08,9a3a436e
688,Jack Stephens,eng ENG,DF,Swindon Town,19,1994,10,10,900,10.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,6adbc307
689,Enda Stevens,ie IRL,DFMF,Notts County,23,1990,2,2,135,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,17d4507a
690,Jayden Stockley,eng ENG,FW,Leyton Orient,19,1993,8,0,60,0.7,1,0,1,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,7da19fab
691,Cole Stockton,eng ENG,FW,Tranmere Rovers,19,1994,21,2,451,5.0,2,0,2,2,0,0,1,0,0.40,0.00,0.40,0.40,0.40,d42bffd4
692,Miles Storey,eng ENG,FWMF,Swindon Town,19,1994,18,7,776,8.6,3,0,3,3,0,0,1,0,0.35,0.00,0.35,0.35,0.35,f9419d95
693,Miles Storey,eng ENG,FWMF,Shrewsbury,19,1994,6,4,381,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f9419d95
694,Luke Summerfield,eng ENG,DFMF,Shrewsbury,25,1987,28,24,2079,23.1,1,3,4,1,0,0,1,0,0.04,0.13,0.17,0.04,0.17,cb1bb889
