,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Thelo Aasgaard,no NOR,MF,Wigan Athletic,22,2002,26,23,2082,23.1,9,1,10,9,0,0,1,0,0.39,0.04,0.43,0.39,0.43,Matches,c88a28b9
2,Azeem Abdulai,sct SCO,MFFW,Leyton Orient,21,2002,21,11,1047,11.6,4,1,5,4,0,0,4,0,0.34,0.09,0.43,0.34,0.43,Matches,a0893a41
3,Dave Abimbola,,FW,Bolton,,,4,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa79bfc8
4,Ken Aboh,eng ENG,FWMF,Stevenage,19,2004,3,0,61,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,282cee33
5,Kelvin Abrefa,eng ENG,DF,Reading,20,2003,27,11,1182,13.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
6,Tayo Adaramola,ie IRL,DFMF,Stockport,20,2003,6,3,253,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c150b220
7,Corey Addai,jm JAM,GK,Stockport,26,1997,29,28,2521,28.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a95f407f
8,Rio Adebisi,eng ENG,DFMF,Peterborough,23,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94fe66e5
9,Victor Adeboyejo,eng ENG,FW,Bolton,26,1998,27,12,1190,13.2,3,0,3,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,e3c24495
10,Babajide Adeeko,ie IRL,MF,Wigan Athletic,21,2003,31,23,2020,22.4,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches,6d4bbd51
11,Ade Adeyemo,eng ENG,MF,Crawley Town,26,1998,29,11,1162,12.9,4,0,4,4,0,0,3,0,0.31,0.00,0.31,0.31,0.31,Matches,ceb7a48e
12,Dan Agyei,gh GHA,MFFW,Leyton Orient,27,1997,41,31,2608,29.0,7,8,15,7,0,0,4,0,0.24,0.28,0.52,0.24,0.52,Matches,5c374509
13,Ashqar Ahmed,,DF,Reading,,,5,0,63,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aa0e5f3f
14,Will Aimson,eng ENG,DF,Wigan Athletic,28,1995,43,42,3701,41.1,0,1,1,0,0,0,7,1,0.00,0.02,0.02,0.00,0.02,Matches,4f71beda
15,Jack Aitchison,sct SCO,MF,Exeter City,24,2000,28,22,1791,19.9,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,cd3110c7
16,David Ajiboye,eng ENG,MFDF,Peterborough,25,1998,6,2,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b1e9f24
17,Adrian Akande,ng NGA,FW,Reading,20,2003,15,4,442,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,981c64ea
18,Lucas Akins,gd GRN,FWMF,Mansfield Town,35,1989,34,29,2639,29.3,2,4,6,2,0,1,3,0,0.07,0.14,0.20,0.07,0.20,Matches,a8e93bd1
19,Nick Akoto,us USA,MFDF,Burton Albion,25,1998,14,6,620,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,614b5a2b
20,Millenic Alli,ie IRL,FWMF,Exeter City,24,2000,25,19,1767,19.6,9,1,10,9,0,1,2,0,0.46,0.05,0.51,0.46,0.51,Matches,b639311c
21,Ryan Allsop,eng ENG,GK,Birmingham City,32,1992,38,38,3419,38.0,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,af615123
22,Karoy Anderson,jm JAM,MF,Charlton Athletic,19,2004,38,16,1669,18.5,2,0,2,2,0,0,8,0,0.11,0.00,0.11,0.11,0.11,Matches,fb69f073
23,Keshi Anderson,eng ENG,MF,Birmingham City,29,1995,37,27,2206,24.5,7,5,12,7,0,0,6,0,0.29,0.20,0.49,0.29,0.49,Matches,864a3eba
24,Max Anderson,sct SCO,MF,Crawley Town,23,2001,39,32,2510,27.9,3,3,6,3,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches,e8d431fb
25,Taylor Anderson,eng ENG,DF,Mansfield Town,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1dd87dad
26,Benoný Andrésson,is ISL,FW,Stockport,18,2005,11,2,279,3.1,4,0,4,4,0,0,0,0,1.29,0.00,1.29,1.29,1.29,Matches,cae4429c
27,Danny Andrew,eng ENG,DFMF,Cambridge,33,1990,32,25,2287,25.4,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12,Matches,90b57521
28,Joseph Andrews,wls WAL,MF,Peterborough,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0eec957
29,Chuks Aneke,eng ENG,FWMF,Charlton Athletic,31,1993,26,0,637,7.1,1,5,6,1,0,0,3,1,0.14,0.71,0.85,0.14,0.85,Matches,c3afe72e
30,Louis Appere,sct SCO,FW,Stevenage,25,1999,17,7,634,7.0,0,2,2,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches,fb4de109
31,Rob Apter,sct SCO,MF,Blackpool,21,2003,45,40,3201,35.6,8,3,11,8,0,0,0,0,0.22,0.08,0.31,0.22,0.31,Matches,1c12ee0a
32,Scott Arfield,ca CAN,MF,Bolton,35,1988,12,3,312,3.5,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,b1313ec4
33,Jack Armer,sct SCO,DF,Burton Albion,23,2001,38,33,3065,34.1,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,e521925c
34,Maleace Asamoah,eng ENG,FWMF,Wigan Athletic,21,2002,16,10,878,9.8,1,1,2,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,Matches,b3038e9f
35,Taye Ashby-Hammond,eng ENG,GK,Stevenage,25,1999,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d42adb69
36,Zachary Ashworth,wls WAL,DF,Blackpool,21,2002,6,1,185,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d813936f
37,Femi Azeez,ng NGA,MF,Reading,23,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d590087
38,Keanu Baccus,au AUS,MF,Mansfield Town,26,1998,39,32,2673,29.7,4,7,11,4,0,0,7,0,0.13,0.24,0.37,0.13,0.37,Matches,19df2bf7
39,Fin Back,eng ENG,DF,Wycombe,21,2002,2,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,328ad94f
40,Elkan Baggott,id IDN,DF,Blackpool,21,2002,18,15,1332,14.8,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,a0e00e23
41,Odin Bailey,eng ENG,MF,Stockport,24,1999,30,8,985,10.9,2,2,4,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches,549ecd3e
42,Geraldo Bajrami,al ALB,DF,Burton Albion,24,1999,1,0,15,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ef196028
43,Tyreeq Bakinson,eng ENG,MF,Wycombe,25,1998,25,10,891,9.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f918369c
44,Jack Baldwin,eng ENG,DF,Northampton,31,1993,22,11,1133,12.6,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,8ae7c4f9
45,Radinio Balker,sr SUR,DF,Huddersfield,25,1998,14,10,774,8.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2c86ea07
46,Dominic Ball,eng ENG,MF,Leyton Orient,28,1995,31,11,1276,14.2,0,2,2,0,0,0,6,0,0.00,0.14,0.14,0.00,0.14,Matches,79d61875
47,Dominic Ballard,eng ENG,FWMF,Blackpool,19,2005,18,10,793,8.8,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,ed8d597c
48,Dominic Ballard,eng ENG,FW,Cambridge,19,2005,17,11,960,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches,ed8d597c
49,Alex Bannon,sct SCO,DFMF,Burton Albion,20,2003,9,9,732,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fb3fc955
50,Charlie Barker,eng ENG,DF,Crawley Town,21,2003,39,37,3365,37.4,1,1,2,1,0,0,10,0,0.03,0.03,0.05,0.03,0.05,Matches,0b50e7e6
51,Ryan Barnett,eng ENG,DFMF,Wrexham,24,1999,40,31,2867,31.9,2,9,11,2,0,0,1,0,0.06,0.28,0.35,0.06,0.35,Matches,dfe6cd27
52,Connor Barrett,eng ENG,DF,Barnsley,22,2002,5,1,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b26cd24
53,Louie Barry,eng ENG,MFFW,Stockport,21,2003,23,22,1787,19.9,15,3,18,11,4,4,2,0,0.76,0.15,0.91,0.55,0.71,Matches,bd885979
54,Jaiden Bartolo,gi GIB,FW,Wycombe,18,2006,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8af98e2
55,Daniel Barton,eng ENG,MFFW,Cambridge,19,2005,16,6,614,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aca6e8e3
56,Lewis Bate,eng ENG,MF,Stockport,21,2002,32,28,2371,26.3,2,4,6,2,0,0,5,0,0.08,0.15,0.23,0.08,0.23,Matches,cd4256d3
57,Ellis Bates,,DF,Stevenage,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,306eba32
58,Nathan Baxter,eng ENG,GK,Bolton,25,1998,26,26,2340,26.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,5cfbc814
59,Tom Bayliss,eng ENG,MF,Lincoln City,25,1999,34,22,2013,22.4,3,4,7,3,0,0,4,0,0.13,0.18,0.31,0.13,0.31,Matches,527f75c6
60,Omar Beckles,gd GRN,DF,Leyton Orient,32,1991,32,29,2653,29.5,3,0,3,3,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Matches,668005c9
61,Jake Beesley,eng ENG,FWMF,Blackpool,27,1996,22,3,484,5.4,1,1,2,1,0,0,3,1,0.19,0.19,0.37,0.19,0.37,Matches,71df6e0e
62,Liam Bennett,eng ENG,MFDF,Cambridge,22,2001,41,34,2997,33.3,1,3,4,1,0,0,6,0,0.03,0.09,0.12,0.03,0.12,Matches,f397e01d
63,Mason Bennett,eng ENG,MFFW,Burton Albion,28,1996,34,15,1423,15.8,2,0,2,1,1,1,7,0,0.13,0.00,0.13,0.06,0.06,Matches,aba031ad
64,Malvind Benning,eng ENG,DFMF,Shrewsbury,30,1993,44,39,3622,40.2,3,5,8,2,1,1,10,0,0.07,0.12,0.20,0.05,0.17,Matches,f7722d79
65,Josh Benson,eng ENG,MF,Barnsley,24,1999,14,2,407,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches,bf3aeb61
66,James Berry,eng ENG,MF,Wycombe,23,2000,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d98d54f
67,Luke Berry,eng ENG,MF,Charlton Athletic,32,1992,41,32,2420,26.9,7,5,12,7,0,0,9,0,0.26,0.19,0.45,0.26,0.45,Matches,2aaadf33
68,Krystian Bielik,pl POL,DF,Birmingham City,26,1998,32,20,1843,20.5,1,0,1,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,Matches,8e0ec853
69,Harrison Biggins,eng ENG,MF,Shrewsbury,28,1996,17,7,729,8.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a98a15b2
