,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Pawel Abbott,pl POL,FW,Charlton Athletic,28,1982,17,10,1003,11.1,1,4,5,1,0,0,1,0,0.09,0.36,0.45,0.09,0.45,58ea998c
2,Adam El-Abd,eg EGY,DF,Brighton,25,1984,37,36,3097,34.4,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,4eb90566
3,Nicky Adams,wls WAL,MF,Rochdale,23,1986,30,25,2096,23.3,0,12,12,0,0,0,2,0,0.00,0.52,0.52,0.00,0.52,a1a33d78
4,Nicky Adams,wls WAL,MF,Brentford,23,1986,7,3,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a1a33d78
5,Benik Afobe,cd COD,FW,Huddersfield,17,1993,28,14,1430,15.9,5,6,11,5,0,0,0,0,0.31,0.38,0.69,0.31,0.69,b63f4077
6,John Akinde,eng ENG,FW,Dag & Red,21,1989,9,8,622,6.9,2,1,3,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43,93a09a47
7,John Akinde,eng ENG,FW,Bristol Rovers,21,1989,14,9,758,8.4,0,2,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,93a09a47
8,Lucas Akins,gd GRN,DFFW,Tranmere Rovers,21,1989,33,23,1990,22.1,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,a8e93bd1
9,Jean-Louis Akpa Akpro,ci CIV,FW,Rochdale,25,1985,32,8,951,10.6,4,1,5,4,0,0,2,0,0.38,0.09,0.47,0.38,0.47,de365d76
10,Craig Alcock,eng ENG,DF,Yeovil Town,22,1987,26,19,1761,19.6,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,86f6cfd2
11,Lewis Alessandra,eng ENG,FWMF,Oldham Athletic,21,1989,19,10,874,9.7,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,c9b22fff
12,Gary Alexander,eng ENG,FW,Brentford,30,1979,38,37,3086,34.3,9,3,12,8,1,1,3,0,0.26,0.09,0.35,0.23,0.32,de915071
13,Kevin Amankwaah,eng ENG,DF,Swindon Town,28,1982,19,17,1505,16.7,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,374416f1
14,David Amoo,eng ENG,DFFW,MK Dons,19,1991,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3c1c24d0
15,Ben Amos,eng ENG,GK,Oldham Athletic,20,1990,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f6799cd2
16,Mikkel Andersen,dk DEN,GK,Bristol Rovers,21,1988,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,63e905bc
17,Jon André Fredriksen,no NOR,MF,Hartlepool,28,1982,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,471b0b4b
18,Helio André,ao ANG,FW,Rochdale,17,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,665d8668
19,Calvin Andrew,eng ENG,FW,Swindon Town,23,1986,10,9,810,9.0,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,4b2711f5
20,Casper Ankergren,dk DEN,GK,Brighton,30,1979,45,45,3977,44.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,328953a1
21,Byron Anthony,wls WAL,DF,Bristol Rovers,25,1984,37,36,3261,36.2,3,1,4,3,0,0,9,0,0.08,0.03,0.11,0.08,0.11,3d7311dd
22,Will Antwi,gh GHA,DF,Dag & Red,27,1982,11,9,881,9.8,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,2cf8fa87
23,Joe Anyinsah,eng ENG,FW,Charlton Athletic,25,1984,19,14,925,10.3,3,1,4,3,0,0,0,0,0.29,0.10,0.39,0.29,0.39,6f4a2915
24,Mark Arber,za RSA,DF,Dag & Red,32,1977,44,44,3960,44.0,2,2,4,2,0,0,2,0,0.05,0.05,0.09,0.05,0.09,6fd6c41c
