,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
36,Nick Awford,eng ENG,MF,Portsmouth,17,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,36c553f5
37,Luke Ayling,eng ENG,DFMF,Yeovil Town,20,1991,39,38,3400,37.8,0,3,3,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,420d7c7d
38,Ade Azeez,eng ENG,FW,Leyton Orient,18,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c7b4fa70
39,James Bailey,eng ENG,DFMF,Coventry City,23,1988,30,29,2571,28.6,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,c16d7863
40,Zoumana Bakayogo,ci CIV,DF,Tranmere Rovers,25,1986,46,46,4092,45.5,5,1,6,5,0,0,5,0,0.11,0.02,0.13,0.11,0.13,1d2647b1
41,Carl Baker,eng ENG,MF,Coventry City,29,1982,43,41,3619,40.2,12,8,20,10,2,2,5,0,0.30,0.20,0.50,0.25,0.45,9ab0af00
42,Ángelo Balanta,co COL,FWMF,MK Dons,22,1990,12,11,834,9.3,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,91f37c8f
43,Ángelo Balanta,co COL,FWMF,Yeovil Town,22,1990,6,4,333,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,91f37c8f
44,George Baldock,gr GRE,DFMF,MK Dons,19,1993,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,394854c4
45,Jack Baldwin,eng ENG,DFMF,Hartlepool,19,1993,32,28,2508,27.9,2,3,5,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,8ae7c4f9
46,Callum Ball,eng ENG,FW,Coventry City,19,1992,15,6,625,6.9,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,8ecb0ec5
47,Jordan Ball,eng ENG,FW,Doncaster,18,1993,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fd797477
48,Matt Ball,nir NIR,MF,Stevenage,19,1993,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5acfcd08
49,Patrick Bamford,eng ENG,FWMF,MK Dons,18,1993,14,11,987,11.0,4,1,5,4,0,0,2,0,0.36,0.09,0.46,0.36,0.46,93feac6e
50,Andy Barcham,eng ENG,FWMF,Scunthorpe,25,1986,34,23,2139,23.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,75d942ab
51,Lee Barnard,eng ENG,FW,Oldham Athletic,28,1984,14,14,1086,12.1,3,0,3,3,0,0,1,0,0.25,0.00,0.25,0.25,0.25,fceb93cc
52,Lee Barnard,eng ENG,FW,Bournemouth,28,1984,15,15,1203,13.4,4,1,5,4,0,0,1,0,0.30,0.07,0.37,0.30,0.37,fceb93cc
53,Scott Barron,eng ENG,DFMF,Brentford,26,1985,12,5,544,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,f044c24e
54,Adam Barton,nir NIR,MF,Coventry City,21,1991,22,14,1172,13.0,3,1,4,3,0,0,1,0,0.23,0.08,0.31,0.23,0.31,a36b02fd
55,Shaun Batt,eng ENG,FWMF,Leyton Orient,25,1987,11,7,613,6.8,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,74c0ce72
56,Mathieu Baudry,fr FRA,DF,Leyton Orient,24,1988,24,22,1875,20.8,3,2,5,3,0,0,4,0,0.14,0.10,0.24,0.14,0.24,f3c2e308
57,James Baxendale,eng ENG,MF,Walsall,19,1992,32,23,1827,20.3,4,3,7,4,0,0,2,0,0.20,0.15,0.34,0.20,0.34,5db90096
58,Jose Baxter,eng ENG,FWMF,Oldham Athletic,20,1992,39,34,3114,34.6,13,6,19,10,3,5,9,0,0.38,0.17,0.55,0.29,0.46,185990eb
