,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Adam El-Abd,eg EGY,DF,Stevenage,34,1984,2,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4eb90566
2,Tristan Abrahams,eng ENG,FW,Newport County,20,1998,33,17,1799,20.0,4,3,7,2,2,3,5,0,0.20,0.15,0.35,0.10,0.25,Matches,cfd667ae
3,Ebou Adams,gm GAM,MF,Forest Green,23,1996,34,30,2763,30.7,4,4,8,4,0,0,9,0,0.13,0.13,0.26,0.13,0.26,Matches,84d7ae33
4,Kielen Adams,eng ENG,FW,Oldham Athletic,18,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,453fa582
5,Nicky Adams,wls WAL,MF,Northampton,32,1986,37,37,3166,35.2,1,12,13,1,0,0,2,0,0.03,0.34,0.37,0.03,0.37,Matches,a1a33d78
6,Alex Addai,eng ENG,FW,Cheltenham,25,1993,25,7,874,9.7,4,1,5,4,0,0,3,1,0.41,0.10,0.51,0.41,0.51,Matches,2ae8286c
7,Elijah Adebayo,eng ENG,FW,Walsall,21,1998,30,15,1542,17.1,8,1,9,8,0,0,2,0,0.47,0.06,0.53,0.47,0.53,Matches,0480ebc7
8,Rio Adebisi,eng ENG,DF,Crewe Alexandra,18,2000,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94fe66e5
9,Manny Adebowale,eng ENG,DF,Crawley Town,21,1997,1,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b540029
10,Victor Adeboyejo,eng ENG,FW,Cambridge,21,1998,8,7,601,6.7,0,2,2,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,e3c24495
11,Dapo Afolayan,eng ENG,FWMF,Mansfield Town,21,1997,6,0,134,1.5,1,0,1,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches,5054c359
12,Will Aimson,eng ENG,DF,Plymouth Argyle,23,1995,5,5,405,4.5,2,0,2,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,4f71beda
13,Callum Ainley,eng ENG,MFFW,Crewe Alexandra,21,1997,25,6,794,8.8,2,4,6,2,0,0,1,0,0.23,0.45,0.68,0.23,0.68,Matches,836e8740
14,Jack Aitchison,sct SCO,MFFW,Forest Green,19,2000,28,23,2047,22.7,5,5,10,5,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches,cd3110c7
15,Nicky Ajose,eng ENG,FW,Exeter City,27,1991,13,10,770,8.6,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,9ba0ea6e
16,Jean-Louis Akpa Akpro,ci CIV,FW,Oldham Athletic,34,1985,3,3,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de365d76
17,Hope Akpan,ng NGA,MF,Bradford City,27,1991,19,13,1221,13.6,3,0,3,3,0,0,4,0,0.22,0.00,0.22,0.22,0.22,Matches,1ccbca79
18,James Alabi,eng ENG,FW,Leyton Orient,24,1994,10,0,122,1.4,1,0,1,1,0,0,0,0,0.74,0.00,0.74,0.74,0.74,Matches,1c7b983d
19,Lewis Alessandra,eng ENG,FWMF,Morecambe,30,1989,22,21,1708,19.0,5,2,7,5,0,0,7,1,0.26,0.11,0.37,0.26,0.37,Matches,c9b22fff
20,Lewis Alessandra,eng ENG,FW,Carlisle United,30,1989,10,10,822,9.1,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,c9b22fff
21,Tarryn Allarakhia,tz TAN,MFFW,Crawley Town,21,1997,19,7,770,8.6,0,2,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,81db2ca6
22,Taylor Allen,eng ENG,FW,Forest Green,19,2000,5,2,201,2.2,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,e9c56e6e
23,Pádraig Amond,ie IRL,FW,Newport County,31,1988,33,26,2271,25.2,8,2,10,7,1,2,2,0,0.32,0.08,0.40,0.28,0.36,Matches,75499f71
24,David Amoo,eng ENG,FW,Port Vale,28,1991,32,30,2619,29.1,4,3,7,4,0,0,1,0,0.14,0.10,0.24,0.14,0.24,Matches,3c1c24d0
25,Jermaine Anderson,eng ENG,MF,Bradford City,23,1996,5,3,207,2.3,1,0,1,1,0,0,2,0,0.43,0.00,0.43,0.43,0.43,Matches,97d9a4df
26,Keshi Anderson,eng ENG,MF,Swindon Town,24,1995,20,17,1300,14.4,6,5,11,6,0,0,2,0,0.42,0.35,0.76,0.42,0.76,Matches,864a3eba
27,Paul Anderson,eng ENG,MF,Northampton,31,1988,18,17,1174,13.0,1,3,4,1,0,0,5,0,0.08,0.23,0.31,0.08,0.31,Matches,b3ab8f5c
28,Nick Anderton,eng ENG,DF,Carlisle United,23,1996,10,10,883,9.8,2,1,3,2,0,0,5,0,0.20,0.10,0.31,0.20,0.31,Matches,cb03c4d4
29,Bruno Andrade,pt POR,MF,Salford City FC,25,1993,7,6,565,6.3,0,2,2,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matches,6e87c80f
30,Chuma Anene,no NOR,FW,Crewe Alexandra,26,1993,28,12,1275,14.2,7,1,8,7,0,0,0,0,0.49,0.07,0.56,0.49,0.56,Matches,43718610
31,Lee Angol,eng ENG,FWMF,Leyton Orient,24,1994,26,20,1704,18.9,4,2,6,2,2,2,5,0,0.21,0.11,0.32,0.11,0.21,Matches,139aeffa
32,Jordan Archer,eng ENG,FW,Port Vale,25,1993,3,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,44040414
33,Theo Archibald,sct SCO,MF,Macclesfield,21,1998,28,23,2158,24.0,4,2,6,4,0,0,6,0,0.17,0.08,0.25,0.17,0.25,Matches,8bb20652
34,Luke Armstrong,eng ENG,FW,Salford City FC,23,1996,21,12,1016,11.3,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,d6556450
