,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Ahmed Abdulla,sa KSA,DFMF,Dag & Red,19,1991,5,4,322,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,031452d6
2,Ahmed Abdulla,sa KSA,DFMF,Swindon Town,19,1991,6,1,208,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,031452d6
3,Patrick Ada,cm CMR,DF,Burton Albion,26,1985,9,5,493,5.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,b0f672b6
4,Blair Adams,eng ENG,DF,Northampton,19,1991,22,21,1876,20.8,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,739a0921
5,Charles Ademeno,eng ENG,FW,AFC Wimbledon,22,1988,15,5,541,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,9897f068
6,Lionel Ainsworth,eng ENG,MF,Burton Albion,23,1987,7,4,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2f9d0135
7,Lionel Ainsworth,eng ENG,MF,Shrewsbury,23,1987,21,19,1624,18.0,2,7,9,2,0,0,2,0,0.11,0.39,0.50,0.11,0.50,2f9d0135
8,John Akinde,eng ENG,FW,Dag & Red,22,1989,5,4,304,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,93a09a47
9,John Akinde,eng ENG,FW,Crawley Town,22,1989,25,7,926,10.3,1,2,3,1,0,0,1,0,0.10,0.19,0.29,0.10,0.29,93a09a47
10,Adebayo Akinfenwa,eng ENG,FW,Northampton,29,1982,39,33,2881,32.0,18,5,23,16,2,3,7,0,0.56,0.16,0.72,0.50,0.66,dcb17ca5
11,Hope Akpan,ng NGA,MF,Crawley Town,19,1991,26,17,1473,16.4,1,1,2,1,0,0,2,1,0.06,0.06,0.12,0.06,0.12,1ccbca79
12,Lewis Alessandra,eng ENG,FWMF,Morecambe,22,1989,42,24,2214,24.6,4,4,8,4,0,0,1,0,0.16,0.16,0.33,0.16,0.33,c9b22fff
13,Gary Alexander,eng ENG,FW,Crawley Town,31,1979,14,14,1224,13.6,7,2,9,4,3,3,3,0,0.51,0.15,0.66,0.29,0.44,de915071
14,Zac Aley,eng ENG,FWMF,Macclesfield,19,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4c03e4f5
15,Kevin Amankwaah,eng ENG,DF,Burton Albion,29,1982,8,8,615,6.8,0,3,3,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,374416f1
16,Pádraig Amond,ie IRL,FWMF,Accrington,23,1988,42,37,3151,35.0,7,6,13,7,0,0,1,0,0.20,0.17,0.37,0.20,0.37,75499f71
17,Bruno Andrade,pt POR,FWMF,Aldershot Town,17,1993,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6e87c80f
18,Danny Andrew,eng ENG,DFMF,Cheltenham,20,1990,10,10,882,9.8,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,90b57521
19,Byron Anthony,wls WAL,DF,Bristol Rovers,26,1984,16,14,1166,13.0,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,3d7311dd
20,Byron Anthony,wls WAL,DF,Hereford United,26,1984,15,13,1193,13.3,1,2,3,1,0,0,4,0,0.08,0.15,0.23,0.08,0.23,3d7311dd
21,Joe Anyinsah,eng ENG,FW,Bristol Rovers,26,1984,31,23,1892,21.0,4,2,6,4,0,0,2,0,0.19,0.10,0.29,0.19,0.29,6f4a2915
22,Mark Arber,za RSA,DF,Dag & Red,33,1977,33,32,2925,32.5,2,1,3,1,1,1,3,0,0.06,0.03,0.09,0.03,0.06,6fd6c41c
23,Yoann Arquin,mq MTQ,FW,Hereford United,23,1988,34,16,1755,19.5,8,2,10,7,1,1,5,0,0.41,0.10,0.51,0.36,0.46,b37dfa0b
24,David Artell,gi GIB,DF,Crewe Alexandra,30,1980,32,31,2694,29.9,2,0,2,2,0,0,4,1,0.07,0.00,0.07,0.07,0.07,18ff530d
25,Chris Arthur,eng ENG,DFMF,Northampton,21,1990,7,5,439,4.9,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,0ca137fd
26,Akwasi Asante,eng ENG,FW,Northampton,18,1992,4,3,261,2.9,1,1,2,1,0,0,1,0,0.34,0.34,0.69,0.34,0.69,d19fc4bd
27,Taiwo Atieno,ke KEN,FW,Torquay United,25,1985,43,17,1910,21.2,6,0,6,6,0,0,1,0,0.28,0.00,0.28,0.28,0.28,c78e27e8
28,Ross Atkins,eng ENG,GK,Burton Albion,21,1989,45,45,4050,45.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,a88fb3b0
29,Will Atkinson,eng ENG,MF,Bradford City,22,1988,12,6,675,7.5,1,1,2,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,a16b77f1
30,Will Atkinson,eng ENG,MF,Plymouth Argyle,22,1988,22,20,1753,19.5,4,0,4,4,0,0,6,0,0.21,0.00,0.21,0.21,0.21,a16b77f1
31,Ryan Austin,eng ENG,DF,Burton Albion,26,1984,38,34,3130,34.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,9a686619
32,Michael Bakare,eng ENG,FWMF,Macclesfield,24,1986,9,0,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,c87cfb5e
33,Adam Baker,eng ENG,FW,Bradford City,17,1993,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c1aaeac4
