,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Peter Abimbola,,MF,Northampton,,,1,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e5b5aff
2,Timmy Abraham,eng ENG,FW,Newport County,20,2000,12,3,394,4.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,94ad5868
3,Tristan Abrahams,eng ENG,FW,Carlisle United,22,1998,20,12,1067,11.9,3,1,4,2,1,1,3,0,0.25,0.08,0.34,0.17,0.25,Matches,cfd667ae
4,Ebou Adams,gm GAM,MF,Forest Green,25,1996,37,33,3086,34.3,3,0,3,3,0,0,13,0,0.09,0.00,0.09,0.09,0.09,Matches,84d7ae33
5,Nicky Adams,wls WAL,MFDF,Oldham Athletic,34,1986,36,31,2703,30.0,0,4,4,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,a1a33d78
6,Ricky Aguiar,eng ENG,MF,Swindon Town,20,2001,16,8,792,8.8,2,0,2,2,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,81ef747a
7,Jack Aitchison,sct SCO,MF,Forest Green,21,2000,46,32,2825,31.4,5,2,7,5,0,0,2,0,0.16,0.06,0.22,0.16,0.22,Matches,cd3110c7
8,David Ajiboye,eng ENG,MF,Sutton United,22,1998,43,42,3647,40.5,8,4,12,8,0,0,4,0,0.20,0.10,0.30,0.20,0.30,Matches,5b1e9f24
9,John Akinde,eng ENG,FW,Colchester,32,1989,15,6,621,6.9,2,2,4,2,0,0,0,0,0.29,0.29,0.58,0.29,0.58,Matches,93a09a47
10,Lucas Akins,gd GRN,FWDF,Mansfield Town,32,1989,19,15,1308,14.5,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,a8e93bd1
11,Lewis Alessandra,eng ENG,FWMF,Carlisle United,32,1989,24,15,1350,15.0,2,0,2,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,c9b22fff
12,Taylor Allen,eng ENG,MF,Forest Green,21,2000,4,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c56e6e
13,Pádraig Amond,ie IRL,FW,Exeter City,33,1988,26,8,943,10.5,3,1,4,3,0,0,0,0,0.29,0.10,0.38,0.29,0.38,Matches,75499f71
14,David Amoo,eng ENG,FW,Port Vale,30,1991,26,7,892,9.9,2,4,6,2,0,0,0,0,0.20,0.40,0.61,0.20,0.61,Matches,3c1c24d0
15,Joseph Anang,gh GHA,GK,Stevenage,21,2000,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21a866b7
16,Elliot Anderson,eng ENG,MF,Bristol Rovers,18,2002,21,20,1758,19.5,7,6,13,7,0,0,3,0,0.36,0.31,0.67,0.36,0.67,Matches,de31038e
17,Harry Anderson,eng ENG,MFDF,Bristol Rovers,24,1997,44,39,3432,38.1,6,4,10,6,0,0,5,0,0.16,0.10,0.26,0.16,0.26,Matches,c6f940ed
18,Nick Anderton,eng ENG,DF,Bristol Rovers,25,1996,34,26,2395,26.6,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,cb03c4d4
19,Bruno Andrade,pt POR,MFFW,Stevenage,27,1993,27,13,1332,14.8,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,6e87c80f
20,Corie Andrews,eng ENG,FW,Colchester,23,1997,11,3,391,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,Matches,ba3b2260
21,Josh Andrews,eng ENG,FW,Rochdale,19,2001,17,7,705,7.8,3,0,3,3,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,ae6ff51a
22,Lee Angol,eng ENG,FWMF,Bradford City,26,1994,18,14,1197,13.3,6,1,7,5,1,2,3,0,0.45,0.08,0.53,0.38,0.45,Matches,139aeffa
23,Louis Appere,sct SCO,FW,Northampton,22,1999,18,16,1323,14.7,3,6,9,3,0,0,1,0,0.20,0.41,0.61,0.20,0.61,Matches,fb4de109
24,Kwesi Appiah,gh GHA,FW,Crawley Town,30,1990,26,17,1738,19.3,11,3,14,11,0,0,3,0,0.57,0.16,0.72,0.57,0.72,Matches,8fb893a5
25,Theo Archibald,sct SCO,FWMF,Leyton Orient,23,1998,38,35,3034,33.7,8,9,17,8,0,0,10,1,0.24,0.27,0.50,0.24,0.50,Matches,8bb20652
26,Jack Armer,sct SCO,DF,Carlisle United,20,2001,41,39,3312,36.8,0,4,4,0,0,0,10,0,0.00,0.11,0.11,0.00,0.11,Matches,e521925c
27,Luke Armstrong,eng ENG,FW,Harrogate Town,25,1996,45,45,3817,42.4,12,5,17,12,0,0,5,1,0.28,0.12,0.40,0.28,0.40,Matches,d6556450
28,Festus Arthur,de GER,DF,Barrow,20,2001,9,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8200275b
29,Sam Ashford,eng ENG,FW,Crawley Town,25,1995,12,7,586,6.5,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,9c194ec4
30,Bernard Ashley-Seal,eng ENG,FW,Northampton,22,1998,9,1,156,1.7,2,0,2,2,0,0,0,0,1.15,0.00,1.15,1.15,1.15,Matches,4f187520
31,Nigel Atangana,fr FRA,MF,Exeter City,31,1989,16,4,530,5.9,1,0,1,1,0,0,5,1,0.17,0.00,0.17,0.17,0.17,Matches,ab07c4b6
32,Josh Austerfield,eng ENG,MF,Harrogate Town,19,2001,9,5,505,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,01f86799
33,Finn Azaz,ie IRL,MFFW,Newport County,20,2000,42,34,3300,36.7,7,3,10,7,0,0,1,0,0.19,0.08,0.27,0.19,0.27,Matches,b6f54c31
34,Dylan Bahamboula,cg CGO,MFFW,Oldham Athletic,26,1995,30,25,2323,25.8,3,3,6,3,0,0,3,1,0.12,0.12,0.23,0.12,0.23,Matches,7844c810
35,Eden Bailey,eng ENG,MF,Port Vale,17,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47d99f92
36,Courtney Baker-Richardson,eng ENG,FW,Newport County,25,1995,31,25,2111,23.5,8,1,9,8,0,0,5,0,0.34,0.04,0.38,0.34,0.38,Matches,3e2edcd1
37,Jack Baldwin,eng ENG,DF,Bristol Rovers,28,1993,3,2,145,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8ae7c4f9
