,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tristan Abrahams,eng ENG,FW,Leyton Orient,21,1998,14,3,426,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cfd667ae
2,Tristan Abrahams,eng ENG,FW,Newport County,21,1998,23,15,1298,14.4,4,2,6,2,2,2,2,0,0.28,0.14,0.42,0.14,0.28,Matches,cfd667ae
3,Emile Acquah,eng ENG,FW,Southend United,20,2000,31,20,1592,17.7,1,1,2,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11,Matches,9fa500fb
4,Ebou Adams,gm GAM,MF,Forest Green,24,1996,37,36,3115,34.6,2,3,5,2,0,0,11,3,0.06,0.09,0.14,0.06,0.14,Matches,84d7ae33
5,Joe Adams,wls WAL,MF,Grimsby Town,19,2001,6,3,254,2.8,1,1,2,1,0,0,1,0,0.35,0.35,0.71,0.35,0.71,Matches,d9c8b3f1
6,Nicky Adams,wls WAL,MFDF,Oldham Athletic,33,1986,23,20,1804,20.0,0,4,4,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,a1a33d78
7,Alex Addai,eng ENG,FW,Cheltenham,26,1993,10,0,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ae8286c
8,Elijah Adebayo,eng ENG,FW,Walsall,22,1998,25,24,1957,21.7,10,1,11,10,0,1,1,0,0.46,0.05,0.51,0.46,0.51,Matches,0480ebc7
9,Manny Adebowale,eng ENG,DF,Crawley Town,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b540029
10,Luis Adlard,eng ENG,DF,Grimsby Town,17,2002,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97fdc7e5
11,Dapo Afolayan,eng ENG,MF,Bolton,22,1997,21,19,1428,15.9,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches,5054c359
12,Liam Agnew,eng ENG,MF,Harrogate Town,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b93efcd
13,Jack Aitchison,sct SCO,MFFW,Stevenage,20,2000,26,17,1580,17.6,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,cd3110c7
14,Nicky Ajose,eng ENG,FW,Exeter City,28,1991,4,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba0ea6e
15,Olatunji Akinola,eng ENG,DF,Leyton Orient,21,1998,33,31,2736,30.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f148e802
16,Simeon Akinola,eng ENG,FWMF,Southend United,27,1992,24,20,1754,19.5,2,1,3,2,0,1,0,0,0.10,0.05,0.15,0.10,0.15,Matches,e48edc45
17,Femi Akinwande,eng ENG,MFFW,Stevenage,24,1996,7,3,264,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,29932be8
18,Ajibola Alese,eng ENG,DF,Cambridge,19,2001,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,182a8b9d
19,Lewis Alessandra,eng ENG,FWMF,Carlisle United,31,1989,45,37,3271,36.3,8,3,11,6,2,2,5,0,0.22,0.08,0.30,0.17,0.25,Matches,c9b22fff
20,Tarryn Allarakhia,tz TAN,MF,Crawley Town,22,1997,17,8,731,8.1,0,1,1,0,0,0,0,1,0.00,0.12,0.12,0.00,0.12,Matches,81db2ca6
21,Taylor Allen,eng ENG,MF,Forest Green,20,2000,5,2,206,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c56e6e
22,Bright Amoateng,eng ENG,FW,Bolton,17,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,daf2169b
23,Pádraig Amond,ie IRL,FW,Newport County,32,1988,41,23,2128,23.6,6,1,7,5,1,2,0,0,0.25,0.04,0.30,0.21,0.25,Matches,75499f71
24,David Amoo,eng ENG,FW,Port Vale,29,1991,26,10,1137,12.6,1,2,3,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,Matches,3c1c24d0
25,Nick Anderton,eng ENG,DF,Carlisle United,24,1996,40,33,3115,34.6,2,3,5,2,0,0,6,0,0.06,0.09,0.14,0.06,0.14,Matches,cb03c4d4
26,Bruno Andrade,pt POR,MFFW,Salford City FC,26,1993,19,8,765,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6e87c80f
27,Jökull Andrésson,is ISL,GK,Morecambe,18,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34e46ce2
28,Jökull Andrésson,is ISL,GK,Exeter City,18,2001,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34e46ce2
29,Calvin Andrew,eng ENG,FW,Barrow,33,1986,11,2,294,3.3,1,1,2,1,0,0,1,0,0.31,0.31,0.61,0.31,0.61,Matches,4b2711f5
30,Josh Andrews,eng ENG,FW,Harrogate Town,18,2001,3,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ae6ff51a
31,Lee Angol,eng ENG,FWMF,Leyton Orient,25,1994,12,7,644,7.2,1,0,1,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,139aeffa
32,Dior Angus,eng ENG,FW,Barrow,26,1994,22,12,1107,12.3,4,0,4,1,3,3,2,0,0.33,0.00,0.33,0.08,0.08,Matches,727e7bf1
33,Jack Armer,sct SCO,DF,Carlisle United,19,2001,24,22,1935,21.5,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,e521925c
34,Luke Armstrong,eng ENG,FW,Salford City FC,24,1996,4,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6556450
35,Sam Ashford,eng ENG,MF,Crawley Town,24,1995,8,2,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c194ec4
36,Nigel Atangana,fr FRA,MF,Exeter City,30,1989,28,11,1075,11.9,0,2,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,ab07c4b6
37,Finn Azaz,ie IRL,MF,Cheltenham,19,2000,37,27,2288,25.4,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches,b6f54c31
38,Andrea Badan,it ITA,DFMF,Oldham Athletic,22,1998,18,11,971,10.8,0,2,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,ea964e39
