,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Adam El-Abd,eg EGY,DF,Wycombe,32,1984,36,36,3216,35.7,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,Matches,4eb90566
2,Nicky Adams,wls WAL,MF,Carlisle United,30,1986,17,15,1222,13.6,0,3,3,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,a1a33d78
3,Elijah Adebayo,eng ENG,MFFW,Cheltenham,19,1998,7,2,270,3.0,2,0,2,2,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches,0480ebc7
4,Benjy Aghadiuno,,,Barnet,17,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0c26baf8
5,Callum Ainley,eng ENG,MF,Crewe Alexandra,19,1997,45,37,3125,34.7,4,3,7,4,0,0,2,0,0.12,0.09,0.20,0.12,0.20,Matches,836e8740
6,John Akinde,eng ENG,FW,Barnet,28,1989,32,30,2645,29.4,7,3,10,5,2,4,3,0,0.24,0.10,0.34,0.17,0.27,Matches,93a09a47
7,Adebayo Akinfenwa,eng ENG,FW,Wycombe,35,1982,42,41,3617,40.2,17,12,29,17,0,0,4,0,0.42,0.30,0.72,0.42,0.72,Matches,dcb17ca5
8,Simeon Akinola,eng ENG,MFFW,Barnet,24,1992,29,10,1233,13.7,4,1,5,4,0,0,2,0,0.29,0.07,0.36,0.29,0.36,Matches,e48edc45
9,Jean-Louis Akpa Akpro,ci CIV,FWMF,Barnet,32,1985,26,14,1532,17.0,3,2,5,3,0,0,2,0,0.18,0.12,0.29,0.18,0.29,Matches,de365d76
10,Lewis Alessandra,eng ENG,MFFW,Notts County,28,1989,39,27,2480,27.6,7,5,12,7,0,0,2,0,0.25,0.18,0.44,0.25,0.44,Matches,c9b22fff
11,Daniel Alfei,wls WAL,DF,Yeovil Town,25,1992,2,2,99,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,62fab1e5
12,Ryan Allsop,eng ENG,GK,Lincoln City,25,1992,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
13,Justin Amaluzor,eng ENG,FWMF,Barnet,20,1996,4,0,122,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b3f78f19
14,Shola Ameobi,ng NGA,FW,Notts County,35,1981,34,26,2287,25.4,6,3,9,5,1,1,6,0,0.24,0.12,0.35,0.20,0.31,Matches,e79a368b
15,Pádraig Amond,ie IRL,FW,Newport County,29,1988,43,37,3129,34.8,13,3,16,13,0,0,1,0,0.37,0.09,0.46,0.37,0.46,Matches,75499f71
16,David Amoo,eng ENG,MF,Cambridge,26,1991,24,6,930,10.3,2,2,4,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39,Matches,3c1c24d0
17,Luke Amos,eng ENG,MF,Stevenage,20,1997,16,14,1327,14.7,2,0,2,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,77128f7e
18,Harry Anderson,eng ENG,MFFW,Lincoln City,20,1997,40,23,2362,26.2,6,4,10,6,0,0,1,2,0.23,0.15,0.38,0.23,0.38,Matches,c6f940ed
19,Keshi Anderson,eng ENG,MFFW,Swindon Town,22,1995,37,36,2980,33.1,5,3,8,5,0,0,5,0,0.15,0.09,0.24,0.15,0.24,Matches,864a3eba
20,Paul Anderson,eng ENG,MFDF,Mansfield Town,29,1988,33,24,2262,25.1,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches,b3ab8f5c
21,Tom Anderson,eng ENG,DF,Port Vale,23,1993,20,18,1656,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,76e8c264
22,Tony Andreu,fr FRA,MF,Coventry City,29,1988,5,2,196,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15504546
23,Jake Andrews,eng ENG,MF,Cheltenham,19,1997,7,4,305,3.4,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,98af6a1c
24,Lee Angol,eng ENG,FW,Mansfield Town,22,1994,29,17,1679,18.7,9,0,9,7,2,2,8,0,0.48,0.00,0.48,0.38,0.38,Matches,139aeffa
25,Dior Angus,eng ENG,MFFW,Port Vale,23,1994,3,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,727e7bf1
26,Joe Anyon,eng ENG,GK,Chesterfield,30,1986,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1794a512
27,Troy Archibald-Henville,eng ENG,DF,Exeter City,28,1988,15,12,1109,12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2ac660f1
28,Nathan Arnold,eng ENG,MF,Lincoln City,30,1987,20,15,1220,13.6,0,2,2,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches,4966b48d
29,Nigel Atangana,fr FRA,MF,Cheltenham,27,1989,32,23,2186,24.3,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,Matches,ab07c4b6
30,Will Atkinson,eng ENG,MF,Mansfield Town,28,1988,39,24,2220,24.7,2,1,3,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,Matches,a16b77f1
31,Ade Azeez,eng ENG,FW,Cambridge,23,1994,13,5,523,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,c7b4fa70
32,James Bailey,eng ENG,MF,Yeovil Town,28,1988,24,24,2028,22.5,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,Matches,c16d7863
33,Zoumana Bakayogo,ci CIV,DF,Crewe Alexandra,30,1986,32,28,2528,28.1,0,2,2,0,0,0,3,2,0.00,0.07,0.07,0.00,0.07,Matches,1d2647b1
34,Ollie Banks,eng ENG,MF,Swindon Town,24,1992,17,16,1457,16.2,3,1,4,3,0,0,3,1,0.19,0.06,0.25,0.19,0.25,Matches,d4ec6c9a
35,Daniel Barlaser,tr TUR,MF,Crewe Alexandra,20,1997,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91ea9f40
36,Dillon Barnes,jm JAM,GK,Colchester,21,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76eb782e
37,Marcus Barnes,eng ENG,FW,Yeovil Town,20,1996,8,1,266,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc4d1618
38,Tyrone Barnett,eng ENG,FW,Port Vale,31,1985,25,8,1048,11.6,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches,ba241676
39,Jazzi Barnum-Bobb,vc VIN,DF,Newport County,21,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89903d20
40,Josh Barrett,ie IRL,MF,Coventry City,19,1998,6,1,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e1365b3
41,Bradley Barry,eng ENG,DFMF,Chesterfield,22,1995,29,29,2452,27.2,0,1,1,0,0,0,6,2,0.00,0.04,0.04,0.00,0.04,Matches,e1a0d29c
42,Tom Bayliss,eng ENG,MF,Coventry City,18,1999,24,24,1991,22.1,5,2,7,5,0,0,4,0,0.23,0.09,0.32,0.23,0.32,Matches,527f75c6
43,Marcus Bean,jm JAM,MF,Wycombe,32,1984,31,23,2273,25.3,2,2,4,2,0,0,10,0,0.08,0.08,0.16,0.08,0.16,Matches,d7e4c65c
44,Harry Beautyman,eng ENG,MF,Stevenage,25,1992,10,8,610,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6623a0a
45,Stuart Beavon,eng ENG,FWMF,Coventry City,33,1984,14,9,777,8.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,540bcb3b
46,Omar Beckles,gd GRN,DF,Accrington,25,1991,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,668005c9
47,Cameron Belford,eng ENG,GK,Forest Green,28,1988,3,2,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25e47120
48,Dale Bennett,eng ENG,DFMF,Forest Green,27,1990,33,33,2883,32.0,0,1,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,Matches,473fb36c
49,Mason Bennett,eng ENG,FW,Notts County,21,1996,2,1,51,0.6,1,0,1,1,0,0,0,0,1.76,0.00,1.76,1.76,1.76,Matches,aba031ad
50,Rhys Bennett,eng ENG,DF,Mansfield Town,25,1991,38,34,3222,35.8,2,0,2,2,0,0,4,2,0.06,0.00,0.06,0.06,0.06,Matches,50c7de8f
51,Richie Bennett,eng ENG,FW,Carlisle United,26,1991,38,24,2219,24.7,6,4,10,6,0,0,7,1,0.24,0.16,0.41,0.24,0.41,Matches,811b2368
52,Scot Bennett,eng ENG,DFMF,Newport County,26,1990,28,21,1912,21.2,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches,911c7cec
53,Malvind Benning,eng ENG,DF,Mansfield Town,23,1993,28,27,2425,26.9,2,5,7,2,0,0,7,1,0.07,0.19,0.26,0.07,0.26,Matches,f7722d79
54,Harry Benns,eng ENG,MF,Port Vale,17,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52acef5d
55,James Berrett,ie IRL,MF,Grimsby Town,28,1989,32,29,2618,29.1,1,2,3,1,0,0,7,2,0.03,0.07,0.10,0.03,0.10,Matches,7993b498
56,Luke Berry,eng ENG,MF,Luton Town,25,1992,34,31,2772,30.8,7,4,11,7,0,0,5,0,0.23,0.13,0.36,0.23,0.36,Matches,2aaadf33
57,Luke Berry,eng ENG,MF,Cambridge,25,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2aaadf33
58,Maxime Biamou,fr FRA,FW,Coventry City,26,1990,39,20,1984,22.0,5,5,10,5,0,0,3,0,0.23,0.23,0.45,0.23,0.45,Matches,1336958c
59,Jerome Binnom-Williams,eng ENG,DF,Chesterfield,22,1995,19,13,1197,13.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,34da23fc
60,Jared Bird,eng ENG,MF,Yeovil Town,19,1997,11,9,806,9.0,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,e7245ad0
61,Pierce Bird,nir NIR,DFMF,Notts County,18,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a334a152
62,Andre Blackman,eng ENG,MFDF,Barnet,26,1990,19,15,1135,12.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,4519be7a
63,Matt Bloomfield,eng ENG,MF,Wycombe,33,1984,37,26,2277,25.3,3,0,3,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,a57ae0ee
64,Hiram Boateng,eng ENG,MF,Exeter City,21,1996,38,28,2654,29.5,1,6,7,1,0,0,3,0,0.03,0.20,0.24,0.03,0.24,Matches,929917ce
65,Tom Bolarinwa,eng ENG,MF,Grimsby Town,27,1990,3,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a18a6b46
66,Enzio Boldewijn,nl NED,MFFW,Crawley Town,24,1992,45,44,3900,43.3,10,7,17,10,0,0,5,0,0.23,0.16,0.39,0.23,0.39,Matches,6db00ad8
67,Jack Bonham,ie IRL,GK,Carlisle United,23,1993,42,42,3780,42.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3539472e
68,Ryan Boot,eng ENG,GK,Port Vale,22,1994,22,22,1912,21.2,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,42d8ac7e
69,Michael Bostwick,eng ENG,MFDF,Lincoln City,29,1988,44,44,3953,43.9,6,2,8,6,0,0,9,1,0.14,0.05,0.18,0.14,0.18,Matches,649b0d73
70,Ruben Bover,es ESP,MFFW,Barnet,25,1992,13,8,670,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,16d6583e
71,Dean Bowditch,eng ENG,FW,Stevenage,31,1986,5,1,118,1.3,2,0,2,2,0,0,2,0,1.53,0.00,1.53,1.53,1.53,Matches,5b20043e
72,Matt Bower,eng ENG,DF,Cheltenham,18,1998,3,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ad81ae6
73,Jordan Bowery,kn SKN,FWMF,Crewe Alexandra,26,1991,45,32,2966,33.0,12,2,14,12,0,0,1,0,0.36,0.06,0.42,0.36,0.42,Matches,8f5a4e15
74,Will Boyle,eng ENG,DF,Cheltenham,21,1995,34,33,2967,33.0,5,2,7,5,0,0,5,0,0.15,0.06,0.21,0.15,0.21,Matches,04d98300
75,Alex Bray,wls WAL,MF,Forest Green,22,1995,11,6,558,6.2,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,88bc0d96
76,Delial Brewster,eng ENG,FW,Chesterfield,19,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,27827d8b
77,Matthew Briggs,gy GUY,MFDF,Chesterfield,26,1991,11,8,740,8.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,182c89db
78,Matthew Briggs,gy GUY,DF,Barnet,26,1991,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,182c89db
79,Richard Brindley,eng ENG,DF,Barnet,24,1993,18,17,1538,17.1,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,a7588b8d
80,Shaun Brisley,eng ENG,DF,Notts County,27,1990,37,36,3195,35.5,2,2,4,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches,cf4522d0
81,James Brophy,eng ENG,MF,Swindon Town,23,1994,6,2,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e58bc5d1
82,Patrick Brough,eng ENG,DFMF,Morecambe,21,1996,20,20,1737,19.3,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,4fdba4d6
83,Jacob Brown,sct SCO,MFFW,Chesterfield,19,1998,13,8,767,8.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ca18c8f1
84,James Brown,mt MLT,DFMF,Carlisle United,19,1998,27,27,2165,24.1,0,3,3,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,96c67a33
85,Jevani Brown,jm JAM,MFFW,Cambridge,22,1994,41,35,3169,35.2,6,8,14,5,1,1,4,0,0.17,0.23,0.40,0.14,0.37,Matches,99785158
86,Reece Brown,eng ENG,MFFW,Forest Green,21,1996,33,23,1780,19.8,2,3,5,2,0,0,1,0,0.10,0.15,0.25,0.10,0.25,Matches,59dc2fe5
87,Scott Brown,eng ENG,GK,Wycombe,32,1985,46,46,4114,45.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,5f95f4d6
88,Scott Brown,eng ENG,MF,Accrington,32,1985,36,28,2634,29.3,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,8adefff9
89,Troy Brown,wls WAL,DF,Exeter City,26,1990,25,25,2154,23.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,1b63a767
90,Rhys Browne,ag ATG,MFFW,Yeovil Town,21,1995,35,16,1676,18.6,4,2,6,4,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches,b88d0922
91,Ryan Brunt,eng ENG,FW,Exeter City,24,1993,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d784a35e
92,Omar Bugiel,lb LIB,FW,Forest Green,23,1994,19,3,601,6.7,3,1,4,3,0,0,2,0,0.45,0.15,0.60,0.45,0.60,Matches,d8b822c7
93,Dannie Bulman,eng ENG,MF,Crawley Town,38,1979,37,34,2858,31.8,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,fd567e78
94,Lee Burge,eng ENG,GK,Coventry City,24,1993,40,40,3555,39.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1393c5ac
95,Calum Butcher,eng ENG,MFFW,Mansfield Town,26,1991,17,10,932,10.4,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,cdf69275
96,Dan Butler,eng ENG,MFDF,Newport County,22,1994,44,40,3674,40.8,1,6,7,1,0,0,6,1,0.02,0.15,0.17,0.02,0.17,Matches,84dd2a1f
97,Alex Byrne,eng ENG,MF,Exeter City,20,1997,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90494d4b
98,Joel Byrom,eng ENG,MF,Mansfield Town,30,1986,19,18,1497,16.6,1,3,4,1,0,0,7,0,0.06,0.18,0.24,0.06,0.24,Matches,ea1ded73
99,Mike Calveley,eng ENG,MF,Port Vale,18,1999,2,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,711bc4a4
100,Panutche Camará,gw GNB,FWMF,Crawley Town,20,1997,29,14,1372,15.2,2,0,2,2,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,d84a2321
101,Adam Campbell,eng ENG,MF,Morecambe,22,1995,25,11,1051,11.7,1,1,2,1,0,1,2,0,0.09,0.09,0.17,0.09,0.17,Matches,e3aa211f
102,Tahvon Campbell,eng ENG,FW,Forest Green,20,1997,14,3,402,4.5,2,0,2,2,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches,106f7efa
103,Jamal Campbell-Ryce,jm JAM,MF,Carlisle United,34,1983,9,4,372,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches,d02c06d8
104,Jamal Campbell-Ryce,jm JAM,MFFW,Barnet,34,1983,24,23,1964,21.8,4,5,9,3,1,2,3,0,0.18,0.23,0.41,0.14,0.37,Matches,d02c06d8
105,Harry Cardwell,sct SCO,FW,Grimsby Town,20,1996,16,8,715,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f876c2e
106,Jake Carroll,ie IRL,DF,Cambridge,25,1991,33,24,2352,26.1,0,2,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,717d8910
107,Aaron Chapman,eng ENG,GK,Accrington,27,1990,45,45,4051,45.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df3bff72
108,Reice Charles-Cook,gd GRN,GK,Swindon Town,23,1994,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cddc96f5
109,Ilias Chatzitheodoridis,gr GRE,DFMF,Cheltenham,19,1997,18,18,1447,16.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4b9b3933
110,Jordan Clark,eng ENG,MF,Accrington,23,1993,43,43,3744,41.6,8,7,15,8,0,0,3,0,0.19,0.17,0.36,0.19,0.36,Matches,7c5fa6cf
111,Nathan Clarke,eng ENG,DF,Grimsby Town,33,1983,45,45,4050,45.0,2,3,5,2,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches,3a8ce088
112,Jonson Clarke-Harris,jm JAM,FW,Coventry City,23,1994,17,12,1078,12.0,2,4,6,1,1,1,2,0,0.17,0.33,0.50,0.08,0.42,Matches,260af28b
113,Chris Clements,eng ENG,MF,Forest Green,27,1990,14,11,875,9.7,1,1,2,1,0,0,2,0,0.10,0.10,0.21,0.10,0.21,Matches,dd963b78
114,Billy Clifford,eng ENG,MF,Crawley Town,24,1992,7,4,381,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,ac30d565
115,Harry Clifton,wls WAL,MF,Grimsby Town,19,1998,10,7,675,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,93e4b42f
116,Charlie Clough,eng ENG,DF,Barnet,26,1990,36,29,2748,30.5,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,765ff543
117,Giles Coke,eng ENG,MF,Chesterfield,31,1986,2,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb2a1fd2
118,Reece Cole,eng ENG,MF,Newport County,19,1998,4,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,6e483aa5
119,Adam Collin,eng ENG,GK,Notts County,32,1984,30,30,2667,29.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffa731bc
120,Aaron Collins,wls WAL,FW,Newport County,20,1997,10,6,482,5.4,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,fa60d2ba
121,Bradley Collins,eng ENG,GK,Forest Green,20,1997,39,39,3477,38.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f679abe1
122,Danny Collins,wls WAL,DF,Grimsby Town,36,1980,40,40,3509,39.0,4,0,4,4,0,0,1,2,0.10,0.00,0.10,0.10,0.10,Matches,b89cd819
123,James Collins,ie IRL,FW,Luton Town,26,1990,42,39,3331,37.0,19,7,26,17,2,3,6,2,0.51,0.19,0.70,0.46,0.65,Matches,95471a13
124,Lee Collins,eng ENG,DFMF,Forest Green,28,1988,43,40,3628,40.3,2,1,3,2,0,0,7,0,0.05,0.02,0.07,0.05,0.07,Matches,7b8f9dcd
125,Brandon Comley,ms MSR,MF,Colchester,21,1995,38,31,2852,31.7,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,caf7a176
126,Luke Conlan,nir NIR,MFDF,Morecambe,22,1994,27,25,2297,25.5,0,2,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,8049ecee
127,Tom Conlon,eng ENG,MF,Stevenage,21,1996,12,1,295,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,58d0198f
128,Séamus Conneely,ie IRL,MF,Accrington,29,1988,33,33,2889,32.1,2,2,4,2,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches,9c9fee3a
129,Mark Connolly,ie IRL,DF,Crawley Town,25,1991,40,40,3438,38.2,2,2,4,2,0,0,9,2,0.05,0.05,0.10,0.05,0.10,Matches,d89eb771
130,Dion Conroy,eng ENG,DF,Swindon Town,21,1995,7,6,537,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6a284e1
131,Jordan Cook,eng ENG,MF,Luton Town,27,1990,10,1,206,2.3,0,2,2,0,0,0,2,2,0.00,0.87,0.87,0.00,0.87,Matches,28a7e81c
132,Charlie Cooper,eng ENG,MF,Forest Green,20,1997,25,22,1861,20.7,1,1,2,1,0,0,6,1,0.05,0.05,0.10,0.05,0.10,Matches,9eadfbf2
133,George Cooper,eng ENG,MFFW,Crewe Alexandra,20,1996,27,22,1987,22.1,1,4,5,1,0,0,2,0,0.05,0.18,0.23,0.05,0.23,Matches,239aa601
134,Harry Cornick,eng ENG,FWMF,Luton Town,22,1995,37,16,1807,20.1,5,4,9,5,0,0,0,0,0.25,0.20,0.45,0.25,0.45,Matches,9169bc41
