,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Ahmed Abdulla,sa KSA,DFMF,Barnet,20,1991,6,4,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,031452d6
2,Dele Adebola,ng NGA,FW,Rochdale,37,1975,26,22,1704,18.9,6,1,7,6,0,0,1,0,0.32,0.05,0.37,0.32,0.37,498b401e
3,Kieran Agard,eng ENG,FWMF,Rotherham,22,1989,30,12,1278,14.2,6,1,7,6,0,0,3,0,0.42,0.07,0.49,0.42,0.49,a6c9bf1c
4,Gareth Ainsworth,eng ENG,MF,Wycombe,39,1973,25,12,1094,12.2,2,3,5,2,0,0,3,0,0.16,0.25,0.41,0.16,0.41,8ddfb8b9
5,Lionel Ainsworth,eng ENG,MF,Rotherham,24,1987,16,8,769,8.5,0,3,3,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,2f9d0135
6,Lionel Ainsworth,eng ENG,MF,Aldershot Town,24,1987,7,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2f9d0135
7,Toby Ajala,eng ENG,FWMF,AFC Wimbledon,20,1991,12,11,989,11.0,0,2,2,0,0,0,4,0,0.00,0.18,0.18,0.00,0.18,6186eead
8,Adebayo Akinfenwa,eng ENG,FW,Northampton,30,1982,41,30,2857,31.7,16,6,22,13,3,3,4,0,0.50,0.19,0.69,0.41,0.60,dcb17ca5
9,Tom Aldred,sct SCO,DF,Accrington,21,1990,13,12,1160,12.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2a75e914
