,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,George Baldock,gr GRE,DFMF,Oxford United,22,1993,27,27,2430,27.0,2,4,6,2,0,0,4,0,0.07,0.15,0.22,0.07,0.22,Matches,394854c4
35,Lewis Bamford,wls WAL,MF,Newport County,17,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2399b254
36,Jason Banton,eng ENG,MF,Wycombe,22,1992,5,3,282,3.1,1,0,1,1,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,fa6ba5e8
37,Jason Banton,eng ENG,MF,Hartlepool,22,1992,4,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa6ba5e8
38,Jason Banton,eng ENG,MF,Notts County,22,1992,9,9,704,7.8,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,fa6ba5e8
39,Zane Banton,eng ENG,FW,Luton Town,19,1996,4,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f64a724e
40,Andy Barcham,eng ENG,FWMF,AFC Wimbledon,28,1986,33,31,2557,28.4,5,3,8,5,0,0,1,0,0.18,0.11,0.28,0.18,0.28,Matches,75d942ab
41,Tom Barkhuizen,eng ENG,FWMF,Morecambe,22,1993,40,36,3211,35.7,10,2,12,10,0,0,2,0,0.28,0.06,0.34,0.28,0.34,Matches,9cf7496b
42,Jack Barmby,eng ENG,FWMF,Notts County,20,1994,5,3,317,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1652adcc
43,Lee Barnard,eng ENG,FW,Crawley Town,31,1984,28,14,1365,15.2,1,1,2,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,Matches,fceb93cc
44,Jazzi Barnum-Bobb,vc VIN,DF,Newport County,19,1995,12,11,974,10.8,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,89903d20
45,Scott Barrow,wls WAL,DF,Newport County,26,1988,34,27,2452,27.2,2,3,5,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18,Matches,79dd7411
46,Anthony Barry,eng ENG,MF,Accrington,29,1986,8,2,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9cb80f8f
47,Adam Bartlett,eng ENG,GK,Hartlepool,29,1986,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,673406a9
48,Adam Barton,nir NIR,MF,Portsmouth,24,1991,16,11,1104,12.3,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,a36b02fd
49,Ollie Bassett,nir NIR,MF,Yeovil Town,17,1998,2,2,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,049d2742
50,Matthew Bates,eng ENG,DF,Hartlepool,28,1986,32,30,2651,29.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,dd7a0bfe
51,Shaun Batt,eng ENG,FWMF,Barnet,28,1987,16,4,572,6.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,74c0ce72
52,Mathieu Baudry,fr FRA,DF,Leyton Orient,27,1988,34,33,2844,31.6,2,2,4,2,0,0,3,2,0.06,0.06,0.13,0.06,0.13,Matches,f3c2e308
53,Bobson Bawling,eng ENG,MF,Crawley Town,19,1995,15,7,752,8.4,0,2,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches,58cbc1bc
54,James Baxendale,eng ENG,MF,Mansfield Town,22,1992,15,11,893,9.9,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,5db90096
55,Marcus Bean,jm JAM,MF,Wycombe,30,1984,30,27,2340,26.0,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,d7e4c65c
56,Chris Beardsley,eng ENG,FW,Mansfield Town,31,1984,14,6,512,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,7aa4c2c8
57,Sam Beasant,eng ENG,GK,Cambridge,27,1988,15,14,1297,14.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23f1af23
58,Mark Beck,sct SCO,FWMF,Yeovil Town,21,1994,8,3,338,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,60d58b05
59,Shaun Beeley,eng ENG,DF,Morecambe,26,1988,39,39,3363,37.4,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,4dba97de
60,Mitchell Beeney,eng ENG,GK,Newport County,19,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc630911
61,Tom Beere,eng ENG,MF,AFC Wimbledon,20,1995,2,1,143,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bac33d53
62,Kyle Bennett,eng ENG,MF,Portsmouth,24,1990,42,40,3318,36.9,6,9,15,6,0,0,3,0,0.16,0.24,0.41,0.16,0.41,Matches,46b16c2c
63,Scot Bennett,eng ENG,DFMF,Newport County,24,1990,12,12,1050,11.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,911c7cec
64,Scot Bennett,eng ENG,DFMF,York City,24,1990,11,11,955,10.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,911c7cec
65,Scot Bennett,eng ENG,DFMF,Notts County,24,1990,6,5,422,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,911c7cec
66,Malvind Benning,eng ENG,DFMF,Mansfield Town,21,1993,31,30,2740,30.4,4,3,7,4,0,0,7,0,0.13,0.10,0.23,0.13,0.23,Matches,f7722d79
67,Paul Benson,eng ENG,FW,Luton Town,35,1979,20,13,1283,14.3,4,1,5,4,0,0,3,1,0.28,0.07,0.35,0.28,0.35,Matches,9585d6ce
68,Jordan Bentley,eng ENG,DF,Plymouth Argyle,16,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9432a004
