,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Stanley Aborah,be BEL,MF,Notts County,29,1987,8,6,461,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc3c0627
2,Stanley Aborah,be BEL,MF,Portsmouth,29,1987,4,1,124,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc3c0627
3,Tristan Abrahams,eng ENG,FWMF,Leyton Orient,17,1998,9,4,472,5.2,2,0,2,2,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,cfd667ae
4,Blair Adams,eng ENG,DF,Cambridge,24,1991,6,4,413,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,739a0921
5,Nicky Adams,wls WAL,MF,Carlisle United,29,1986,42,41,3596,40.0,3,11,14,3,0,0,2,0,0.08,0.28,0.35,0.08,0.35,Matches,a1a33d78
6,Victor Adeboyejo,eng ENG,FW,Leyton Orient,18,1998,13,4,452,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,e3c24495
7,Will Aimson,eng ENG,DF,Blackpool,20,1995,18,15,1397,15.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4f71beda
8,Callum Ainley,eng ENG,MF,Crewe Alexandra,18,1997,27,6,731,8.1,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches,836e8740
9,John Akinde,eng ENG,FW,Barnet,27,1989,46,46,4138,46.0,26,2,28,20,6,8,12,0,0.57,0.04,0.61,0.43,0.48,Matches,93a09a47
10,Sam Akinde,eng ENG,FW,Barnet,23,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9f435bf
11,Adebayo Akinfenwa,eng ENG,FW,Wycombe,34,1982,42,32,3049,33.9,12,3,15,12,0,0,2,2,0.35,0.09,0.44,0.35,0.44,Matches,dcb17ca5
12,Simeon Akinola,eng ENG,FW,Barnet,23,1992,19,14,1223,13.6,2,2,4,2,0,0,0,1,0.15,0.15,0.29,0.15,0.29,Matches,e48edc45
13,Femi Akinwande,eng ENG,FW,Colchester,20,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,29932be8
14,Jean-Louis Akpa Akpro,ci CIV,FW,Yeovil Town,31,1985,13,9,859,9.5,2,1,3,2,0,0,1,0,0.21,0.10,0.31,0.21,0.31,Matches,de365d76
15,Jean-Louis Akpa Akpro,ci CIV,FW,Barnet,31,1985,23,7,1034,11.5,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches,de365d76
16,Craig Alcock,eng ENG,DF,Doncaster,28,1987,27,24,2137,23.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,86f6cfd2
17,Tom Aldred,sct SCO,DF,Blackpool,25,1990,44,44,3906,43.4,2,1,3,2,0,0,10,1,0.05,0.02,0.07,0.05,0.07,Matches,2a75e914
18,Lewis Alessandra,eng ENG,FWMF,Hartlepool,27,1989,46,39,3635,40.4,9,9,18,9,0,1,3,0,0.22,0.22,0.45,0.22,0.45,Matches,c9b22fff
