,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,18,2000,41,41,3664,40.7,2,6,8,2,0,0,8,0,0.05,0.15,0.20,0.05,0.20,Matches,774cf58b
2,Rolando Aarons,eng ENG,MF,Sheffield Weds,22,1995,9,6,555,6.2,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches,c5942695
3,Tammy Abraham,eng ENG,FW,Aston Villa,20,1997,37,37,3138,34.9,25,3,28,20,5,6,3,0,0.72,0.09,0.80,0.57,0.66,Matches,f586779e
4,Charlie Adam,sct SCO,MF,Stoke City,32,1985,12,4,386,4.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,aff418dc
5,Ché Adams,sct SCO,FW,Birmingham City,22,1996,46,43,3728,41.4,22,4,26,21,1,1,5,0,0.53,0.10,0.63,0.51,0.60,Matches,f2bf1b0f
6,Tosin Adarabioyo,eng ENG,DF,West Brom,20,1997,29,21,2031,22.6,0,2,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,c81d773d
7,Hakeeb Adelakun,eng ENG,MF,Bristol City,22,1996,5,3,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,042d182c
8,Albert Adomah,gh GHA,MFFW,Aston Villa,30,1987,36,22,1857,20.6,4,2,6,4,0,0,3,0,0.19,0.10,0.29,0.19,0.29,Matches,c7174e81
9,Benik Afobe,cd COD,FW,Stoke City,25,1993,45,32,2818,31.3,8,2,10,6,2,4,0,0,0.26,0.06,0.32,0.19,0.26,Matches,b63f4077
10,Semi Ajayi,ng NGA,DFMF,Rotherham,24,1993,46,46,4106,45.6,7,1,8,7,0,0,5,0,0.15,0.02,0.18,0.15,0.18,Matches,d6192210
11,Joost van Aken,nl NED,DF,Sheffield Weds,24,1994,1,1,60,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b4706f20
12,George Alexander,eng ENG,FW,Millwall,17,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c6bc7a2
13,Ezgjan Alioski,mk MKD,MFDF,Leeds United,26,1992,44,44,3659,40.7,7,6,13,7,0,0,9,0,0.17,0.15,0.32,0.17,0.32,Matches,1a7fcf39
14,Joe Allen,wls WAL,MF,Stoke City,28,1990,46,46,4131,45.9,6,4,10,6,0,0,9,0,0.13,0.09,0.22,0.13,0.22,Matches,9feb8f24
15,Ben Alnwick,eng ENG,GK,Bolton,31,1987,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55b11e73
16,Sone Aluko,ng NGA,MFFW,Reading,29,1989,19,13,996,11.1,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,5a75d4cc
17,Sammy Ameobi,eng ENG,MFFW,Bolton,26,1992,30,26,2333,25.9,4,4,8,4,0,0,2,1,0.15,0.15,0.31,0.15,0.31,Matches,acd61628
18,Ben Amos,eng ENG,GK,Millwall,28,1990,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f6799cd2
19,Karim Ansarifard,ir IRN,FW,Nottingham,28,1990,12,3,293,3.3,2,1,3,2,0,0,3,0,0.61,0.31,0.92,0.61,0.92,Matches,50cddd19
20,Arvin Appiah,eng ENG,MF,Nottingham,17,2001,6,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eafa6953
21,Jordan Archer,sct SCO,GK,Millwall,25,1993,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,480c4a00
22,Adam Armstrong,eng ENG,MFFW,Blackburn,21,1997,44,31,2853,31.7,5,3,8,5,0,0,1,0,0.16,0.09,0.25,0.16,0.25,Matches,68c720b5
23,Joel Asoro,se SWE,FW,Swansea City,19,1999,14,4,465,5.2,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,13e827f8
24,Britt Assombalonga,cd COD,FW,Middlesbrough,25,1992,42,28,2682,29.8,14,0,14,12,2,2,2,0,0.47,0.00,0.47,0.40,0.40,Matches,315aa9c5
25,Daniel Ayala,es ESP,DF,Middlesbrough,27,1990,33,32,2717,30.2,1,0,1,1,0,0,11,2,0.03,0.00,0.03,0.03,0.03,Matches,302560a0
26,Luke Ayling,eng ENG,DF,Leeds United,26,1991,38,38,3238,36.0,2,6,8,2,0,0,5,1,0.06,0.17,0.22,0.06,0.22,Matches,420d7c7d
27,Leandro Bacuna,cw CUW,MF,Reading,26,1991,26,23,2101,23.3,3,3,6,3,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matches,9dc69d38
28,Ash Baker,wls WAL,MFDF,Sheffield Weds,21,1996,11,11,958,10.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,5a423a64
29,Lewis Baker,eng ENG,MF,Reading,23,1995,19,17,1478,16.4,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,1b278bf5
30,Lewis Baker,eng ENG,MF,Leeds United,23,1995,11,2,228,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1b278bf5
31,Nathan Baker,eng ENG,DF,Bristol City,27,1991,16,12,924,10.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b18af9e3
32,Courtney Baker-Richardson,eng ENG,FW,Swansea City,22,1995,17,6,454,5.0,3,1,4,3,0,0,1,1,0.59,0.20,0.79,0.59,0.79,Matches,3e2edcd1
33,George Baldock,gr GRE,MF,Sheffield United,25,1993,27,26,2274,25.3,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches,394854c4
34,Sam Baldock,eng ENG,FW,Reading,29,1989,21,15,1364,15.2,5,1,6,3,2,2,2,0,0.33,0.07,0.40,0.20,0.26,Matches,9d597f08
35,David Ball,eng ENG,MF,Rotherham,28,1989,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c538e9e7
36,Patrick Bamford,eng ENG,FW,Leeds United,24,1993,22,15,1363,15.1,9,2,11,8,1,2,2,0,0.59,0.13,0.73,0.53,0.66,Matches,93feac6e
37,Beni Baningime,,MF,Wigan Athletic,19,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9178af
38,Barry Bannan,sct SCO,MF,Sheffield Weds,28,1989,41,40,3595,39.9,4,11,15,4,0,0,14,0,0.10,0.28,0.38,0.10,0.38,Matches,9469fb13
39,Alex Baptiste,eng ENG,DF,QPR,32,1986,4,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b72f0b6
40,Yoann Barbet,fr FRA,DF,Brentford,25,1993,32,30,2694,29.9,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,c52bbd2c
41,Brandon Barker,eng ENG,MFFW,Preston,21,1996,16,6,594,6.6,0,2,2,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,3098c0df
42,Tom Barkhuizen,eng ENG,MF,Preston,25,1993,34,26,2350,26.1,6,1,7,6,0,0,0,0,0.23,0.04,0.27,0.23,0.27,Matches,9cf7496b
43,Harvey Barnes,eng ENG,MFFW,West Brom,20,1997,26,26,2214,24.6,9,6,15,9,0,0,1,0,0.37,0.24,0.61,0.37,0.61,Matches,3ea50f67
44,Josh Barrett,ie IRL,FW,Reading,20,1998,2,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e1365b3
45,Modou Barrow,gm GAM,MFFW,Reading,25,1992,35,25,2240,24.9,4,6,10,4,0,0,4,0,0.16,0.24,0.40,0.16,0.40,Matches,75783f5f
46,Gareth Barry,eng ENG,MF,West Brom,37,1981,24,15,1391,15.5,1,1,2,1,0,0,8,0,0.06,0.06,0.13,0.06,0.13,Matches,7dbbe367
47,Kyle Bartley,eng ENG,DF,West Brom,27,1991,28,24,2189,24.3,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,18e96f64
48,Chris Basham,eng ENG,DF,Sheffield United,30,1988,41,39,3386,37.6,4,1,5,4,0,0,12,1,0.11,0.03,0.13,0.11,0.13,Matches,1aa84968
49,Gil Bastião Dias,pt POR,MF,Nottingham,21,1996,21,10,921,10.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e61bdd69
50,Danny Batth,eng ENG,DF,Middlesbrough,27,1990,10,8,722,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f1d0fa63
51,Danny Batth,eng ENG,DF,Stoke City,27,1990,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f1d0fa63
52,Daniel Batty,eng ENG,MF,Hull City,20,1997,27,22,1819,20.2,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,96c92a74
53,Moritz Bauer,at AUT,MFDF,Stoke City,26,1992,8,6,597,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cfe6238d
54,Mads Bech Sørensen,dk DEN,DF,Brentford,19,1999,8,7,673,7.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
55,Mark Beevers,eng ENG,DF,Bolton,28,1989,32,31,2765,30.7,3,0,3,3,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,30bea884
56,Amari'i Bell,jm JAM,DF,Blackburn,24,1994,38,35,3204,35.6,3,1,4,3,0,0,0,0,0.08,0.03,0.11,0.08,0.11,Matches,399e9474
57,Yohan Benalouane,tn TUN,DF,Nottingham,31,1987,14,14,1215,13.5,1,0,1,1,0,0,7,2,0.07,0.00,0.07,0.07,0.07,Matches,8309b068
58,Elliott Bennett,eng ENG,DFMF,Blackburn,29,1988,40,38,3399,37.8,1,3,4,1,0,0,10,0,0.03,0.08,0.11,0.03,0.11,Matches,02c9ea40
59,Mason Bennett,eng ENG,MFFW,Derby County,22,1996,30,9,1120,12.4,3,4,7,3,0,0,6,0,0.24,0.32,0.56,0.24,0.56,Matches,aba031ad
60,Saïd Benrahma,dz ALG,FWMF,Brentford,22,1995,38,29,2438,27.1,10,14,24,10,0,0,3,1,0.37,0.52,0.89,0.37,0.89,Matches,5a04fd92
61,Daniel Bentley,eng ENG,GK,Brentford,25,1993,33,33,2954,32.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68db6358
62,Saido Berahino,bi BDI,FWMF,Stoke City,24,1993,23,16,1330,14.8,3,1,4,3,0,1,0,0,0.20,0.07,0.27,0.20,0.27,Matches,25b166d0
63,Gaetano Berardi,ch SUI,DF,Leeds United,29,1988,13,10,895,9.9,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,5348aada
64,Muhamed Bešić,ba BIH,MF,Middlesbrough,25,1992,37,30,2254,25.0,2,5,7,2,0,0,5,1,0.08,0.20,0.28,0.08,0.28,Matches,7ca9f0f0
65,Bartosz Białkowski,pl POL,GK,Ipswich Town,31,1987,28,28,2520,28.0,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,4b5e809f
66,Jake Bidwell,eng ENG,DF,QPR,25,1993,40,40,3482,38.7,0,4,4,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches,676b6c9b
67,Mame Biram Diouf,sn SEN,MFFW,Stoke City,30,1987,14,6,621,6.9,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,7f4f3e49
68,Max Bird,eng ENG,MF,Derby County,17,2000,4,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46d27ca0
69,Teddy Bishop,eng ENG,MF,Ipswich Town,22,1996,18,13,1064,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,682f5364
70,Birkir Bjarnason,is ISL,MF,Aston Villa,30,1988,17,11,930,10.3,2,0,2,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,da13074e
71,Tyler Blackett,eng ENG,DF,Reading,24,1994,31,29,2496,27.7,0,2,2,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches,a68a5466
72,Jayden Bogle,eng ENG,DF,Derby County,18,2000,40,39,3485,38.7,2,7,9,2,0,0,7,0,0.05,0.18,0.23,0.05,0.23,Matches,ae5019e6
73,Omar Bogle,eng ENG,FW,Birmingham City,25,1993,15,3,369,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,c334bcfc
74,Yannick Bolasie,cd COD,MFFW,Aston Villa,29,1989,21,9,958,10.6,2,4,6,2,0,0,4,0,0.19,0.38,0.56,0.19,0.56,Matches,715fc0fe
75,Léo Bonatini,br BRA,MFFW,Nottingham,24,1994,5,2,160,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da23d58d
76,Wilfried Bony,ci CIV,FW,Swansea City,29,1988,7,1,186,2.1,1,0,1,1,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,61abe9b6
77,Jarrod Bowen,eng ENG,MF,Hull City,21,1996,46,45,3944,43.8,22,4,26,18,4,5,1,0,0.50,0.09,0.59,0.41,0.50,Matches,79c84d1c
78,George Boyd,sct SCO,MF,Sheffield Weds,32,1985,20,14,1282,14.2,1,2,3,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,Matches,0a9048ce
79,Tom Bradshaw,wls WAL,FW,Millwall,26,1992,10,2,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9d071f8
80,Martin Braithwaite,dk DEN,FW,Middlesbrough,27,1991,17,12,1103,12.3,3,0,3,3,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,fd771f95
81,James Bree,eng ENG,DF,Aston Villa,20,1997,8,6,580,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c07b7c5c
82,James Bree,eng ENG,DFMF,Ipswich Town,20,1997,14,13,1170,13.0,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,c07b7c5c
83,Ben Brereton,cl CHI,FWMF,Blackburn,19,1999,25,4,695,7.7,1,1,2,1,0,0,3,0,0.13,0.13,0.26,0.13,0.26,Matches,57827369
84,Liam Bridcutt,sct SCO,DFMF,Nottingham,29,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6066695
85,Harry Brockbank,eng ENG,DF,Bolton,19,1998,3,3,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e169041
86,Izzy Brown,eng ENG,FWMF,Leeds United,21,1997,1,0,10,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf54c8cc
87,Alan Browne,ie IRL,MF,Preston,23,1995,38,36,3164,35.2,12,5,17,12,0,0,4,0,0.34,0.14,0.48,0.34,0.48,Matches,25dea15a
88,Josh Brownhill,eng ENG,MF,Bristol City,22,1995,45,45,3975,44.2,5,4,9,5,0,0,6,1,0.11,0.09,0.20,0.11,0.20,Matches,47369df8
89,Chris Brunt,nir NIR,MF,West Brom,33,1984,32,22,2010,22.3,1,6,7,1,0,0,4,0,0.04,0.27,0.31,0.04,0.31,Matches,ec7e6ad1
90,Joe Bryan,eng ENG,DF,Bristol City,24,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af69e7f0
91,Craig Bryson,sct SCO,MF,Derby County,31,1986,28,25,2117,23.5,3,2,5,3,0,0,7,0,0.13,0.09,0.21,0.13,0.21,Matches,10aaf318
92,John Buckley,eng ENG,MF,Blackburn,18,1999,2,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3ac41b5
93,Will Buckley,eng ENG,MF,Bolton,28,1989,33,23,1833,20.4,5,1,6,5,0,0,3,0,0.25,0.05,0.29,0.25,0.29,Matches,b1929302
94,Emi Buendía,ar ARG,MF,Norwich City,21,1996,38,35,2841,31.6,8,12,20,8,0,0,6,1,0.25,0.38,0.63,0.25,0.63,Matches,66b76d44
95,Mark Bunn,eng ENG,GK,Aston Villa,33,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6738b6c
96,Graham Burke,ie IRL,MF,Preston,24,1993,12,6,468,5.2,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,bc227f51
97,Oliver Burke,sct SCO,FWMF,West Brom,21,1997,3,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f631c17f
98,Reece Burke,eng ENG,DF,Hull City,21,1996,34,32,2780,30.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a681b7b7
99,Dan Burn,eng ENG,DF,Wigan Athletic,26,1992,14,13,1216,13.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b2d31e83
100,Jack Butland,eng ENG,GK,Stoke City,25,1993,45,45,4050,45.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc70a1d5
101,Daniel Butterworth,eng ENG,FWMF,Blackburn,18,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5564eb4f
102,George Byers,sct SCO,MF,Swansea City,22,1996,21,20,1637,18.2,2,1,3,2,0,0,2,0,0.11,0.05,0.16,0.11,0.16,Matches,f4c20cb3
103,Sam Byram,eng ENG,DFMF,Nottingham,24,1993,6,6,524,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1bf811d4
104,Nathan Byrne,eng ENG,MFDF,Wigan Athletic,26,1992,30,26,2349,26.1,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches,c4041fbc
105,Geoff Cameron,us USA,MFDF,QPR,33,1985,19,17,1389,15.4,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,Matches,1a160ea3
106,Lee Camp,nir NIR,GK,Birmingham City,33,1984,44,44,3960,44.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df4b8b69
107,Fraizer Campbell,eng ENG,FW,Hull City,30,1987,39,31,2575,28.6,12,6,18,12,0,0,7,0,0.42,0.21,0.63,0.42,0.63,Matches,81d63375
108,Tyrese Campbell,eng ENG,FW,Stoke City,18,1999,3,2,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38aefb74
109,Sergi Canós,es ESP,MFFW,Brentford,21,1997,44,25,2193,24.4,7,7,14,7,0,0,2,0,0.29,0.29,0.57,0.29,0.57,Matches,1137759d
110,Todd Cantwell,eng ENG,MF,Norwich City,20,1998,24,18,1595,17.7,1,2,3,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,Matches,f63d8a4b
111,Tom Carroll,eng ENG,MF,Swansea City,26,1992,12,8,683,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a1900a4
112,Tom Carroll,eng ENG,MF,Aston Villa,26,1992,2,0,37,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5a1900a4
113,Scott Carson,eng ENG,GK,Derby County,32,1985,30,30,2700,30.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,3e1550ee
114,Cameron Carter-Vickers,us USA,DF,Swansea City,20,1997,30,23,2208,24.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,88ced02c
115,João Carvalho,pt POR,MF,Nottingham,21,1997,38,28,2553,28.4,4,8,12,4,0,0,5,0,0.14,0.28,0.42,0.14,0.42,Matches,36b76751
116,Matty Cash,pl POL,MF,Nottingham,20,1997,36,27,2428,27.0,6,1,7,6,0,0,4,0,0.22,0.04,0.26,0.22,0.26,Matches,2389cdc2
117,Kiko Casilla,es ESP,GK,Leeds United,31,1986,17,17,1529,17.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,58bc7d18
118,Bersant Celina,xk KVX,MFFW,Swansea City,21,1996,38,33,2963,32.9,5,6,11,5,0,1,1,0,0.15,0.18,0.33,0.15,0.33,Matches,3043d33f
119,Ilias Chair,ma MAR,FWMF,QPR,20,1997,4,0,32,0.4,0,1,1,0,0,0,0,0,0.00,2.81,2.81,0.00,2.81,Matches,ad7873cb
120,Trevoh Chalobah,eng ENG,MF,Ipswich Town,19,1999,43,35,3277,36.4,2,1,3,2,0,0,6,0,0.05,0.03,0.08,0.05,0.08,Matches,5515376c
121,Luke Chambers,eng ENG,DF,Ipswich Town,32,1985,43,43,3858,42.9,0,2,2,0,0,0,8,1,0.00,0.05,0.05,0.00,0.05,Matches,1a98bcf4
122,Harry Chapman,eng ENG,FWMF,Blackburn,20,1997,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7768b19f
123,James Chester,wls WAL,DF,Aston Villa,29,1989,28,28,2483,27.6,5,0,5,5,0,0,2,1,0.18,0.00,0.18,0.18,0.18,Matches,a772eba6
124,Jack Clarke,eng ENG,MF,Leeds United,17,2000,22,4,808,9.0,2,2,4,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches,e16932d8
125,Josh Clarke,eng ENG,DFMF,Brentford,23,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28ce8676
126,Leon Clarke,eng ENG,FW,Wigan Athletic,33,1985,15,9,839,9.3,3,2,5,3,0,0,0,0,0.32,0.21,0.54,0.32,0.54,Matches,91c975a0
127,Leon Clarke,eng ENG,FWMF,Sheffield United,33,1985,24,9,943,10.5,3,3,6,3,0,0,1,0,0.29,0.29,0.57,0.29,0.57,Matches,91c975a0
128,Tom Clarke,eng ENG,DF,Preston,30,1987,21,21,1852,20.6,1,1,2,1,0,0,0,0,0.05,0.05,0.10,0.05,0.10,Matches,73e704dd
129,Adam Clayton,eng ENG,MF,Middlesbrough,29,1989,36,29,2490,27.7,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,45b59689
130,Sam Clucas,eng ENG,MFDF,Stoke City,27,1990,26,23,2002,22.2,3,4,7,3,0,1,2,1,0.13,0.18,0.31,0.13,0.31,Matches,987718f5
131,Josh Cogley,eng ENG,DFMF,Birmingham City,22,1996,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01df3960
132,Jack Colback,eng ENG,MF,Nottingham,28,1989,38,38,3384,37.6,3,1,4,3,0,0,15,0,0.08,0.03,0.11,0.08,0.11,Matches,963a9201
133,Ashley Cole,eng ENG,DFMF,Derby County,37,1980,9,6,566,6.3,0,2,2,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,Matches,be091289
134,Maxime Colin,fr FRA,DF,Birmingham City,26,1991,43,43,3791,42.1,0,3,3,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,2f71c116
135,James Collins,wls WAL,DF,Ipswich Town,34,1983,6,6,458,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c61f1719
136,Nathan Collins,ie IRL,DF,Stoke City,17,2001,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8c19eb8
137,Luca Connell,ie IRL,MF,Bolton,17,2001,10,8,672,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,875cbc84
138,Callum Connolly,eng ENG,MFDF,Bolton,20,1997,16,15,1359,15.1,2,2,4,2,0,0,4,0,0.13,0.13,0.26,0.13,0.26,Matches,39ad0b72
139,Callum Connolly,eng ENG,MFDF,Wigan Athletic,20,1997,17,7,781,8.7,1,0,1,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,39ad0b72
140,Craig Conway,sct SCO,MFFW,Blackburn,33,1985,21,9,952,10.6,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,2ce2d9ea
141,Jake Cooper,eng ENG,DF,Millwall,23,1995,46,46,4140,46.0,5,6,11,5,0,0,10,0,0.11,0.13,0.24,0.11,0.24,Matches,aa7dfc40
142,Liam Cooper,sct SCO,DF,Leeds United,26,1991,36,36,3170,35.2,3,1,4,3,0,0,4,0,0.09,0.03,0.11,0.09,0.11,Matches,dc64b8b3
143,Jordan Cousins,eng ENG,MF,QPR,24,1994,28,23,2016,22.4,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,d4b0eb12
144,Paul Coutts,sct SCO,MF,Sheffield United,30,1988,13,1,311,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e00c4257
145,Martin Cranie,eng ENG,DF,Sheffield United,31,1986,15,9,881,9.8,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,9e53837d
146,Matt Crooks,eng ENG,MFFW,Rotherham,24,1994,16,7,739,8.2,3,0,3,3,0,0,2,0,0.37,0.00,0.37,0.37,0.37,Matches,43f5d4e6
147,Peter Crouch,eng ENG,FW,Stoke City,37,1981,23,2,471,5.2,1,1,2,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches,73d9bdc7
148,Bradley Dack,eng ENG,MF,Blackburn,24,1993,42,40,3446,38.3,15,7,22,14,1,1,4,0,0.39,0.18,0.57,0.37,0.55,Matches,542d4f02
149,Stuart Dallas,nir NIR,DFMF,Leeds United,27,1991,26,10,1255,13.9,2,0,2,2,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,67ca8566
150,Henrik Dalsgaard,dk DEN,DFMF,Brentford,29,1989,40,40,3514,39.0,2,2,4,2,0,0,11,1,0.05,0.05,0.10,0.05,0.10,Matches,563cbac0
