,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
774,Martyn Woolford,eng ENG,FWMF,Bristol City,24,1985,15,10,915,10.2,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,f4440a33
775,Andrew Wright,eng ENG,DFMF,Scunthorpe,25,1985,20,16,1538,17.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,4502998a
776,Bailey Wright,au AUS,DF,Preston,18,1992,2,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4be70ecf
777,David Wright,eng ENG,DF,Crystal Palace,30,1980,28,27,2375,26.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,fdc640d2
778,Josh Wright,eng ENG,MF,Scunthorpe,20,1989,36,31,2714,30.2,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,2aa43fab
779,Richard Wright,eng ENG,GK,Sheffield United,32,1977,2,2,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d9e2e2ae
780,Mark Yeates,ie IRL,DFFW,Sheffield United,25,1985,35,18,1907,21.2,5,3,8,5,0,0,4,0,0.24,0.14,0.38,0.24,0.38,b3922703
781,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,17,1992,41,26,2632,29.2,1,4,5,1,0,0,4,1,0.03,0.14,0.17,0.03,0.17,b2bc3b1f
782,Kamil Zayatte,gn GUI,DFMF,Hull City,25,1985,16,16,1384,15.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1914aaad
783,Merouane Zemmama,ma MAR,FWMF,Middlesbrough,26,1983,9,2,210,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,5dc9790c
784,Gianni Zuiverloon,nl NED,DF,Ipswich Town,23,1986,4,4,338,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,22d7fe43
