,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Charlee Adams,eng ENG,MF,Birmingham City,20,1995,2,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d80136e
2,Tom Adeyemi,eng ENG,MF,Leeds United,23,1991,23,17,1411,15.7,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,e278cebf
3,Albert Adomah,gh GHA,MFFW,Middlesbrough,27,1987,43,36,3229,35.9,6,5,11,6,0,0,1,0,0.17,0.14,0.31,0.17,0.31,Matches,c7174e81
4,Benik Afobe,cd COD,FWMF,Wolves,22,1993,25,23,2029,22.5,9,0,9,7,2,2,1,0,0.40,0.00,0.40,0.31,0.31,Matches,b63f4077
5,Kieran Agard,eng ENG,FW,Bristol City,25,1989,25,7,796,8.8,2,0,2,2,0,1,2,0,0.23,0.00,0.23,0.23,0.23,Matches,a6c9bf1c
6,Hope Akpan,ng NGA,MF,Blackburn,23,1991,35,29,2696,30.0,3,0,3,3,0,0,7,0,0.10,0.00,0.10,0.10,0.10,Matches,1ccbca79
7,Chuba Akpom,eng ENG,FW,Hull City,19,1995,35,19,1793,19.9,3,1,4,3,0,0,2,0,0.15,0.05,0.20,0.15,0.20,Matches,e2b384d2
8,Lloyd Allinson,eng ENG,GK,Huddersfield,21,1993,1,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab852c99
9,Sone Aluko,ng NGA,FWMF,Hull City,26,1989,25,8,944,10.5,3,1,4,3,0,0,0,0,0.29,0.10,0.38,0.29,0.38,Matches,5a75d4cc
10,Sammy Ameobi,eng ENG,MFFW,Cardiff City,23,1992,36,8,1303,14.5,1,3,4,1,0,0,4,1,0.07,0.21,0.28,0.07,0.28,Matches,acd61628
11,Shola Ameobi,ng NGA,FW,Bolton,33,1981,8,6,545,6.1,2,0,2,2,0,1,0,0,0.33,0.00,0.33,0.33,0.33,Matches,e79a368b
12,Fernando Amorebieta,ve VEN,DF,Middlesbrough,30,1985,13,11,1034,11.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,b2bbc0ec
13,Fernando Amorebieta,ve VEN,DF,Fulham,30,1985,14,14,1222,13.6,0,1,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches,b2bbc0ec
14,Ben Amos,eng ENG,GK,Bolton,25,1990,40,40,3521,39.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,f6799cd2
15,Tony Andreu,fr FRA,MFFW,Rotherham,27,1988,11,10,712,7.9,2,4,6,2,0,0,0,0,0.25,0.51,0.76,0.25,0.76,Matches,15504546
16,Gabriele Angella,it ITA,DF,QPR,26,1989,17,16,1456,16.2,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches,0c971997
17,Mirco Antenucci,it ITA,FWMF,Leeds United,30,1984,39,21,2196,24.4,9,4,13,7,2,2,7,0,0.37,0.16,0.53,0.29,0.45,Matches,43a2e16c
18,Michail Antonio,jm JAM,MFFW,Nottingham,25,1990,4,4,360,4.0,2,1,3,2,0,0,0,0,0.50,0.25,0.75,0.50,0.75,Matches,ac05f970
19,Scott Arfield,ca CAN,MF,Burnley,26,1988,46,46,3940,43.8,8,6,14,8,0,0,5,0,0.18,0.14,0.32,0.18,0.32,Matches,b1313ec4
20,Britt Assombalonga,cd COD,FW,Nottingham,22,1992,4,0,60,0.7,1,0,1,1,0,0,1,0,1.50,0.00,1.50,1.50,1.50,Matches,315aa9c5
21,Charlie Austin,eng ENG,FW,QPR,26,1989,16,12,1140,12.7,9,1,10,8,1,1,4,0,0.71,0.08,0.79,0.63,0.71,Matches,8d228291
22,Daniel Ayala,es ESP,DF,Middlesbrough,24,1990,35,34,3010,33.4,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches,302560a0
23,Luke Ayling,eng ENG,DFMF,Bristol City,23,1991,33,29,2652,29.5,0,2,2,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,420d7c7d
24,El-Hadji Ba,mr MTN,MF,Charlton Athletic,22,1993,25,13,1102,12.2,0,1,1,0,0,0,9,0,0.00,0.08,0.08,0.00,0.08,Matches,db89826f
25,Darnelle Bailey-King,eng ENG,FW,Rotherham,16,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0f2fd07
26,Chris Baird,nir NIR,MFDF,Derby County,33,1982,14,8,753,8.4,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,55fd8c81
27,Chris Baird,nir NIR,MF,Fulham,33,1982,7,3,325,3.6,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches,55fd8c81
28,Carl Baker,eng ENG,MF,MK Dons,32,1982,34,18,1779,19.8,3,1,4,3,0,1,5,0,0.15,0.05,0.20,0.15,0.20,Matches,9ab0af00
