,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Adam El-Abd,eg EGY,DF,Brighton,28,1984,9,5,527,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,4eb90566
2,Almen Abdi,ch SUI,MF,Watford,26,1986,13,9,936,10.4,2,4,6,2,0,0,1,0,0.19,0.38,0.58,0.19,0.58,8d425d84
3,Nadjim Abdou,km COM,MF,Millwall,29,1984,24,21,1855,20.6,0,1,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,5b7a0657
4,Djamel Abdoun,dz ALG,MF,Nottingham,27,1986,22,15,1219,13.5,1,2,3,1,0,1,1,1,0.07,0.15,0.22,0.07,0.22,e2656e6f
5,Javier Acuña,py PAR,FW,Watford,25,1988,9,3,287,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,993ff7aa
6,Tom Adeyemi,eng ENG,MF,Birmingham City,21,1991,35,32,2707,30.1,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,e278cebf
7,Albert Adomah,gh GHA,FWMF,Middlesbrough,25,1987,42,38,3425,38.1,12,5,17,12,0,0,2,0,0.32,0.13,0.45,0.32,0.45,c7174e81
8,Benik Afobe,cd COD,FW,Sheffield Weds,20,1993,12,4,412,4.6,2,0,2,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,b63f4077
9,Kemy Agustien,cw CUW,DFMF,Brighton,26,1986,11,5,500,5.6,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,027a5151
10,Astrit Ajdarević,al ALB,MF,Charlton Athletic,23,1990,19,13,1074,11.9,2,2,4,2,0,0,1,0,0.17,0.17,0.34,0.17,0.34,aeee3365
11,Hope Akpan,ng NGA,MF,Reading,21,1991,29,17,1601,17.8,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,1ccbca79
12,Marc Albrighton,eng ENG,MF,Wigan Athletic,23,1989,4,2,197,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,b827d5b3
13,Scott Allan,sct SCO,MF,Birmingham City,21,1991,5,2,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fbd29892
14,Ryan Allsop,eng ENG,GK,Bournemouth,21,1992,12,11,1009,11.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,af615123
15,Louis Almond,eng ENG,FW,Blackpool,21,1992,1,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,db14c0bc
