,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,22,2000,45,44,3851,42.8,1,3,4,1,0,0,10,0,0.02,0.07,0.09,0.02,0.09,Matches,774cf58b
2,Thelo Aasgaard,no NOR,MF,Wigan Athletic,20,2002,41,12,1587,17.6,3,1,4,3,0,0,1,0,0.17,0.06,0.23,0.17,0.23,Matches,c88a28b9
3,Nelson Abbey,eng ENG,DF,Reading,18,2003,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33f40a36
4,Kelvin Abrefa,eng ENG,DF,Reading,18,2003,8,0,127,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
5,Finlay Adair,eng ENG,FW,Preston,17,2005,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e7f4fca
6,Elijah Adebayo,eng ENG,FW,Luton Town,24,1998,42,39,3216,35.7,7,3,10,7,0,1,8,0,0.20,0.08,0.28,0.20,0.28,Matches,0480ebc7
7,Toby Adeyemo,eng ENG,FW,Watford,17,2005,4,0,96,1.1,1,0,1,1,0,0,1,0,0.94,0.00,0.94,0.94,0.94,Matches,80d9aac2
8,Albert Adomah,gh GHA,MFFW,QPR,34,1987,38,12,1270,14.1,2,0,2,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,c7174e81
9,Michael Adu-Poku,eng ENG,FW,Watford,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e47141d7
10,Benik Afobe,cd COD,FW,Millwall,29,1993,19,8,927,10.3,2,1,3,2,0,1,1,0,0.19,0.10,0.29,0.19,0.29,Matches,b63f4077
11,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,23,1999,34,32,2860,31.8,6,2,8,6,0,0,12,0,0.19,0.06,0.25,0.19,0.25,Matches,eab957a3
12,Semi Ajayi,ng NGA,DF,West Brom,28,1993,22,17,1462,16.2,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,d6192210
13,Chuba Akpom,eng ENG,MFFW,Middlesbrough,26,1995,38,35,3108,34.5,28,2,30,24,4,6,5,0,0.81,0.06,0.87,0.69,0.75,Matches,e2b384d2
