,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Adam El-Abd,eg EGY,DF,Brighton,26,1984,23,21,1989,22.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,4eb90566
2,Nadjim Abdou,km COM,MF,Millwall,27,1984,40,35,3247,36.1,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,5b7a0657
3,Yuki Abe,jp JPN,DFMF,Leicester City,29,1981,16,13,1054,11.7,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,9a0973f3
4,Miles Addison,eng ENG,DFMF,Barnsley,22,1989,11,9,756,8.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,ccc9bd95
5,Dele Adebola,ng NGA,FW,Hull City,36,1975,10,2,239,2.7,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,498b401e
6,Albert Adomah,gh GHA,FWMF,Bristol City,23,1987,45,39,3520,39.1,5,7,12,5,0,0,4,0,0.13,0.18,0.31,0.13,0.31,c7174e81
7,Benik Afobe,cd COD,FW,Reading,18,1993,3,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b63f4077
8,Torbjørn Agdestein,no NOR,FW,Brighton,19,1991,4,0,65,0.7,0,1,1,0,0,0,1,0,0.00,1.38,1.38,0.00,1.38,c880689a
9,Patrick Agyemang,gh GHA,FW,Millwall,30,1980,2,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,80f1245c
10,Nicky Ajose,eng ENG,FW,Peterborough,19,1991,2,1,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9ba0ea6e
11,Craig Alcock,eng ENG,DF,Peterborough,23,1987,41,40,3565,39.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,86f6cfd2
