,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Rolando Aarons,eng ENG,MF,Newcastle,20,1995,4,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5942695
2,Almen Abdi,ch SUI,MF,Sheffield Weds,29,1986,16,11,740,8.2,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,8d425d84
3,Tammy Abraham,eng ENG,FW,Bristol City,18,1997,41,40,3414,37.9,23,3,26,21,2,2,3,0,0.61,0.08,0.69,0.55,0.63,Matches,f586779e
4,Ché Adams,sct SCO,FWMF,Birmingham City,20,1996,40,28,2619,29.1,7,3,10,7,0,0,3,1,0.24,0.10,0.34,0.24,0.34,Matches,f2bf1b0f
5,Sam Adekugbe,ca CAN,DF,Brighton,21,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f2309be
6,Dennis Adeniran,eng ENG,MF,Fulham,17,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,506eff98
7,Tom Adeyemi,eng ENG,MF,Rotherham,24,1991,29,28,2325,25.8,6,2,8,6,0,0,3,0,0.23,0.08,0.31,0.23,0.31,Matches,e278cebf
8,Albert Adomah,gh GHA,MFFW,Aston Villa,28,1987,38,30,2544,28.3,3,10,13,2,1,1,1,0,0.11,0.35,0.46,0.07,0.42,Matches,c7174e81
9,Gabriel Agbonlahor,eng ENG,FWMF,Aston Villa,29,1986,13,4,510,5.7,1,1,2,1,0,0,2,0,0.18,0.18,0.35,0.18,0.35,Matches,db80f5f1
10,Anel Ahmedhodžić,ba BIH,DFMF,Nottingham,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eab957a3
11,Semi Ajayi,ng NGA,DF,Rotherham,22,1993,17,17,1492,16.6,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,d6192210
12,Lucas Akins,gd GRN,MFFW,Burton Albion,27,1989,38,30,2826,31.4,5,2,7,4,1,1,3,0,0.16,0.06,0.22,0.13,0.19,Matches,a8e93bd1
13,Hope Akpan,ng NGA,MF,Blackburn,24,1991,25,16,1567,17.4,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches,1ccbca79
14,Chuba Akpom,eng ENG,FW,Brighton,20,1995,10,1,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2b384d2
15,Scott Allan,sct SCO,MF,Rotherham,24,1991,10,4,416,4.6,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,fbd29892
16,Sone Aluko,ng NGA,MFFW,Fulham,27,1989,45,44,3729,41.4,8,9,17,8,0,1,5,0,0.19,0.22,0.41,0.19,0.41,Matches,5a75d4cc
17,Jordan Amavi,fr FRA,DFMF,Aston Villa,22,1994,34,26,2500,27.8,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,22721b88
18,Sammy Ameobi,eng ENG,FWMF,Newcastle,24,1992,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,acd61628
19,Ben Amos,eng ENG,GK,Cardiff City,26,1990,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6799cd2
20,Vurnon Anita,cw CUW,DF,Newcastle,27,1989,27,24,2269,25.2,0,1,1,0,0,0,1,1,0.00,0.04,0.04,0.00,0.04,Matches,2d368fd5
21,Marcus Antonsson,se SWE,FW,Leeds United,25,1991,16,6,584,6.5,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,ba3378a5
22,Ikechi Anya,sct SCO,MFFW,Derby County,28,1988,26,14,1414,15.7,1,3,4,1,0,0,0,0,0.06,0.19,0.25,0.06,0.25,Matches,c55e973d
23,Adam Armstrong,eng ENG,FW,Barnsley,19,1997,34,21,1924,21.4,6,3,9,5,1,1,3,0,0.28,0.14,0.42,0.23,0.37,Matches,68c720b5
24,Adam Armstrong,eng ENG,FWMF,Newcastle,19,1997,2,0,29,0.3,0,1,1,0,0,0,0,0,0.00,3.10,3.10,0.00,3.10,Matches,68c720b5
25,Britt Assombalonga,cd COD,FW,Nottingham,23,1992,32,20,1818,20.2,14,1,15,12,2,3,0,0,0.69,0.05,0.74,0.59,0.64,Matches,315aa9c5
26,Christian Atsu,gh GHA,MF,Newcastle,24,1992,32,15,1578,17.5,5,1,6,5,0,0,2,0,0.29,0.06,0.34,0.29,0.34,Matches,8816329f
27,Jordan Ayew,gh GHA,MFFW,Aston Villa,24,1991,21,17,1526,17.0,2,5,7,1,1,1,5,0,0.12,0.29,0.41,0.06,0.35,Matches,da052c14
28,Floyd Ayité,tg TOG,MFFW,Fulham,27,1988,31,22,1974,21.9,9,7,16,9,0,0,1,0,0.41,0.32,0.73,0.41,0.73,Matches,fd5888a0
29,Luke Ayling,eng ENG,DF,Leeds United,24,1991,42,42,3761,41.8,0,3,3,0,0,0,10,0,0.00,0.07,0.07,0.00,0.07,Matches,420d7c7d
30,Luke Ayling,eng ENG,DF,Bristol City,24,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,420d7c7d
31,Leandro Bacuna,cw CUW,MFDF,Aston Villa,24,1991,30,22,2049,22.8,1,1,2,1,0,0,9,1,0.04,0.04,0.09,0.04,0.09,Matches,9dc69d38
32,Darnelle Bailey-King,eng ENG,FW,Rotherham,17,1998,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0f2fd07
33,Chris Baird,nir NIR,DF,Derby County,34,1982,33,28,2607,29.0,0,3,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,55fd8c81
34,Nathan Baker,eng ENG,DF,Aston Villa,25,1991,32,31,2543,28.3,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,Matches,b18af9e3
35,Sam Baldock,eng ENG,FW,Brighton,27,1989,31,27,2162,24.0,11,4,15,11,0,0,5,2,0.46,0.17,0.62,0.46,0.62,Matches,9d597f08
36,Dominic Ball,eng ENG,DFMF,Rotherham,20,1995,13,12,1091,12.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,79d61875
37,Sol Bamba,ci CIV,DF,Leeds United,31,1985,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5534217d
38,Sol Bamba,ci CIV,DF,Cardiff City,31,1985,26,26,2292,25.5,2,0,2,2,0,0,6,1,0.08,0.00,0.08,0.08,0.08,Matches,5534217d
39,Barry Bannan,sct SCO,MF,Sheffield Weds,26,1989,43,42,3635,40.4,1,7,8,1,0,0,6,0,0.02,0.17,0.20,0.02,0.20,Matches,9469fb13
40,Alex Baptiste,eng ENG,DF,Preston,30,1986,24,23,2101,23.3,3,0,3,3,0,0,2,1,0.13,0.00,0.13,0.13,0.13,Matches,7b72f0b6
41,Yoann Barbet,fr FRA,DFMF,Brentford,23,1993,23,15,1443,16.0,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,c52bbd2c
42,Shaun Barker,eng ENG,DF,Burton Albion,33,1982,5,0,9,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,60fe6e17
43,Tom Barkhuizen,eng ENG,MFFW,Preston,23,1993,17,12,1078,12.0,6,1,7,6,0,0,0,0,0.50,0.08,0.58,0.50,0.58,Matches,9cf7496b
44,Modou Barrow,gm GAM,MF,Leeds United,23,1992,5,1,152,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75783f5f
45,Kyle Bartley,eng ENG,DF,Leeds United,25,1991,45,45,4050,45.0,6,2,8,6,0,0,10,0,0.13,0.04,0.18,0.13,0.18,Matches,18e96f64
46,Sébastien Bassong,cm CMR,DF,Norwich City,30,1986,9,8,728,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d521662
47,Danny Batth,eng ENG,DF,Wolves,25,1990,39,39,3510,39.0,4,0,4,4,0,0,10,0,0.10,0.00,0.10,0.10,0.10,Matches,f1d0fa63
48,Stuart Beavon,eng ENG,FW,Burton Albion,32,1984,10,5,461,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,540bcb3b
49,Jermaine Beckford,jm JAM,FW,Preston,32,1983,18,4,534,5.9,1,1,2,1,0,0,0,2,0.17,0.17,0.34,0.17,0.34,Matches,393303c7
50,Roy Beerens,nl NED,MFFW,Reading,28,1987,40,37,3111,34.6,6,2,8,6,0,0,1,0,0.17,0.06,0.23,0.17,0.23,Matches,abb32016
51,Aymen Belaïd,tn TUN,DF,Rotherham,27,1989,17,14,1232,13.7,2,0,2,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches,5a050d70
52,Nicklas Bendtner,dk DEN,FW,Nottingham,28,1988,15,7,726,8.1,2,0,2,2,0,1,0,0,0.25,0.00,0.25,0.25,0.25,Matches,9f9c57f0
53,Elliott Bennett,eng ENG,MF,Blackburn,27,1988,25,18,1630,18.1,3,1,4,3,0,0,6,0,0.17,0.06,0.22,0.17,0.22,Matches,02c9ea40
54,Joe Bennett,eng ENG,DFMF,Cardiff City,26,1990,24,23,2010,22.3,3,0,3,3,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,dc936144
55,Mason Bennett,eng ENG,FWMF,Derby County,20,1996,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aba031ad
