,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45,45,4046,45.0,2,2,4,2,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches,774cf58b
2,Rolando Aarons,eng ENG,FWMF,Huddersfield,24,1995,10,5,496,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5942695
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,18,15,1294,14.4,5,1,6,4,1,1,0,0,0.35,0.07,0.42,0.28,0.35,Matches,0480ebc7
4,Victor Adeboyejo,eng ENG,MFFW,Barnsley,22,1998,32,9,1213,13.5,2,0,2,2,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,e3c24495
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,042d182c
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,21,18,1478,16.4,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,506eff98
7,Albert Adomah,gh GHA,MF,QPR,32,1987,34,7,864,9.6,2,5,7,2,0,0,1,0,0.21,0.52,0.73,0.21,0.73,Matches,c7174e81
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,17,16,1273,14.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,b4706f20
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,33,11,1296,14.4,1,1,2,0,1,1,0,0,0.07,0.07,0.14,0.00,0.07,Matches,dcb17ca5
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,38,20,1923,21.4,5,2,7,5,0,0,2,0,0.23,0.09,0.33,0.23,0.33,Matches,e2b384d2
11,Jamie Allen,eng ENG,MFFW,Coventry City,25,1995,22,16,1330,14.8,1,0,1,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,Matches,2c183a79
12,Joe Allen,wls WAL,MF,Stoke City,30,1990,18,15,1379,15.3,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,9feb8f24
13,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29,29,2610,29.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
14,Sone Aluko,ng NGA,MFFW,Reading,31,1989,33,9,991,11.0,2,2,4,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches,5a75d4cc
15,Sammy Ameobi,eng ENG,MF,Nottingham,28,1992,32,27,2225,24.7,3,2,5,3,0,0,3,0,0.12,0.08,0.20,0.12,0.20,Matches,acd61628
16,Luke Amos,eng ENG,MF,QPR,23,1997,5,5,397,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77128f7e
17,Miguel Ángel Guerrero,es ESP,MFFW,Nottingham,30,1990,9,4,392,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b35db3f6
18,Jaidon Anthony,eng ENG,FWMF,Bournemouth,20,1999,5,0,71,0.8,0,1,1,0,0,0,0,0,0.00,1.27,1.27,0.00,1.27,Matches,e4238fb1
19,Felipe Araruna,br BRA,DF,Reading,24,1996,2,2,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6b94d77
20,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,480c4a00
21,Adam Armstrong,eng ENG,FW,Blackburn,23,1997,40,40,3459,38.4,28,5,33,23,5,8,3,0,0.73,0.13,0.86,0.60,0.73,Matches,68c720b5
22,Paul Arriola,us USA,FWMF,Swansea City,25,1995,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1bb2acce
23,Harry Arter,ie IRL,MFFW,Nottingham,30,1989,13,8,716,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2f4c5a52
24,Britt Assombalonga,cd COD,FW,Middlesbrough,27,1992,31,19,1725,19.2,5,0,5,4,1,1,2,0,0.26,0.00,0.26,0.21,0.21,Matches,315aa9c5
25,Charlie Austin,eng ENG,FW,QPR,31,1989,21,19,1414,15.7,8,1,9,8,0,0,3,0,0.51,0.06,0.57,0.51,0.57,Matches,8d228291
26,Daniel Ayala,es ESP,DF,Blackburn,29,1990,10,8,785,8.7,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,302560a0
27,André Ayew,gh GHA,FW,Swansea City,30,1989,43,41,3652,40.6,16,4,20,11,5,5,4,0,0.39,0.10,0.49,0.27,0.37,Matches,5dbefa9d
28,Femi Azeez,ng NGA,MF,Reading,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d590087
29,Fouad Bachirou,km COM,MF,Nottingham,30,1990,1,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75229233
30,Daniel Bachmann,at AUT,GK,Watford,26,1994,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1c0eea98
31,Juninho Bacuna,cw CUW,MFFW,Huddersfield,22,1997,43,37,3314,36.8,5,4,9,5,0,1,5,0,0.14,0.11,0.24,0.14,0.24,Matches,aaf1bf05
32,Leandro Bacuna,cw CUW,DFMF,Cardiff City,28,1991,42,32,2920,32.4,2,1,3,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches,9dc69d38
33,Joel Bagan,ie IRL,DFMF,Cardiff City,20,2000,7,5,464,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9da32cb
34,Amadou Bakayoko,sl SLE,FW,Coventry City,24,1996,14,2,316,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7831875a
35,Nathan Baker,eng ENG,DF,Bristol City,29,1991,3,2,200,2.2,0,1,1,0,0,0,2,0,0.00,0.45,0.45,0.00,0.45,Matches,b18af9e3
36,Tyreeq Bakinson,eng ENG,MF,Bristol City,21,1998,34,20,2065,22.9,4,1,5,4,0,0,2,0,0.17,0.04,0.22,0.17,0.22,Matches,f918369c
37,Sam Baldock,eng ENG,FW,Reading,31,1989,20,4,514,5.7,0,2,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches,9d597f08
38,Dominic Ball,eng ENG,MF,QPR,24,1995,39,24,2183,24.3,1,0,1,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,Matches,79d61875
39,Sol Bamba,ci CIV,DF,Cardiff City,35,1985,6,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5534217d
40,Beni Baningime,,MF,Derby County,21,1998,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9178af
41,Barry Bannan,sct SCO,MF,Sheffield Weds,30,1989,46,46,4012,44.6,2,5,7,0,2,3,9,0,0.04,0.11,0.16,0.00,0.11,Matches,9469fb13
42,Will Bapaga,eng ENG,MF,Coventry City,17,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2dfb3ec3
43,Shandon Baptiste,gd GRN,MF,Brentford,22,1998,1,0,10,0.1,0,1,1,0,0,0,0,0,0.00,9.00,9.00,0.00,9.00,Matches,2886c9b5
44,Yoann Barbet,fr FRA,DF,QPR,27,1993,46,46,4140,46.0,2,2,4,2,0,0,7,0,0.04,0.04,0.09,0.04,0.09,Matches,c52bbd2c
45,Daniel Barden,wls WAL,GK,Norwich City,19,2001,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f670e314
46,Tom Barkhuizen,eng ENG,MFFW,Preston,27,1993,45,29,2681,29.8,4,2,6,4,0,0,0,1,0.13,0.07,0.20,0.13,0.20,Matches,9cf7496b
47,Daniel Barlaser,tr TUR,MF,Rotherham,23,1997,33,29,2394,26.6,3,4,7,0,3,3,3,0,0.11,0.15,0.26,0.00,0.15,Matches,91ea9f40
48,Danny Batth,eng ENG,DF,Stoke City,29,1990,29,27,2344,26.0,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,f1d0fa63
49,Patrick Bauer,de GER,DF,Preston,27,1992,12,12,1034,11.5,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,Matches,1bd6bc77
50,Tom Bayliss,eng ENG,MF,Preston,21,1999,11,2,257,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,527f75c6
