,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Brad Abbott,eng ENG,MF,Chester,19,1994,16,15,1221,13.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,d6fa48c0
2,Charlee Adams,eng ENG,DFFW,Lincoln City,19,1995,14,14,1194,13.3,2,0,2,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,7d80136e
3,Ebou Adams,gm GAM,DFMF,Dartford,18,1996,4,1,135,1.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,84d7ae33
4,Simon Ainge,eng ENG,DF,FC Halifax Town,26,1988,16,13,1201,13.3,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,0fc0fbab
5,Toby Ajala,eng ENG,FWMF,Torquay United,22,1991,45,37,3422,38.0,5,7,12,5,0,0,8,1,0.13,0.18,0.32,0.13,0.32,6186eead
6,John Akinde,eng ENG,FW,Barnet,25,1989,45,45,3811,42.3,31,4,35,20,11,12,10,1,0.73,0.09,0.83,0.47,0.57,93a09a47
7,Sam Akinde,eng ENG,FW,Welling United,21,1993,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b9f435bf
8,Simeon Akinola,eng ENG,FW,Braintree Town,21,1992,38,33,3016,33.5,4,5,9,4,0,0,1,0,0.12,0.15,0.27,0.12,0.27,e48edc45
9,Tom Allan,eng ENG,DF,Gateshead,19,1994,20,10,1098,12.2,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,3cc20c9f
10,Louis Almond,eng ENG,FW,Southport,22,1992,7,3,416,4.6,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,db14c0bc
