,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Sami El Abd,eg EGY,DFMF,Dorking,34,1988,14,4,551,6.1,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,9f495f58
2,Peter Abimbola,,MF,Aldershot Town,,,1,0,11,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,5e5b5aff
3,Timmy Abraham,eng ENG,MFFW,Oldham Athletic,21,2000,15,3,502,5.6,2,,,2,0,0,3,0,0.36,,,0.36,,Matches,94ad5868
4,Tristan Abrahams,eng ENG,FWMF,Eastleigh,23,1998,27,23,2013,22.4,4,,,2,2,2,4,0,0.18,,,0.09,,Matches,cfd667ae
5,Emile Acquah,eng ENG,MFDF,Maidenhead,22,2000,45,43,3533,39.3,13,,,13,0,0,4,0,0.33,,,0.33,,Matches,9fa500fb
6,Charlee Adams,eng ENG,FWMF,Maidenhead,27,1995,42,37,3330,37.0,6,,,2,4,4,9,0,0.16,,,0.05,,Matches,7d80136e
7,Tobi Adebayo-Rowling,eng ENG,MF,Notts County,25,1996,11,6,605,6.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,a60a16ce
8,Edwin Agbaje,ie IRL,DFMF,Yeovil Town,18,2004,10,8,780,8.7,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,ea57b8f4
9,David Agbontohoma,eng ENG,FWDF,Boreham Wood,20,2001,23,23,2070,23.0,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,e56c5673
10,Ricky Aguiar,eng ENG,MFFW,Torquay,21,2001,2,2,152,1.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,81ef747a
11,Simeon Akinola,eng ENG,MF,Wealdstone FC,29,1992,6,1,163,1.8,1,,,1,0,0,0,0,0.55,,,0.55,,Matches,e48edc45
12,Tim Akinola,eng ENG,MFDF,Chesterfield,21,2001,26,10,1161,12.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,e8cd04a6
13,James Alabi,eng ENG,FWDF,Maidstone Utd,27,1994,26,11,1112,12.4,2,,,2,0,0,2,0,0.16,,,0.16,,Matches,1c7b983d
14,George Alexander,eng ENG,FW,Bromley,21,2000,9,6,439,4.9,1,,,1,0,0,0,0,0.21,,,0.21,,Matches,8c6bc7a2
15,Ody Alfa,ng NGA,FW,Aldershot Town,23,1999,12,5,451,5.0,1,,,1,0,0,1,0,0.20,,,0.20,,Matches,e79de0cc
16,Thomas Allan,eng ENG,MF,Gateshead,22,1999,7,4,312,3.5,1,,,1,0,0,2,0,0.29,,,0.29,,Matches,e95726c1
17,Tarryn Allarakhia,tz TAN,MFDF,Wealdstone FC,24,1997,38,33,2731,30.3,5,,,5,0,0,3,0,0.16,,,0.16,,Matches,81db2ca6
18,Millenic Alli,ie IRL,MFFW,FC Halifax Town,22,2000,33,22,2054,22.8,9,,,9,0,0,2,0,0.39,,,0.39,,Matches,b639311c
19,Justin Amaluzor,eng ENG,FWDF,Aldershot Town,25,1996,41,30,2827,31.4,8,,,8,0,0,5,0,0.25,,,0.25,,Matches,b3f78f19
20,Francis Amartey,eng ENG,MFFW,Aldershot Town,23,1999,8,2,228,2.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8b806366
21,Pádraig Amond,ie IRL,FWMF,Woking,34,1988,45,44,3828,42.5,12,,,12,0,0,1,0,0.28,,,0.28,,Matches,75499f71
22,Collin Andeng-Ndi,cm CMR,GK,Southend United,18,2003,23,23,2070,23.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,4012d509
23,Jermaine Anderson,eng ENG,MFFW,Woking,26,1996,24,21,1705,18.9,2,,,2,0,0,4,1,0.11,,,0.11,,Matches,97d9a4df
24,Karoy Anderson,jm JAM,DF,Aldershot Town,17,2004,5,4,335,3.7,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,fb69f073
25,Bruno Andrade,pt POR,FW,Maidenhead,28,1993,3,1,128,1.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,6e87c80f
26,Bruno Andrade,pt POR,FW,Boreham Wood,28,1993,3,1,116,1.3,0,,,0,0,0,0,1,0.00,,,0.00,,Matches,6e87c80f
27,Alexis André,fr FRA,GK,Maidenhead,25,1997,19,19,1710,19.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,f7266977
28,Corie Andrews,eng ENG,MFFW,Wealdstone FC,24,1997,17,13,1131,12.6,3,,,3,0,0,1,0,0.24,,,0.24,,Matches,ba3b2260
29,Corie Andrews,eng ENG,MF,Torquay,24,1997,12,7,532,5.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,ba3b2260
30,Jamie Andrews,eng ENG,MFDF,Yeovil Town,19,2002,8,8,675,7.5,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,cbb8faac
31,Louie Annesley,gi GIB,DF,Barnet,22,2000,1,1,66,0.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,88ddc295
32,Rob Apter,sct SCO,MFFW,Scunthorpe,19,2003,19,17,1529,17.0,4,,,4,0,0,2,0,0.24,,,0.24,,Matches,1c12ee0a
33,Marvin Armstrong,eng ENG,DFMF,Barnet,23,1999,28,12,1126,12.5,2,,,2,0,0,2,0,0.16,,,0.16,,Matches,8a6ec36e
34,Joshua Arnold,,,Maidstone Utd,,,1,0,10,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,6f6da6eb
35,Steve Arnold,eng ENG,GK,Southend United,32,1989,10,10,900,10.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,8c0d375b
36,Festus Arthur,de GER,MFDF,FC Halifax Town,21,2001,20,18,1627,18.1,0,,,0,0,0,8,0,0.00,,,0.00,,Matches,8200275b
37,Koby Arthur,gh GHA,MFFW,Maidenhead,26,1996,18,18,1341,14.9,1,,,1,0,0,2,0,0.07,,,0.07,,Matches,20f583a7
38,Jude Arthurs,eng ENG,MFFW,Bromley,20,2001,35,21,2031,22.6,3,,,3,0,0,8,0,0.13,,,0.13,,Matches,22ae4aeb
39,Akwasi Asante,eng ENG,FWMF,Chesterfield,29,1992,16,12,883,9.8,4,,,4,0,0,0,0,0.41,,,0.41,,Matches,d19fc4bd
40,Zico Asare,eng ENG,DF,Maidenhead,21,2001,43,43,3693,41.0,0,,,0,0,0,9,0,0.00,,,0.00,,Matches,042e5c2f
41,Luca Ashby-Hammond,eng ENG,GK,Aldershot Town,21,2001,45,45,4050,45.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,f836a177
42,Nathan Ashmore,eng ENG,GK,Boreham Wood,32,1990,46,46,4140,46.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,fa1bb34f
43,Nigel Atangana,fr FRA,MFDF,Eastleigh,32,1989,18,8,712,7.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,ab07c4b6
44,Sam Austin,eng ENG,FWMF,Notts County,25,1996,41,20,2061,22.9,5,,,5,0,0,1,0,0.22,,,0.22,,Matches,cc8b833a
45,Aymen Azaze,eng ENG,GK,Barnet,20,2001,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,54a9dd59
46,Owen Bailey,eng ENG,MFDF,Gateshead,23,1999,32,29,2575,28.6,6,,,6,0,0,5,0,0.21,,,0.21,,Matches,dee69b15
47,Lewis Baines,eng ENG,DFMF,Altrincham,23,1998,33,33,2925,32.5,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,b06224eb
48,Geraldo Bajrami,al ALB,DFMF,Notts County,22,1999,31,19,1891,21.0,2,,,2,0,0,4,0,0.10,,,0.10,,Matches,ef196028
49,Ángelo Balanta,co COL,DFFW,Dag & Red,32,1990,17,9,851,9.5,2,,,2,0,0,0,0,0.21,,,0.21,,Matches,91f37c8f
50,Aden Baldwin,eng ENG,DF,Notts County,25,1997,30,29,2559,28.4,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,8637abd1
51,Ollie Banks,eng ENG,DFMF,Chesterfield,29,1992,37,33,2943,32.7,6,,,5,1,1,9,1,0.18,,,0.15,,Matches,d4ec6c9a
52,Daniel Barden,wls WAL,GK,Maidstone Utd,21,2001,14,14,1260,14.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,f670e314
53,Jack Barham,eng ENG,MFFW,Maidstone Utd,26,1996,35,31,2648,29.4,9,,,9,0,0,2,0,0.31,,,0.31,,Matches,eacfb653
54,Jack Barham,eng ENG,FWDF,Aldershot Town,26,1996,10,9,806,9.0,1,,,1,0,0,1,0,0.11,,,0.11,,Matches,eacfb653
55,Charlie Barker,eng ENG,FWDF,Wealdstone FC,19,2003,29,28,2512,27.9,0,,,0,0,0,10,0,0.00,,,0.00,,Matches,0b50e7e6
56,Dylan Barkers,eng ENG,MFFW,Maidstone Utd,22,2000,6,6,412,4.6,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,90817d76
