,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Nicky Bailey,eng ENG,MFDF,Sutton United,34,1984,23,18,1733,19.3,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,9f2550f3
35,Ángelo Balanta,co COL,FWMF,Boreham Wood,28,1990,11,11,933,10.4,3,0,3,3,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,91f37c8f
36,Ángelo Balanta,co COL,FW,Dag & Red,28,1990,23,23,1939,21.5,6,0,6,6,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,91f37c8f
37,Ellery Balcombe,eng ENG,GK,Boreham Wood,18,1999,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e827567f
38,Adam Bale,eng ENG,MF,Hartlepool,19,1998,3,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8a4fedd
39,David Banjo,eng ENG,MF,Havant & W'ville,27,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc0d8fde
40,Jonathan Barden,eng ENG,MFFW,Sutton United,25,1992,8,7,650,7.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,22d56182
41,Jack Barham,eng ENG,FW,Bromley,22,1996,4,3,263,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eacfb653
42,Jack Barham,eng ENG,FWMF,Barnet,22,1996,21,10,1029,11.4,3,0,3,3,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,eacfb653
43,Josh Barrett,ie IRL,FWMF,Aldershot Town,20,1998,5,3,287,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0e1365b3
44,Marcel Barrington,gy GUY,MFDF,Braintree Town,22,1995,10,7,659,7.3,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches,cbdd1654
45,Scott Barrow,wls WAL,DFMF,Gateshead,29,1988,30,30,2636,29.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,79dd7411
46,Bradley Barry,eng ENG,MFFW,Dover Athletic,23,1995,3,2,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1a0d29c
47,Bradley Barry,eng ENG,DFMF,Chesterfield,23,1995,22,16,1495,16.6,2,0,2,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,e1a0d29c
48,Jack Barthram,eng ENG,DFMF,Barrow,24,1993,30,19,1916,21.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,31699716
49,Callum Baughan,eng ENG,DF,Eastleigh,18,1999,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26259e05
50,Tom Bearwish,eng ENG,FW,Eastleigh,18,1999,6,0,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b22182c
51,Harry Beautyman,eng ENG,MFDF,Sutton United,26,1992,33,29,2612,29.0,4,0,4,4,0,0,6,0,0.14,0.00,0.14,0.14,0.14,Matches,b6623a0a
52,Stuart Beavon,eng ENG,FW,Wrexham,34,1984,40,28,2232,24.8,5,0,5,5,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,540bcb3b
53,Mark Beck,sct SCO,FWMF,Harrogate Town,24,1994,39,25,2510,27.9,13,0,13,13,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches,60d58b05
54,Dean Beckwith,eng ENG,MFDF,Sutton United,34,1983,29,21,2052,22.8,3,0,3,3,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches,074ef683
55,Joe Bedford,eng ENG,MF,Dover Athletic,20,1997,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b2d2adc
56,Alfie Beestin,eng ENG,MFDF,Chesterfield,20,1997,5,2,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a02effcc
57,Liam Bellamy,eng ENG,MF,Dag & Red,26,1991,4,1,176,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86ad08b0
