,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Abdul Abdulmalik,eng ENG,MFFW,Wealdstone FC,20,2003,9,6,460,5.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,5527647e
2,Timmy Abraham,eng ENG,FW,Boreham Wood,22,2000,12,2,259,2.9,0,,,0,0,0,0,1,0.00,,,0.00,,Matches,94ad5868
3,Tristan Abrahams,eng ENG,FW,Maidenhead,24,1998,11,10,848,9.4,3,,,3,0,0,2,0,0.32,,,0.32,,Matches,cfd667ae
4,Charlee Adams,eng ENG,FWMF,Maidenhead,28,1995,30,20,1888,21.0,2,,,0,2,2,6,1,0.10,,,0.00,,Matches,7d80136e
5,Toby Adeyemo,eng ENG,FW,Wealdstone FC,18,2005,4,0,75,0.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,80d9aac2
6,Kain Adom,,FW,Gateshead,,,20,13,1085,12.1,2,,,2,0,0,2,0,0.17,,,0.17,,Matches,e532e0a9
7,Daniel Adshead,eng ENG,FWMF,Fylde,21,2001,19,15,1277,14.2,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,8f817fc7
8,Michael Afuye,ie IRL,FW,Rochdale,22,2001,8,2,220,2.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,d02e569a
9,David Agbontohoma,eng ENG,MFDF,Boreham Wood,21,2001,21,18,1731,19.2,1,,,1,0,0,2,0,0.05,,,0.05,,Matches,e56c5673
10,Osazee Aghatise,eng ENG,MF,Hartlepool,20,2002,5,1,98,1.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,fff20409
11,Terrell Agyemang,eng ENG,DFMF,Hartlepool,20,2002,14,10,918,10.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,3f7700d8
12,Olatunji Akinola,eng ENG,MFDF,Woking,24,1998,33,29,2516,28.0,4,,,4,0,0,11,1,0.14,,,0.14,,Matches,f148e802
13,Dipo Akinyemi,eng ENG,FWMF,York City,26,1997,40,38,3213,35.7,15,,,15,0,0,1,0,0.42,,,0.42,,Matches,9a7614d9
14,George Alexander,eng ENG,FW,Bromley,22,2000,1,0,8,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8c6bc7a2
15,Thomas Allan,eng ENG,FWDF,Gateshead,23,1999,11,5,438,4.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,e95726c1
16,Tarryn Allarakhia,tz TAN,DFMF,Wealdstone FC,25,1997,38,31,2753,30.6,6,,,6,0,0,3,0,0.20,,,0.20,,Matches,81db2ca6
17,Charlie Allen,nir NIR,FW,York City,19,2003,4,2,261,2.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,30841b9b
18,Millenic Alli,ie IRL,FWMF,FC Halifax Town,23,2000,21,21,1871,20.8,7,,,7,0,0,3,0,0.34,,,0.34,,Matches,b639311c
19,Justin Amaluzor,eng ENG,MFFW,Altrincham,26,1996,36,30,2470,27.4,8,,,8,0,0,6,0,0.29,,,0.29,,Matches,b3f78f19
20,Levi Amantchi,eng ENG,FW,Bromley,22,2000,4,0,42,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,71629af8
21,Pádraig Amond,ie IRL,FWMF,Woking,35,1988,27,24,2167,24.1,5,,,5,0,0,1,0,0.21,,,0.21,,Matches,75499f71
22,David Amoo,eng ENG,FWMF,Ebbsfleet United,32,1991,10,7,540,6.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,3c1c24d0
23,Danny Amos,nir NIR,MFDF,York City,23,1999,14,13,1105,12.3,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,18772a6d
24,Collin Andeng-Ndi,cm CMR,GK,Southend United,19,2003,33,33,2970,33.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,4012d509
25,Jermaine Anderson,eng ENG,FWDF,Woking,27,1996,20,13,1220,13.6,2,,,2,0,0,4,1,0.15,,,0.15,,Matches,97d9a4df
26,Levi Andoh,nl NED,DFMF,York City,23,2000,4,4,360,4.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,a1754c14
27,Alexis André,fr FRA,GK,Woking,26,1997,14,14,1260,14.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,f7266977
28,Corie Andrews,eng ENG,FWMF,Wealdstone FC,25,1997,20,6,655,7.3,1,,,1,0,0,1,0,0.14,,,0.14,,Matches,ba3b2260
29,Lee Angol,eng ENG,FWMF,Woking,28,1994,1,0,15,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,139aeffa
30,Dior Angus,eng ENG,MF,Altrincham,29,1994,35,14,1510,16.8,4,,,4,0,0,4,0,0.24,,,0.24,,Matches,727e7bf1
31,Kwesi Appiah,gh GHA,FW,Boreham Wood,32,1990,15,11,929,10.3,3,,,3,0,0,1,0,0.29,,,0.29,,Matches,8fb893a5
32,Keenan Appiah-Forson,eng ENG,FWMF,Dag & Red,21,2001,27,23,1970,21.9,1,,,1,0,0,4,0,0.05,,,0.05,,Matches,270c700c
33,Finlay Armstrong,eng ENG,MFDF,Rochdale,20,2003,13,9,796,8.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,746e68ad
34,Marvin Armstrong,eng ENG,MFFW,York City,24,1999,7,7,624,6.9,1,,,1,0,0,0,0,0.14,,,0.14,,Matches,8a6ec36e
35,Marvin Armstrong,eng ENG,MFDF,Barnet,24,1999,16,5,482,5.4,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,8a6ec36e
36,Festus Arthur,de GER,DFMF,FC Halifax Town,22,2001,1,0,4,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8200275b
37,Jude Arthurs,eng ENG,MF,Bromley,21,2001,34,21,2019,22.4,1,,,1,0,0,7,1,0.04,,,0.04,,Matches,22ae4aeb
38,Zico Asare,eng ENG,DF,Maidenhead,22,2001,42,37,3400,37.8,0,,,0,0,0,11,1,0.00,,,0.00,,Matches,042e5c2f
39,Josh Ashby,eng ENG,MFDF,Oxford City FC,27,1996,27,25,2280,25.3,2,,,2,0,0,10,0,0.08,,,0.08,,Matches,be2e19ca
40,Nathan Ashmore,eng ENG,GK,Boreham Wood,33,1990,46,46,4140,46.0,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,fa1bb34f
41,Nigel Atangana,fr FRA,MFDF,Eastleigh,33,1989,37,27,2467,27.4,0,,,0,0,0,8,1,0.00,,,0.00,,Matches,ab07c4b6
42,David Aziaya,eng ENG,GK,Bromley,18,2004,1,0,72,0.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,6f5a1e8c
43,Lewis Baines,eng ENG,MFDF,Altrincham,24,1998,41,39,3521,39.1,4,,,4,0,0,3,0,0.10,,,0.10,,Matches,b06224eb
44,Ángelo Balanta,co COL,FWMF,Boreham Wood,33,1990,39,20,1826,20.3,6,,,6,0,0,3,0,0.30,,,0.30,,Matches,91f37c8f
45,Lewis Banks,eng ENG,DF,Altrincham,26,1997,43,41,3656,40.6,4,,,4,0,0,7,0,0.10,,,0.10,,Matches,2a8cea78
46,Ollie Banks,eng ENG,MFDF,Chesterfield,30,1992,39,23,2201,24.5,9,,,9,0,0,2,0,0.37,,,0.37,,Matches,d4ec6c9a
47,Jack Barham,eng ENG,FWMF,Aldershot Town,27,1996,36,27,2504,27.8,10,,,10,0,0,2,0,0.36,,,0.36,,Matches,eacfb653
48,Charlie Barker,eng ENG,DFMF,Wealdstone FC,20,2003,43,43,3804,42.3,2,,,2,0,0,9,0,0.05,,,0.05,,Matches,0b50e7e6
49,Aidan Barlow,eng ENG,DFMF,Eastleigh,23,2000,19,7,801,8.9,1,,,1,0,0,4,0,0.11,,,0.11,,Matches,d67c87a4
50,Finlay Barnes,eng ENG,MFDF,York City,22,2001,6,3,234,2.6,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,9a2e2d76
51,Connor Barratt,ie IRL,MFDF,Fylde,19,2004,34,31,2642,29.4,2,,,2,0,0,8,0,0.07,,,0.07,,Matches,b1b546fc
52,Sam Barratt,eng ENG,MFFW,Maidenhead,27,1995,24,19,1735,19.3,3,,,3,0,0,4,0,0.16,,,0.16,,Matches,8506c40f
53,Sam Barratt,eng ENG,DFFW,Barnet,27,1995,6,0,91,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8506c40f
54,Connor Barrett,eng ENG,MF,Fylde,21,2002,5,2,272,3.0,0,,,0,0,0,0,1,0.00,,,0.00,,Matches,7b26cd24
55,Connor Barrett,eng ENG,MF,Solihull Moors,21,2002,1,0,45,0.5,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,7b26cd24
56,Josh Barrett,ie IRL,FWMF,Aldershot Town,25,1998,11,3,295,3.3,2,,,2,0,0,0,0,0.61,,,0.61,,Matches,0e1365b3
57,Mason Barrett,eng ENG,DFMF,Wealdstone FC,23,1999,25,16,1587,17.6,2,,,2,0,0,4,2,0.11,,,0.11,,Matches,539455f1
58,Daniel Batty,eng ENG,MFDF,York City,25,1997,25,23,1868,20.8,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,96c92a74
59,Eddie Beach,wls WAL,GK,Gateshead,19,2003,5,5,450,5.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,7cbd6d68
60,Sam Beard,eng ENG,MF,Barnet,25,1998,1,1,84,0.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,ae29a6d5
61,Mark Beck,sct SCO,MFFW,Solihull Moors,29,1994,37,25,2420,26.9,8,,,8,0,0,0,0,0.30,,,0.30,,Matches,60d58b05
62,Sam Beckwith,eng ENG,DFMF,Maidenhead,22,2001,43,43,3818,42.4,4,,,4,0,0,8,1,0.09,,,0.09,,Matches,d04668f1
63,Sam Bellis,eng ENG,MFFW,Kidderminster,20,2002,14,9,724,8.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,598f0ae7
64,Jay Benn,eng ENG,FWDF,Solihull Moors,21,2001,27,26,2124,23.6,1,,,1,0,0,4,0,0.04,,,0.04,,Matches,25f3d9b6
65,Jon Benton,eng ENG,MF,Solihull Moors,22,2001,25,14,1420,15.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,1698a8cd
66,Mitchel Bergkamp,nl NED,MF,Bromley,24,1998,1,0,14,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,54b5b28a
67,Kevin Berkoe,eng ENG,MFDF,Woking,22,2001,8,7,701,7.8,3,,,3,0,0,0,0,0.39,,,0.39,,Matches,887a0c04
68,James Berry,eng ENG,FWMF,Chesterfield,22,2000,33,9,1077,12.0,6,,,6,0,0,2,0,0.50,,,0.50,,Matches,7d98d54f
69,Bryant Bilongo,eng ENG,DFMF,Ebbsfleet United,21,2001,12,12,916,10.2,1,,,1,0,0,1,0,0.10,,,0.10,,Matches,647ebdec
70,Billy Bingham,eng ENG,DF,Bromley,33,1990,4,4,360,4.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,fd084a71
71,Rakish Bingham,eng ENG,FWMF,Ebbsfleet United,29,1993,21,18,1615,17.9,7,,,6,1,1,1,0,0.39,,,0.33,,Matches,2f74966e
72,Pierce Bird,nir NIR,FWDF,Fylde,24,1999,5,5,365,4.1,0,,,0,0,0,3,1,0.00,,,0.00,,Matches,a334a152
73,Harry Birtwistle,sg SIN,MFDF,Oxford City FC,19,2003,7,5,437,4.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,a683726f
74,Josh Bishop,eng ENG,GK,Kidderminster,19,2003,1,0,18,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,68a1016e
75,Aaron Blair,eng ENG,FW,Dag & Red,23,2000,1,0,1,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,04128501
76,Tom Blair,eng ENG,MFFW,Dorking,24,1999,31,22,2076,23.1,6,,,5,1,1,4,0,0.26,,,0.22,,Matches,0a046e56
77,Nana Boateng,eng ENG,MF,Solihull Moors,20,2002,4,3,223,2.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,a95d214b
78,Nana Boateng,eng ENG,MF,Woking,20,2002,8,2,291,3.2,0,,,0,0,0,3,0,0.00,,,0.00,,Matches,a95d214b
79,Enzio Boldewijn,nl NED,MFDF,Eastleigh,30,1992,42,35,3248,36.1,6,,,6,0,0,7,1,0.17,,,0.17,,Matches,6db00ad8
80,Harrison Bond,eng ENG,GK,Gateshead,19,2003,2,2,180,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,82e98e43
81,Ryan Boot,eng ENG,GK,Chesterfield,28,1994,4,4,360,4.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,42d8ac7e
82,Regan Booty,eng ENG,MFDF,Gateshead,25,1998,37,32,2843,31.6,3,,,3,0,0,6,1,0.09,,,0.09,,Matches,66fe775c
83,Sam Bowen,wls WAL,MFFW,Wealdstone FC,22,2001,40,34,2890,32.1,6,,,6,0,0,4,1,0.19,,,0.19,,Matches,e4209f59
84,Sebastian Bowerman,eng ENG,MFFW,Dorking,28,1995,27,23,1870,20.8,3,,,3,0,0,0,0,0.14,,,0.14,,Matches,d6dfeb6c
85,Zak Bradshaw,eng ENG,MFFW,Woking,19,2003,19,16,1391,15.5,1,,,1,0,0,1,0,0.06,,,0.06,,Matches,85a6376e
86,Oliver Bray,eng ENG,FW,Aldershot Town,20,2003,1,0,3,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,618e06d4
87,Ciaran Brennan,ie IRL,DF,Hartlepool,23,2000,4,4,360,4.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,4a3167c2
88,Jack Bridge,eng ENG,MFDF,Southend United,27,1995,46,45,3994,44.4,7,,,2,5,5,5,0,0.16,,,0.05,,Matches,2a00dced
89,Matt Briggs,eng ENG,MFDF,Dorking,27,1996,17,13,920,10.2,1,,,1,0,0,2,0,0.10,,,0.10,,Matches,e9a2bcf9
90,Liam Brockbank,eng ENG,DF,Altrincham,22,2001,3,0,73,0.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,1f6a4d2b
91,Max Brogan,eng ENG,MF,Solihull Moors,21,2001,1,0,18,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,cbc85054
92,Tiernan Brooks,ie IRL,GK,Rochdale,21,2002,12,12,1080,12.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,d881e416
93,Dajaune Brown,jm JAM,FW,Gateshead,17,2005,18,7,799,8.9,6,,,6,0,0,1,0,0.68,,,0.68,,Matches,b4d24801
