,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
36,Abdulai Bell-Baggie,sl SLE,MF,Hayes & Yeading,19,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a47cf156
37,Mark Bentley,eng ENG,DFMF,Hayes & Yeading,33,1978,34,32,2733,30.4,1,2,3,1,0,0,7,0,0.03,0.07,0.10,0.03,0.10,e82d654d
38,Luke Berry,eng ENG,MF,Cambridge,19,1992,43,40,3600,40.0,6,1,7,6,0,0,6,0,0.15,0.02,0.17,0.15,0.17,2aaadf33
39,Tyrone Berry,eng ENG,MF,Hayes & Yeading,24,1987,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8da5b748
40,Dave Bird,eng ENG,MF,Harriers,26,1984,4,4,329,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f0352d82
41,James Bittner,eng ENG,GK,Forest Green,29,1982,20,19,1737,19.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,cb377e8b
42,Chris Blackburn,eng ENG,DFMF,Telford United,28,1982,19,19,1710,19.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,94111734
43,Chris Blackburn,eng ENG,DFMF,Stockport,28,1982,15,12,1087,12.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,94111734
44,Shane Blackett,eng ENG,DF,Luton Town,28,1982,9,5,484,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,995abed2
45,Matty Blair,eng ENG,DFMF,York City,22,1989,41,37,3188,35.4,10,4,14,10,0,0,6,0,0.28,0.11,0.40,0.28,0.40,14455ab7
46,Matthew Blinkhorn,eng ENG,FW,York City,26,1985,15,3,480,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,03f0eaca
47,Paul Bolland,eng ENG,MF,Mansfield Town,31,1979,10,4,505,5.6,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,97f4bbdc
48,Phil Bolland,eng ENG,DF,Barrow,34,1976,29,28,2452,27.2,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,fb125d5a
49,Jonathan Bond,eng ENG,GK,Forest Green,18,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c3a86eea
50,Eugen Bopp,de GER,MF,York City,27,1983,2,1,66,0.7,0,1,1,0,0,0,1,0,0.00,1.36,1.36,0.00,1.36,f1849fb8
51,Peter Bore,eng ENG,DFFW,Lincoln City,23,1987,11,11,832,9.2,2,0,2,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,337af33f
52,Andre Boucaud,tt TRI,MF,York City,26,1984,23,23,1746,19.4,1,2,3,1,0,0,2,1,0.05,0.10,0.15,0.05,0.15,24ed0071
