,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ebou Adams,gm GAM,DFMF,Braintree Town,20,1996,3,2,179,2.0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,84d7ae33
2,Toby Ajala,eng ENG,FWMF,Gateshead,24,1991,7,1,226,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches,6186eead
3,Simeon Akinola,eng ENG,FW,Braintree Town,23,1992,25,24,2187,24.3,5,2,7,4,1,0,1,0,0.21,0.08,0.29,0.16,0.25,Matches,e48edc45
4,James Akintunde,eng ENG,FWMF,Chester,20,1996,16,6,648,7.2,3,3,6,3,0,0,0,0,0.42,0.42,0.83,0.42,0.83,Matches,2e13c8c4
5,James Alabi,eng ENG,FW,Chester,21,1994,42,40,3504,38.9,17,0,17,13,4,5,3,1,0.44,0.00,0.44,0.33,0.33,Matches,1c7b983d
6,Iffy Allen,eng ENG,FWMF,Aldershot Town,22,1994,22,9,934,10.4,1,1,2,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,Matches,e27443d5
7,Iffy Allen,eng ENG,FWMF,Wrexham,22,1994,7,3,334,3.7,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,e27443d5
8,Jamie Allen,ms MSR,FWMF,Southport,21,1995,35,33,2764,30.7,10,2,12,6,4,4,0,0,0.33,0.07,0.39,0.20,0.26,Matches,5b2ad206
9,Louis Almond,eng ENG,FW,Southport,24,1992,18,14,1326,14.7,5,1,6,4,1,1,2,0,0.34,0.07,0.41,0.27,0.34,Matches,db14c0bc
10,Louis Almond,eng ENG,FW,Tranmere Rovers,24,1992,5,5,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db14c0bc
11,Kevin Amankwaah,eng ENG,DF,Sutton United,34,1982,35,33,2900,32.2,1,2,3,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matches,374416f1
12,Harry Anderson,eng ENG,FWMF,Lincoln City,19,1997,25,13,1301,14.5,6,3,9,6,0,0,1,0,0.42,0.21,0.62,0.42,0.62,Matches,c6f940ed
13,Joe Anderson,eng ENG,DF,Bromley,26,1989,41,41,3690,41.0,1,4,5,1,0,0,3,0,0.02,0.10,0.12,0.02,0.12,Matches,2d56c75b
14,Myles Anderson,eng ENG,DFMF,Torquay United,26,1990,14,14,1200,13.3,1,0,1,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,Matches,47bd43ae
15,Nick Anderton,eng ENG,DF,Barrow,20,1996,43,43,3867,43.0,1,1,2,1,0,0,6,4,0.02,0.02,0.05,0.02,0.05,Matches,cb03c4d4
16,Bruno Andrade,pt POR,FWMF,Boreham Wood,22,1993,36,30,2656,29.5,10,4,14,10,0,0,0,0,0.34,0.14,0.47,0.34,0.47,Matches,6e87c80f
17,Lee Angol,eng ENG,FWMF,Lincoln City,21,1994,11,11,852,9.5,5,1,6,4,1,1,2,0,0.53,0.11,0.63,0.42,0.53,Matches,139aeffa
18,Zak Ansah,eng ENG,FW,Woking,22,1994,11,5,507,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches,05ed672a
19,Nathan Arnold,eng ENG,FWMF,Lincoln City,29,1987,45,43,3608,40.1,12,10,22,12,0,0,1,0,0.30,0.25,0.55,0.30,0.55,Matches,4966b48d
20,Nick Arnold,eng ENG,DF,Aldershot Town,23,1993,29,25,2199,24.4,1,3,4,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,Matches,bf6a1d15
