,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Mathew Achuba,eng ENG,DF,Ebbsfleet United,,,1,0,1,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,c856c90c
2,Emile Acquah,eng ENG,FWMF,Maidenhead,19,2000,1,0,13,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,9fa500fb
3,Charlee Adams,eng ENG,MFDF,Barnet,24,1995,16,11,999,11.1,1,,,1,0,0,2,0,0.09,,,0.09,,Matches,7d80136e
4,Tomi Adeloye,eng ENG,FWMF,Ebbsfleet United,23,1996,22,4,783,8.7,3,,,3,0,0,5,0,0.34,,,0.34,,Matches,eb8afd9e
5,David Ajiboye,eng ENG,MFDF,Sutton United,20,1998,37,29,2675,29.7,4,,,4,0,0,2,0,0.13,,,0.13,,Matches,5b1e9f24
6,Simeon Akinola,eng ENG,FWMF,Barnet,26,1992,32,30,2549,28.3,15,,,9,6,6,2,0,0.53,,,0.32,,Matches,e48edc45
7,James Akintunde,eng ENG,FWMF,Maidenhead,23,1996,27,15,1274,14.2,1,,,1,0,0,1,0,0.07,,,0.07,,Matches,2e13c8c4
8,James Alabi,eng ENG,FW,Eastleigh,24,1994,7,4,382,4.2,1,,,0,1,1,1,0,0.24,,,0.00,,Matches,1c7b983d
9,Craig Alcock,eng ENG,DF,Yeovil Town,31,1987,17,14,1212,13.5,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,86f6cfd2
10,Cheye Alexander,lc LCA,DF,Barnet,24,1995,34,34,3015,33.5,1,,,1,0,0,3,0,0.03,,,0.03,,Matches,9f0cfe44
11,Ody Alfa,ng NGA,FWMF,Maidenhead,20,1999,8,3,355,3.9,2,,,2,0,0,0,0,0.51,,,0.51,,Matches,e79de0cc
12,Jamie Allen,ms MSR,MFDF,FC Halifax Town,24,1995,32,20,2010,22.3,3,,,3,0,0,2,0,0.13,,,0.13,,Matches,5b2ad206
13,Louis Almond,eng ENG,FW,Chorley FC,27,1992,3,0,45,0.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,db14c0bc
14,Myles Anderson,eng ENG,MF,Hartlepool,29,1990,4,3,222,2.5,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,47bd43ae
15,Myles Anderson,eng ENG,DF,Aldershot Town,29,1990,3,3,270,3.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,47bd43ae
16,Jake Andrews,eng ENG,MFFW,Torquay,21,1997,32,23,2096,23.3,5,,,5,0,0,4,0,0.21,,,0.21,,Matches,98af6a1c
17,Dior Angus,eng ENG,FWMF,Barrow,25,1994,36,34,2660,29.6,10,,,10,0,0,1,0,0.34,,,0.34,,Matches,727e7bf1
18,Joe Anyon,eng ENG,GK,Chorley FC,32,1986,4,4,360,4.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,1794a512
19,Jordan Archer,eng ENG,MFFW,Stockport,25,1993,3,3,184,2.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,44040414
20,Festus Arthur,de GER,MFDF,Stockport,18,2001,31,23,2150,23.9,2,,,2,0,0,1,0,0.08,,,0.08,,Matches,8200275b
21,Taye Ashby-Hammond,eng ENG,GK,Maidenhead,20,1999,22,22,1980,22.0,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,d42adb69
22,Nathan Ashmore,eng ENG,GK,Boreham Wood,29,1990,23,23,2069,23.0,0,,,0,0,0,3,1,0.00,,,0.00,,Matches,fa1bb34f
23,Nathan Ashmore,eng ENG,GK,Ebbsfleet United,29,1990,5,5,450,5.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,fa1bb34f
24,Dylan Asonganyi,eng ENG,FW,Maidenhead,18,2000,1,1,86,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,3cbe49dc
25,Robert Atkinson,eng ENG,DFMF,Eastleigh,21,1998,24,23,1976,22.0,1,,,1,0,0,3,0,0.05,,,0.05,,Matches,181df6a4
26,Ade Azeez,eng ENG,DFFW,Torquay,25,1994,3,3,230,2.6,1,,,1,0,0,0,0,0.39,,,0.39,,Matches,c7b4fa70
27,Joel Bagan,ie IRL,FWDF,Notts County,19,2000,2,2,172,1.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,e9da32cb
28,Lewis Baines,eng ENG,MFDF,Chorley FC,20,1998,33,28,2596,28.8,1,,,1,0,0,2,0,0.03,,,0.03,,Matches,b06224eb
29,Geraldo Bajrami,al ALB,MFDF,Solihull Moors,19,1999,4,4,360,4.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,ef196028
30,Zoumana Bakayogo,ci CIV,DFMF,Notts County,32,1986,14,14,1166,13.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,1d2647b1
31,Ángelo Balanta,co COL,FWMF,Dag & Red,29,1990,22,21,1821,20.2,8,,,8,0,0,0,0,0.40,,,0.40,,Matches,91f37c8f
32,Aden Baldwin,eng ENG,DFMF,Eastleigh,22,1997,4,4,352,3.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,8637abd1
33,Adam Bale,eng ENG,MF,Hartlepool,20,1998,1,0,2,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,e8a4fedd
34,Jimmy Ball,eng ENG,FWMF,Solihull Moors,23,1995,23,18,1657,18.4,3,,,3,0,0,3,0,0.16,,,0.16,,Matches,ba63ed1e
35,Jimmy Ball,eng ENG,MFDF,Ebbsfleet United,23,1995,14,14,1225,13.6,1,,,1,0,0,2,0,0.07,,,0.07,,Matches,ba63ed1e
36,Amrit Bansal-McNulty,nir NIR,MF,Torquay,19,2000,2,2,120,1.3,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,468482fd
37,Jonathan Barden,eng ENG,DFMF,Sutton United,26,1992,35,35,3021,33.6,0,,,0,0,0,9,0,0.00,,,0.00,,Matches,22d56182
38,Jack Barham,eng ENG,FW,Barnet,23,1996,4,2,154,1.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,eacfb653
39,Kyle Barker,eng ENG,MF,Wrexham,18,2000,1,0,12,0.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,209b8ee5
40,Marcus Barnes,eng ENG,FW,Eastleigh,22,1996,14,8,798,8.9,2,,,2,0,0,0,0,0.23,,,0.23,,Matches,fc4d1618
41,Tyrone Barnett,eng ENG,FW,Eastleigh,33,1985,34,28,2441,27.1,11,,,11,0,0,2,0,0.41,,,0.41,,Matches,ba241676
42,Jazzi Barnum-Bobb,vc VIN,DF,Wrexham,23,1995,10,10,884,9.8,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,89903d20
43,Bradley Barry,eng ENG,DFFW,Barrow,24,1995,30,30,2654,29.5,1,,,1,0,0,6,0,0.03,,,0.03,,Matches,e1a0d29c
44,Adam Barton,nir NIR,DFMF,Wrexham,28,1991,7,6,504,5.6,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,a36b02fd
45,Callum Baughan,eng ENG,DF,Eastleigh,19,1999,1,0,2,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,26259e05
46,Tom Bearwish,eng ENG,MFFW,Eastleigh,19,1999,19,4,629,7.0,2,,,2,0,0,0,0,0.29,,,0.29,,Matches,5b22182c
47,Harry Beautyman,eng ENG,MFDF,Sutton United,27,1992,34,34,3044,33.8,15,,,13,2,2,2,0,0.44,,,0.38,,Matches,b6623a0a
48,Mark Beck,sct SCO,MFFW,Harrogate Town,25,1994,25,19,1772,19.7,3,,,3,0,0,3,0,0.15,,,0.15,,Matches,60d58b05
49,Mitchell Beeney,eng ENG,GK,Hartlepool,23,1995,6,6,540,6.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,dc630911
50,Jake Beesley,eng ENG,FW,Solihull Moors,22,1996,23,22,1846,20.5,4,,,4,0,0,0,0,0.20,,,0.20,,Matches,71df6e0e
51,Nyal Bell,eng ENG,FWMF,Stockport,22,1997,37,16,1770,19.7,6,,,6,0,0,2,0,0.31,,,0.31,,Matches,2cbbd5ad
52,James Belshaw,eng ENG,GK,Harrogate Town,28,1990,37,37,3330,37.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,bfca678d
53,Dale Bennett,eng ENG,DF,Sutton United,29,1990,8,8,670,7.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,473fb36c
54,Richie Bennett,eng ENG,MF,Stockport,28,1991,1,1,87,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,811b2368
55,Jacob Berkeley-Agyepong,gd GRN,MF,Aldershot Town,22,1997,21,15,1271,14.1,4,,,4,0,0,0,0,0.28,,,0.28,,Matches,61ece6ec
56,Mohamed Bettamer,ly LBY,MFFW,Aldershot Town,26,1993,19,17,1503,16.7,5,,,5,0,0,1,0,0.30,,,0.30,,Matches,7d3c8df9
57,Botti Biabi,sct SCO,FW,Ebbsfleet United,23,1996,5,0,60,0.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,6109c856
58,Billy Bingham,eng ENG,MFDF,Bromley,29,1990,31,30,2707,30.1,3,,,3,0,0,6,0,0.10,,,0.10,,Matches,fd084a71
59,Jerome Binnom-Williams,eng ENG,DF,FC Halifax Town,24,1995,25,25,2229,24.8,3,,,3,0,0,4,1,0.12,,,0.12,,Matches,34da23fc
60,Pierce Bird,nir NIR,MFFW,Notts County,20,1999,11,3,304,3.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,a334a152
61,Andre Blackman,eng ENG,DFMF,Ebbsfleet United,28,1990,14,11,1064,11.8,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,4519be7a
62,Adam Blakeman,eng ENG,DFMF,Chorley FC,27,1991,31,26,2254,25.0,0,,,0,0,0,4,0,0.00,,,0.00,,Matches,6ee98861
63,Nathan Blissett,eng ENG,FWMF,Solihull Moors,29,1990,19,14,1234,13.7,4,,,4,0,0,5,0,0.29,,,0.29,,Matches,827ecad9
64,Scott Boden,eng ENG,FWMF,Chesterfield,29,1989,34,27,2243,24.9,10,,,9,1,1,1,0,0.40,,,0.36,,Matches,36971f53
65,Tom Bolarinwa,eng ENG,DFMF,Sutton United,29,1990,17,13,1192,13.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches,a18a6b46
66,Enzio Boldewijn,nl NED,MFDF,Notts County,26,1992,37,36,3161,35.1,8,,,8,0,0,4,0,0.23,,,0.23,,Matches,6db00ad8
67,Ryan Boot,eng ENG,GK,Solihull Moors,24,1994,38,38,3420,38.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,42d8ac7e
68,Regan Booty,eng ENG,MFFW,Notts County,21,1998,20,13,1255,13.9,2,,,2,0,0,0,0,0.14,,,0.14,,Matches,66fe775c
69,Andre Boucaud,tt TRI,MFDF,Barnet,34,1984,7,4,355,3.9,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,24ed0071
70,Andrew Boyce,eng ENG,MFDF,Eastleigh,29,1989,34,34,3037,33.7,1,,,1,0,0,7,0,0.03,,,0.03,,Matches,375aaca1
71,Tom Bradbury,eng ENG,MFDF,Yeovil Town,21,1998,19,16,1453,16.1,1,,,1,0,0,4,0,0.06,,,0.06,,Matches,3f81701c
72,Alex Bradley,fi FIN,MFDF,Harrogate Town,20,1999,22,20,1675,18.6,3,,,3,0,0,5,0,0.16,,,0.16,,Matches,54042628
73,Daniel Bradley,eng ENG,MFDF,Fylde,28,1991,30,19,1792,19.9,4,,,4,0,0,5,0,0.20,,,0.20,,Matches,ed94fef6
74,Richard Brindley,eng ENG,FWDF,Notts County,26,1993,24,24,2147,23.9,1,,,1,0,0,5,0,0.04,,,0.04,,Matches,a7588b8d
75,Patrick Brough,eng ENG,DFMF,Barrow,23,1996,31,31,2688,29.9,2,,,2,0,0,7,0,0.07,,,0.07,,Matches,4fdba4d6
76,Connor Brown,eng ENG,MFDF,Barrow,26,1992,17,10,1105,12.3,1,,,1,0,0,6,0,0.08,,,0.08,,Matches,44aea7fc
77,Matty Brown,eng ENG,DFMF,FC Halifax Town,29,1990,21,21,1858,20.6,0,,,0,0,0,2,0,0.00,,,0.00,,Matches,23ea840e
78,Scott Brown,eng ENG,MF,Harrogate Town,34,1985,8,4,338,3.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,8adefff9
79,Wayne Brown,eng ENG,MF,Sutton United,30,1988,1,0,1,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches,f32c65c3
