,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Brad Abbott,eng ENG,MF,Barrow,20,1994,5,1,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d6fa48c0
2,Fisayo Adarabioyo,eng ENG,FW,Macclesfield,20,1995,3,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3a4a234c
3,Toby Ajala,eng ENG,FWMF,Torquay United,23,1991,18,12,1059,11.8,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,6186eead
4,Toby Ajala,eng ENG,FWMF,Dover Athletic,23,1991,16,7,666,7.4,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,6186eead
5,Simeon Akinola,eng ENG,FW,Braintree Town,22,1992,41,41,3536,39.3,10,4,14,10,0,0,2,0,0.25,0.10,0.36,0.25,0.36,e48edc45
6,Dipo Akinyemi,eng ENG,FW,Aldershot Town,18,1997,4,2,194,2.2,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,fd0970a5
7,James Alabi,eng ENG,FW,Grimsby Town,20,1994,2,0,29,0.3,0,1,1,0,0,0,0,0,0.00,3.10,3.10,0.00,3.10,1c7b983d
8,James Alabi,eng ENG,FW,Chester,20,1994,16,13,1078,12.0,6,2,8,6,0,0,1,0,0.50,0.17,0.67,0.50,0.67,1c7b983d
9,Reise Allassani,eng ENG,FW,Bromley,19,1996,3,2,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5913dbc1
10,Iffy Allen,eng ENG,FWMF,Torquay United,21,1994,13,5,714,7.9,3,0,3,3,0,0,1,0,0.38,0.00,0.38,0.38,0.38,e27443d5
11,Jamie Allen,ms MSR,FWMF,Southport,20,1995,32,15,1621,18.0,4,1,5,4,0,0,0,0,0.22,0.06,0.28,0.22,0.28,5b2ad206
