,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Patrick Ada,cm CMR,DF,Ebbsfleet United,27,1985,19,19,1634,18.2,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,b0f672b6
2,Marco Adaggio,es ESP,FW,Telford United,24,1987,6,4,386,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fe9f6d2b
3,Dele Adebola,ng NGA,FW,Wrexham,37,1975,13,10,860,9.6,2,1,3,2,0,0,0,0,0.21,0.10,0.31,0.21,0.31,498b401e
4,Simon Ainge,eng ENG,DF,Luton Town,24,1988,22,19,1795,19.9,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0fc0fbab
5,Semi Ajayi,ng NGA,DFMF,Dartford,18,1993,3,3,253,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,d6192210
6,Tom Aldred,sct SCO,DF,Barrow,21,1990,11,11,941,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2a75e914
7,Daniel Alfei,wls WAL,DF,Wrexham,20,1992,11,11,969,10.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,62fab1e5
8,Mark Allott,eng ENG,MF,Hyde,34,1977,5,5,368,4.1,0,1,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,41c2d028
9,Louis Almond,eng ENG,FW,Barrow,20,1992,11,10,898,10.0,2,0,2,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,db14c0bc
10,Louis Almond,eng ENG,FW,Hyde,20,1992,12,12,1024,11.4,4,3,7,4,0,0,0,0,0.35,0.26,0.62,0.35,0.62,db14c0bc
11,Joe Anderson,eng ENG,DF,Cambridge,22,1989,5,4,332,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2d56c75b
12,Tom Anderson,eng ENG,DF,Barrow,18,1993,18,17,1563,17.4,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,76e8c264
13,Tom Anderson,eng ENG,DF,Hyde,18,1993,4,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,76e8c264
14,Danny Andrew,eng ENG,DFMF,Cambridge,21,1990,6,6,515,5.7,0,4,4,0,0,0,1,0,0.00,0.70,0.70,0.00,0.70,90b57521
15,Byron Anthony,wls WAL,DF,Newport County,27,1984,21,19,1748,19.4,3,0,3,3,0,0,1,0,0.15,0.00,0.15,0.15,0.15,3d7311dd
16,Byron Anthony,wls WAL,DF,Hereford United,27,1984,2,2,168,1.9,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,3d7311dd
17,Mark Arber,za RSA,DF,Dartford,34,1977,38,37,3300,36.7,0,3,3,0,0,0,5,1,0.00,0.08,0.08,0.00,0.08,6fd6c41c
18,Nathan Arnold,eng ENG,FWMF,Alfreton Town,25,1987,45,37,3586,39.8,9,10,19,9,0,0,1,0,0.23,0.25,0.48,0.23,0.48,4966b48d
