,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Nathan Abbey,eng ENG,GK,Kettering Town,32,1978,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,b8f4ec52
2,Charles Ademeno,eng ENG,FW,Grimsby Town,21,1988,12,6,559,6.2,2,0,2,2,0,0,1,0,0.32,0.00,0.32,0.32,0.32,9897f068
3,Jack Ainsley,eng ENG,DF,Histon,19,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,7f4a3f3a
4,Mihkel Aksalu,ee EST,GK,Mansfield Town,25,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d70b2046
5,Mark Albrighton,eng ENG,DF,Harriers,34,1976,30,28,2557,28.4,0,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,074b1cca
6,Jonny Allan,eng ENG,FW,Gateshead,27,1983,3,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4fd54653
7,Chris Allen,,MF,Forest Green,21,1989,5,3,279,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,9181d6c3
8,Louis Almond,eng ENG,FW,Barrow,18,1992,20,17,1556,17.3,6,0,6,5,1,1,2,0,0.35,0.00,0.35,0.29,0.29,db14c0bc
9,Marvin Andrews,tt TRI,DF,Wrexham,34,1975,29,20,1915,21.3,2,0,2,2,0,0,1,0,0.09,0.00,0.09,0.09,0.09,ce7a1fad
10,Craig Armstrong,eng ENG,DFMF,Forest Green,35,1975,24,24,2073,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,ffc980da
11,Paul Arnison,eng ENG,DFMF,Darlington,32,1977,37,34,3181,35.3,1,5,6,1,0,0,10,1,0.03,0.14,0.17,0.03,0.17,a244b7e5
12,Kenny Arthur,sct SCO,GK,Grimsby Town,31,1978,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,a32a2f88
13,Ed Asafu-Adjaye,eng ENG,DF,Histon,21,1988,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0f7e82f9
14,Ed Asafu-Adjaye,eng ENG,DF,Luton Town,21,1988,5,3,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0f7e82f9
15,Moses Ashikodi,ag ATG,FW,Kettering Town,23,1987,6,2,210,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,6e3ba254
