,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Sunderland,23,1990,28,26,2307,25.6,0,5,5,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches,5f09991f
2,Rolando Aarons,eng ENG,MF,Newcastle,18,1995,4,0,132,1.5,1,0,1,1,0,0,1,0,0.68,0.00,0.68,0.68,0.68,Matches,c5942695
3,Mehdi Abeid,dz ALG,MF,Newcastle,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4c3f7af
4,Charlie Adam,sct SCO,MF,Stoke City,28,1985,29,15,1511,16.8,7,1,8,6,1,1,5,0,0.42,0.06,0.48,0.36,0.42,Matches,aff418dc
5,Emmanuel Adebayor,tg TOG,FW,Tottenham,30,1984,13,9,813,9.0,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches,936d9e3e
6,Adrián,es ESP,GK,West Ham,27,1987,38,38,3392,37.7,0,0,0,,,,3,1,0.00,0.00,0.00,,,Matches,f76e6b4e
7,Gabriel Agbonlahor,eng ENG,FWMF,Aston Villa,27,1986,34,30,2693,29.9,6,1,7,6,0,0,7,1,0.20,0.03,0.23,0.20,0.23,Matches,db80f5f1
8,Sergio Agüero,ar ARG,FW,Manchester City,26,1988,33,30,2531,28.1,26,8,34,21,5,6,4,0,0.92,0.28,1.21,0.75,1.03,Matches,4d034881
9,Nathan Aké,nl NED,DFMF,Chelsea,19,1995,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
10,Chuba Akpom,eng ENG,FWMF,Arsenal,18,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2b384d2
11,Marc Albrighton,eng ENG,MF,Leicester City,24,1989,18,10,1031,11.5,2,3,5,2,0,0,3,0,0.17,0.26,0.44,0.17,0.44,Matches,b827d5b3
12,Antolín Alcaraz,py PAR,DF,Everton,32,1982,8,6,526,5.8,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,cee38e27
13,Toby Alderweireld,be BEL,DF,Southampton,25,1989,26,26,2261,25.1,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,f7d50789
14,Joe Allen,wls WAL,MF,Liverpool,24,1990,21,16,1470,16.3,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,9feb8f24
15,Jak Alnwick,eng ENG,GK,Newcastle,21,1993,6,5,495,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0835fc0
16,Jozy Altidore,us USA,FW,Sunderland,24,1989,11,2,311,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8db8ad1e
17,Sone Aluko,ng NGA,FWMF,Hull City,25,1989,25,13,1242,13.8,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,5a75d4cc
18,Ricky Álvarez,ar ARG,MF,Sunderland,26,1988,13,5,497,5.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,92a5ac34
19,Morgan Amalfitano,fr FRA,MF,West Ham,29,1985,24,14,1184,13.2,3,1,4,3,0,0,3,0,0.23,0.08,0.30,0.23,0.30,Matches,ab914649
20,Jordi Amat,id IDN,DF,Swansea City,22,1992,10,7,588,6.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d70a2141
21,Sammy Ameobi,eng ENG,FWMF,Newcastle,22,1992,25,15,1418,15.8,2,2,4,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25,Matches,acd61628
22,Shola Ameobi,ng NGA,FW,Crystal Palace,32,1981,4,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e79a368b
23,Anderson,br BRA,MF,Manchester Utd,26,1988,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffcbeb74
24,Victor Anichebe,ng NGA,FW,West Brom,26,1988,21,11,1035,11.5,3,1,4,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35,Matches,4aed5c19
25,Vurnon Anita,cw CUW,DFMF,Newcastle,25,1989,19,17,1266,14.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2d368fd5
26,Scott Arfield,ca CAN,MF,Burnley,25,1988,37,36,3202,35.6,2,2,4,2,0,1,6,0,0.06,0.06,0.11,0.06,0.11,Matches,b1313ec4
27,Adam Armstrong,eng ENG,FWMF,Newcastle,17,1997,11,1,211,2.3,0,1,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,Matches,68c720b5
28,Marko Arnautović,at AUT,FWMF,Stoke City,25,1989,29,20,1918,21.3,1,5,6,1,0,0,2,0,0.05,0.23,0.28,0.05,0.28,Matches,00459419
29,Mikel Arteta,es ESP,MF,Arsenal,32,1982,7,6,447,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,d934d1e6
30,Oussama Assaidi,ma MAR,FWMF,Stoke City,25,1988,9,1,231,2.6,0,1,1,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,Matches,483322fe
31,Christian Atsu,gh GHA,FWMF,Everton,22,1992,5,1,113,1.3,0,1,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,Matches,8816329f
32,Charlie Austin,eng ENG,FW,QPR,25,1989,35,35,3066,34.1,18,6,24,15,3,5,6,2,0.53,0.18,0.70,0.44,0.62,Matches,8d228291
33,César Azpilicueta,es ESP,DFMF,Chelsea,24,1989,29,29,2482,27.6,0,3,3,0,0,0,1,1,0.00,0.11,0.11,0.00,0.11,Matches,53cad200
34,Leandro Bacuna,cw CUW,DFMF,Aston Villa,22,1991,19,10,983,10.9,0,5,5,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,Matches,9dc69d38
35,Leighton Baines,eng ENG,DF,Everton,29,1984,31,31,2773,30.8,2,9,11,0,2,3,4,0,0.06,0.29,0.36,0.00,0.29,Matches,b18095b6
36,Chris Baird,nir NIR,DFMF,West Brom,32,1982,19,9,806,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,55fd8c81
37,Nathan Baker,eng ENG,DF,Aston Villa,23,1991,11,8,764,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b18af9e3
38,Mario Balotelli,it ITA,FW,Liverpool,23,1990,16,10,939,10.4,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,8ff07990
39,Barry Bannan,sct SCO,MF,Crystal Palace,24,1989,7,2,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9469fb13
40,Phil Bardsley,sct SCO,DF,Stoke City,29,1985,25,24,2082,23.1,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,1ae30132
41,Ross Barkley,eng ENG,MF,Everton,20,1993,29,22,1961,21.8,2,2,4,2,0,1,1,0,0.09,0.09,0.18,0.09,0.18,Matches,3a24769f
42,Ashley Barnes,eng ENG,FWMF,Burnley,24,1989,35,28,2414,26.8,5,2,7,5,0,0,6,2,0.19,0.07,0.26,0.19,0.26,Matches,2691c772
43,Modou Barrow,gm GAM,FWMF,Swansea City,21,1992,11,1,286,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches,75783f5f
44,Gareth Barry,eng ENG,MF,Everton,33,1981,33,33,2822,31.4,0,2,2,0,0,0,12,1,0.00,0.06,0.06,0.00,0.06,Matches,7dbbe367
45,Kyle Bartley,eng ENG,DF,Swansea City,23,1991,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,18e96f64
46,Joey Barton,eng ENG,MF,QPR,31,1982,28,27,2349,26.1,1,3,4,1,0,0,11,1,0.04,0.11,0.15,0.04,0.15,Matches,93bfa675
47,Asmir Begović,ba BIH,GK,Stoke City,27,1987,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
48,Héctor Bellerín,es ESP,DFMF,Arsenal,19,1995,20,17,1563,17.4,2,1,3,2,0,0,5,0,0.12,0.06,0.17,0.12,0.17,Matches,f874dd44
49,Hatem Ben Arfa,fr FRA,FWMF,Hull City,27,1987,8,5,383,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,74dc806c
50,Darren Bent,eng ENG,FW,Aston Villa,30,1984,7,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe97f10b
51,Nabil Bentaleb,dz ALG,MF,Tottenham,19,1994,26,25,2193,24.4,0,2,2,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,Matches,3189f61a
52,Christian Benteke,be BEL,FW,Aston Villa,23,1990,29,26,2379,26.4,13,2,15,12,1,1,1,1,0.49,0.08,0.57,0.45,0.53,Matches,ab070c55
53,Saido Berahino,bi BDI,FWMF,West Brom,20,1993,38,32,2924,32.5,14,1,15,10,4,4,2,0,0.43,0.03,0.46,0.31,0.34,Matches,25b166d0
54,Ryan Bertrand,eng ENG,DFMF,Southampton,24,1989,34,34,3054,33.9,2,2,4,2,0,0,3,1,0.06,0.06,0.12,0.06,0.12,Matches,01226327
55,Muhamed Bešić,ba BIH,DFMF,Everton,21,1992,23,15,1284,14.3,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,7ca9f0f0
56,Mame Biram Diouf,sn SEN,FWMF,Stoke City,26,1987,34,28,2431,27.0,11,3,14,11,0,0,7,0,0.41,0.11,0.52,0.41,0.52,Matches,7f4f3e49
57,Tyler Blackett,eng ENG,DF,Manchester Utd,20,1994,11,6,654,7.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,a68a5466
