,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Charlie Adam,sct SCO,MF,Stoke City,27,1985,31,20,1756,19.5,7,4,11,6,1,1,6,0,0.36,0.21,0.56,0.31,0.51,Matches,aff418dc
2,Emmanuel Adebayor,tg TOG,FW,Tottenham,29,1984,21,20,1805,20.1,11,4,15,10,1,2,0,0,0.55,0.20,0.75,0.50,0.70,Matches,936d9e3e
3,Adrián,es ESP,GK,West Ham,26,1987,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
4,Gabriel Agbonlahor,eng ENG,FWMF,Aston Villa,26,1986,30,29,2439,27.1,4,5,9,4,0,0,7,0,0.15,0.18,0.33,0.15,0.33,Matches,db80f5f1
5,Daniel Agger,dk DEN,DF,Liverpool,28,1984,20,16,1421,15.8,2,1,3,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,Matches,f1ea4af0
6,Sergio Agüero,ar ARG,FW,Manchester City,25,1988,23,20,1528,17.0,17,6,23,17,0,1,4,0,1.00,0.35,1.35,1.00,1.35,Matches,4d034881
7,Karim El Ahmadi,ma MAR,MF,Aston Villa,28,1985,31,26,2177,24.2,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches,0ff9eabc
8,Nathan Aké,nl NED,DFMF,Chelsea,18,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
9,Chuba Akpom,eng ENG,FWMF,Arsenal,17,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2b384d2
10,Luis Alberto,es ESP,FWMF,Liverpool,20,1992,9,0,144,1.6,0,1,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches,5294a83f
11,Marc Albrighton,eng ENG,MF,Aston Villa,23,1989,19,9,973,10.8,0,4,4,0,0,0,4,0,0.00,0.37,0.37,0.00,0.37,Matches,b827d5b3
12,Antolín Alcaraz,py PAR,DF,Everton,31,1982,6,5,495,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cee38e27
13,Joe Allen,wls WAL,MF,Liverpool,23,1990,24,15,1443,16.0,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,9feb8f24
14,Marcos Alonso,es ESP,DFMF,Sunderland,22,1990,16,16,1438,16.0,0,1,1,0,0,0,6,1,0.00,0.06,0.06,0.00,0.06,Matches,f4290206
15,Jozy Altidore,us USA,FW,Sunderland,23,1989,31,19,1783,19.8,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,8db8ad1e
16,Sone Aluko,ng NGA,FWMF,Hull City,24,1989,17,10,933,10.4,1,3,4,1,0,0,1,0,0.10,0.29,0.39,0.10,0.39,Matches,5a75d4cc
17,Morgan Amalfitano,fr FRA,MF,West Brom,28,1985,28,26,2140,23.8,4,3,7,4,0,0,3,0,0.17,0.13,0.29,0.17,0.29,Matches,ab914649
18,Jordi Amat,id IDN,DF,Swansea City,21,1992,17,13,1248,13.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d70a2141
19,Sammy Ameobi,eng ENG,FWMF,Newcastle,21,1992,10,4,376,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,acd61628
20,Shola Ameobi,ng NGA,FW,Newcastle,31,1981,26,14,1287,14.3,2,0,2,2,0,0,3,1,0.14,0.00,0.14,0.14,0.14,Matches,e79a368b
21,Fernando Amorebieta,ve VEN,DF,Fulham,28,1985,23,20,1847,20.5,1,0,1,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05,Matches,b2bbc0ec
22,Anderson,br BRA,MF,Manchester Utd,25,1988,4,2,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffcbeb74
23,Nicolas Anelka,fr FRA,FW,West Brom,34,1979,12,11,849,9.4,2,0,2,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,931ed5e9
24,Victor Anichebe,ng NGA,FW,West Brom,25,1988,24,11,1220,13.6,3,3,6,3,0,0,3,0,0.22,0.22,0.44,0.22,0.44,Matches,4aed5c19
25,Victor Anichebe,ng NGA,FW,Everton,25,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4aed5c19
26,Vurnon Anita,cw CUW,DFMF,Newcastle,24,1989,34,28,2457,27.3,1,1,2,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,Matches,2d368fd5
27,Pablo Armero,co COL,DFMF,West Ham,26,1986,5,3,323,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,afabf74e
28,Adam Armstrong,eng ENG,FWMF,Newcastle,16,1997,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68c720b5
29,Marko Arnautović,at AUT,FWMF,Stoke City,24,1989,30,27,2247,25.0,4,7,11,3,1,1,3,0,0.16,0.28,0.44,0.12,0.40,Matches,00459419
30,John Arne Riise,no NOR,DFMF,Fulham,32,1980,20,17,1488,16.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9bf988c2
31,Mikel Arteta,es ESP,MF,Arsenal,31,1982,31,27,2408,26.8,2,0,2,0,2,2,3,1,0.07,0.00,0.07,0.00,0.00,Matches,d934d1e6
32,Iago Aspas,es ESP,FWMF,Liverpool,25,1987,14,5,383,4.3,0,1,1,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Matches,7dcf86f6
33,Oussama Assaidi,ma MAR,FWMF,Stoke City,24,1988,19,12,1113,12.4,4,0,4,4,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,483322fe
34,César Azpilicueta,es ESP,DFMF,Chelsea,23,1989,29,26,2325,25.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,53cad200
35,Demba Ba,sn SEN,FW,Chelsea,28,1985,19,5,669,7.4,5,1,6,5,0,0,0,0,0.67,0.13,0.81,0.67,0.81,Matches,8b683d09
36,El-Hadji Ba,mr MTN,MF,Sunderland,20,1993,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db89826f
37,Leandro Bacuna,cw CUW,DFMF,Aston Villa,21,1991,35,28,2599,28.9,5,1,6,5,0,0,6,0,0.17,0.03,0.21,0.17,0.21,Matches,9dc69d38
38,Leighton Baines,eng ENG,DF,Everton,28,1984,32,32,2838,31.5,5,4,9,2,3,3,6,0,0.16,0.13,0.29,0.06,0.19,Matches,b18095b6
39,Nathan Baker,eng ENG,DF,Aston Villa,22,1991,30,29,2477,27.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,b18af9e3
40,Barry Bannan,sct SCO,MF,Crystal Palace,23,1989,15,13,997,11.1,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,9469fb13
41,Phil Bardsley,sct SCO,DF,Sunderland,28,1985,26,26,2242,24.9,2,0,2,2,0,0,9,0,0.08,0.00,0.08,0.08,0.08,Matches,1ae30132
42,Ross Barkley,eng ENG,MF,Everton,19,1993,34,25,2282,25.4,6,0,6,6,0,0,5,0,0.24,0.00,0.24,0.24,0.24,Matches,3a24769f
43,Gareth Barry,eng ENG,MF,Everton,32,1981,32,32,2848,31.6,3,4,7,3,0,0,10,0,0.09,0.13,0.22,0.09,0.22,Matches,7dbbe367
44,Kyle Bartley,eng ENG,DF,Swansea City,22,1991,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18e96f64
45,Sébastien Bassong,cm CMR,DF,Norwich City,27,1986,27,27,2377,26.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0d521662
46,Luciano Becchio,ar ARG,FW,Norwich City,29,1983,5,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b3d4028
47,Asmir Begović,ba BIH,GK,Stoke City,26,1987,32,32,2880,32.0,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,7b4de647
48,Craig Bellamy,wls WAL,FW,Cardiff City,34,1979,22,13,1255,13.9,2,1,3,2,0,0,3,0,0.14,0.07,0.22,0.14,0.22,Matches,b9eae55b
49,Hatem Ben Arfa,fr FRA,FWMF,Newcastle,26,1987,27,13,1312,14.6,3,3,6,2,1,1,1,0,0.21,0.21,0.41,0.14,0.34,Matches,74dc806c
50,Nicklas Bendtner,dk DEN,FW,Arsenal,25,1988,9,1,163,1.8,2,0,2,2,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches,9f9c57f0
51,Elliott Bennett,eng ENG,DFMF,Norwich City,24,1988,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02c9ea40
52,Joe Bennett,eng ENG,DFMF,Aston Villa,23,1990,5,3,243,2.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dc936144
53,Ryan Bennett,eng ENG,DF,Norwich City,23,1990,16,14,1350,15.0,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,0bad4516
54,Darren Bent,eng ENG,FW,Fulham,29,1984,24,11,1247,13.9,3,2,5,3,0,0,0,0,0.22,0.14,0.36,0.22,0.36,Matches,fe97f10b
55,Nabil Bentaleb,dz ALG,MF,Tottenham,18,1994,15,11,1071,11.9,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,3189f61a
56,Christian Benteke,be BEL,FW,Aston Villa,22,1990,26,24,2126,23.6,10,2,12,8,2,4,4,0,0.42,0.08,0.51,0.34,0.42,Matches,ab070c55
57,Saido Berahino,bi BDI,FWMF,West Brom,19,1993,32,11,1418,15.8,5,1,6,4,1,1,0,0,0.32,0.06,0.38,0.25,0.32,Matches,25b166d0
58,Dimitar Berbatov,bg BUL,FW,Fulham,32,1981,18,18,1564,17.4,4,1,5,2,2,2,3,0,0.23,0.06,0.29,0.12,0.17,Matches,f5781978
59,Ryan Bertrand,eng ENG,DFMF,Aston Villa,23,1989,16,16,1386,15.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,01226327
60,Ryan Bertrand,eng ENG,DFMF,Chelsea,23,1989,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01226327
61,Thievy Bifouma,cg CGO,FWMF,West Brom,21,1992,6,3,252,2.8,2,0,2,2,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches,5978dc3c
62,Kim Bo-kyung,kr KOR,MF,Cardiff City,23,1989,28,21,1672,18.6,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,587ddfd6
63,Derek Boateng,gh GHA,MF,Fulham,30,1983,3,2,154,1.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e9ef3a0d
64,Yannick Bolasie,cd COD,FWMF,Crystal Palace,24,1989,29,23,2030,22.6,0,4,4,0,0,0,1,1,0.00,0.18,0.18,0.00,0.18,Matches,715fc0fe
65,Wilfried Bony,ci CIV,FW,Swansea City,24,1988,34,27,2470,27.4,16,4,20,12,4,4,4,0,0.58,0.15,0.73,0.44,0.58,Matches,61abe9b6
66,Fabio Borini,it ITA,FWMF,Sunderland,22,1991,32,25,2143,23.8,7,2,9,4,3,3,6,0,0.29,0.08,0.38,0.17,0.25,Matches,ef5b337e
67,Marco Borriello,it ITA,FW,West Ham,31,1982,2,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a889ffc7
68,Artur Boruc,pl POL,GK,Southampton,33,1980,29,29,2577,28.6,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,34ccf6fa
69,Jordan Bowery,kn SKN,DFFW,Aston Villa,22,1991,9,2,239,2.7,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches,8f5a4e15
