,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,Matches,5f09991f
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,Matches,4d034881
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,3411,37.9,4,0,4,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,eaeca114
4,Marc Albrighton,eng ENG,MFFW,Leicester City,28,1989,27,18,1625,18.1,2,2,4,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,Matches,b827d5b3
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2922,32.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f7d50789
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2462,27.4,1,12,13,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,Matches,cd1acf9d
7,Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
8,Dele Alli,eng ENG,MFFW,Tottenham,22,1996,25,22,1825,20.3,5,3,8,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,Matches,cea4ee8f
9,Miguel Almirón,py PAR,MFFW,Newcastle,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,862a1c15
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,2759,30.7,2,4,6,2,0,0,6,0,0.07,0.13,0.20,0.07,0.20,Matches,f4290206
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1a4ef233
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77128f7e
13,Felipe Anderson,br BRA,MF,West Ham,25,1993,36,36,3043,33.8,9,4,13,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,Matches,9f1893b9
14,Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,881,9.8,3,0,3,3,0,0,5,0,0.31,0.00,0.31,0.31,0.31,Matches,dc008610
15,Frank Anguissa,cm CMR,MF,Fulham,22,1995,22,16,1517,16.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,6bb2c084
16,Michail Antonio,jm JAM,MFFW,West Ham,28,1990,33,22,2103,23.4,6,4,10,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,Matches,ac05f970
17,Stuart Armstrong,sct SCO,MFFW,Southampton,26,1992,29,16,1432,15.9,3,2,5,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31,Matches,97333cf5
18,Marko Arnautović,at AUT,FW,West Ham,29,1989,28,24,1990,22.1,10,4,14,9,1,1,3,0,0.45,0.18,0.63,0.41,0.59,Matches,00459419
19,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
20,Harry Arter,ie IRL,MF,Cardiff City,28,1989,25,24,1997,22.2,0,1,1,0,0,0,10,0,0.00,0.05,0.05,0.00,0.05,Matches,2f4c5a52
21,Christian Atsu,gh GHA,MF,Newcastle,26,1992,28,15,1493,16.6,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,8816329f
22,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,29,1989,36,30,2726,30.3,22,5,27,18,4,5,0,0,0.73,0.17,0.89,0.59,0.76,Matches,d5dd5f1f
23,Serge Aurier,ci CIV,DFMF,Tottenham,25,1992,8,6,564,6.3,0,2,2,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matches,5c2b4f07
24,Charlie Austin,eng ENG,FW,Southampton,29,1989,25,11,983,10.9,2,2,4,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,Matches,8d228291
25,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,1181,13.1,1,2,3,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,Matches,da052c14
26,Floyd Ayité,tg TOG,MFFW,Fulham,29,1988,16,3,476,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,fd5888a0
27,César Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,3402,37.8,1,5,6,1,0,0,4,0,0.03,0.13,0.16,0.03,0.16,Matches,53cad200
28,Ryan Babel,nl NED,FWMF,Fulham,31,1986,16,15,1251,13.9,5,3,8,5,0,0,3,0,0.36,0.22,0.58,0.36,0.58,Matches,6438d426
29,Juninho Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,16,1412,15.7,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,aaf1bf05
30,Leandro Bacuna,cw CUW,MF,Cardiff City,26,1991,11,4,561,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9dc69d38
31,Eric Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,7.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
32,Leighton Baines,eng ENG,DF,Everton,33,1984,6,5,375,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b18095b6
33,Fabián Balbuena,py PAR,DF,West Ham,26,1991,23,23,2013,22.4,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,3626f7d9
34,Leon Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,6.6,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,78e68b4d
35,Sol Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,2474,27.5,4,1,5,4,0,0,7,0,0.15,0.04,0.18,0.15,0.18,Matches,5534217d
36,Phil Bardsley,sct SCO,DF,Burnley,33,1985,19,19,1670,18.6,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,1ae30132
37,Ross Barkley,eng ENG,MF,Chelsea,24,1993,27,13,1245,13.8,3,5,8,3,0,0,1,0,0.22,0.36,0.58,0.22,0.58,Matches,3a24769f
38,Ashley Barnes,eng ENG,FW,Burnley,28,1989,37,26,2388,26.5,12,2,14,10,2,2,8,0,0.45,0.08,0.53,0.38,0.45,Matches,2691c772
39,Harvey Barnes,eng ENG,MFFW,Leicester City,20,1997,16,11,1004,11.2,1,2,3,1,0,0,0,0,0.09,0.18,0.27,0.09,0.27,Matches,3ea50f67
40,Antonio Barreca,it ITA,DFMF,Newcastle,23,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a189491
41,Michy Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,8.3,5,0,5,5,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,2973d8ff
42,Jan Bednarek,pl POL,DF,Southampton,22,1996,25,24,2151,23.9,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,4115ce4e
43,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
44,Héctor Bellerín,es ESP,DFMF,Arsenal,23,1995,19,18,1533,17.0,0,5,5,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29,Matches,f874dd44
45,Joe Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,2639,29.3,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,dc936144
46,Ryan Bennett,eng ENG,DF,Wolves,28,1990,34,34,3060,34.0,1,0,1,1,0,0,12,0,0.03,0.00,0.03,0.03,0.03,Matches,0bad4516
47,Christian Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,814,9.0,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,ab070c55
48,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,27,1990,29,19,1752,19.5,3,6,9,3,0,0,2,0,0.15,0.31,0.46,0.15,0.46,Matches,f72293fc
49,Bernard,br BRA,MF,Everton,25,1992,34,25,2116,23.5,1,3,4,1,0,0,5,0,0.04,0.13,0.17,0.04,0.17,Matches,ab4b3e35
50,Bernardo,br BRA,DF,Brighton,23,1995,22,19,1752,19.5,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,17370b95
51,Ryan Bertrand,eng ENG,DFMF,Southampton,28,1989,24,24,2160,24.0,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,01226327
52,Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0d85a4e8
53,Philip Billing,dk DEN,MF,Huddersfield,22,1996,27,25,2188,24.3,2,0,2,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,Matches,d328a254
54,Yves Bissouma,ml MLI,MF,Brighton,21,1996,28,17,1774,19.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,6c203af0
55,Willy Boly,ci CIV,DF,Wolves,27,1991,36,36,3167,35.2,4,0,4,4,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,a4ac4b8f
56,Léo Bonatini,br BRA,FW,Wolves,24,1994,7,0,135,1.5,0,1,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches,da23d58d
57,Gaëtan Bong,cm CMR,DF,Brighton,30,1988,22,19,1808,20.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cfd5e123
58,Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,34ccf6fa
59,Robbie Brady,ie IRL,MF,Burnley,26,1992,16,6,720,8.0,0,1,1,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches,96bb8cc2
60,Miguel Britos,uy URU,DF,Watford,33,1985,3,2,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,356a9a62
61,David Brooks,wls WAL,MF,Bournemouth,21,1997,30,29,2261,25.1,7,5,12,7,0,0,3,0,0.28,0.20,0.48,0.28,0.48,Matches,dc4cae05
62,Bruno,es ESP,DF,Brighton,37,1980,14,14,1131,12.6,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,78803d03
63,Joe Bryan,eng ENG,DFMF,Fulham,24,1993,28,27,2345,26.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,af69e7f0
64,David Button,eng ENG,GK,Brighton,29,1989,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e608ed4c
65,Willy Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a179d516
66,Gary Cahill,eng ENG,DF,Chelsea,32,1985,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7914b9fe
67,Tom Cairney,sct SCO,MFFW,Fulham,27,1991,31,24,2194,24.4,1,1,2,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches,a8748947
68,Dominic Calvert-Lewin,eng ENG,FWMF,Everton,21,1997,35,19,1784,19.8,6,2,8,6,0,0,3,0,0.30,0.10,0.40,0.30,0.40,Matches,59e6e5bf
69,Rafael Camacho,pt POR,FWMF,Liverpool,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91b43c98
70,Víctor Camarasa,es ESP,MF,Cardiff City,24,1994,32,31,2569,28.5,5,4,9,4,1,1,6,0,0.18,0.14,0.32,0.14,0.28,Matches,b2d03887
71,Étienne Capoue,fr FRA,MF,Watford,30,1988,33,33,2944,32.7,1,3,4,1,0,0,14,1,0.03,0.09,0.12,0.03,0.12,Matches,5acc4a10
72,Andy Carroll,eng ENG,FW,West Ham,29,1989,12,3,461,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b581987a
73,Jonny Castro,es ESP,MF,Wolves,24,1994,33,32,2771,30.8,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches,e28868f3
