,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
530,Victor Wanyama,ke KEN,MF,Southampton,24,1991,30,29,2498,27.8,1,1,2,1,0,0,8,3,0.04,0.04,0.07,0.04,0.07,Matches,e0900238
531,Danny Ward,wls WAL,GK,Liverpool,22,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
532,Joel Ward,eng ENG,DF,Crystal Palace,25,1989,30,30,2691,29.9,2,1,3,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,Matches,8a7ff278
533,James Ward-Prowse,eng ENG,MF,Southampton,20,1994,33,14,1545,17.2,2,4,6,1,1,1,5,0,0.12,0.23,0.35,0.06,0.29,Matches,3515d404
534,Marcin Wasilewski,pl POL,DF,Leicester City,35,1980,4,3,303,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,24249219
535,Duncan Watmore,eng ENG,MFFW,Sunderland,21,1994,23,7,919,10.2,3,1,4,3,0,0,0,0,0.29,0.10,0.39,0.29,0.39,Matches,2b2bae51
536,Ben Watson,eng ENG,MF,Watford,30,1985,35,31,2816,31.3,2,0,2,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,df540668
537,James Weir,eng ENG,MF,Manchester Utd,19,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8d651c1
538,Danny Welbeck,eng ENG,FW,Arsenal,24,1990,11,7,575,6.4,4,2,6,4,0,0,1,0,0.63,0.31,0.94,0.63,0.94,Matches,ce5143da
539,Ashley Westwood,eng ENG,MF,Aston Villa,25,1990,32,31,2717,30.2,2,2,4,2,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches,495945ef
540,Glenn Whelan,ie IRL,MF,Stoke City,31,1984,37,37,3166,35.2,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,d5bd56a5
541,Steven Whittaker,sct SCO,DF,Norwich City,31,1984,8,8,661,7.3,1,0,1,1,0,0,3,1,0.14,0.00,0.14,0.14,0.14,Matches,06f81a8c
542,Connor Wickham,eng ENG,FW,Crystal Palace,22,1993,21,15,1320,14.7,5,3,8,4,1,1,1,0,0.34,0.20,0.55,0.27,0.48,Matches,41cc19c2
543,Georginio Wijnaldum,nl NED,MF,Newcastle,24,1990,38,36,3163,35.1,11,5,16,10,1,1,1,0,0.31,0.14,0.46,0.28,0.43,Matches,eb58eef0
544,Ashley Williams,wls WAL,DF,Swansea City,30,1984,36,36,3240,36.0,2,1,3,2,0,0,8,0,0.06,0.03,0.08,0.06,0.08,Matches,a498e276
545,Jonny Williams,wls WAL,FWMF,Crystal Palace,21,1993,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49b8432c
546,Willian,br BRA,MF,Chelsea,26,1988,35,32,2739,30.4,5,6,11,5,0,0,5,0,0.16,0.20,0.36,0.16,0.36,Matches,8b9ebd03
547,Jack Wilshere,eng ENG,MF,Arsenal,23,1992,3,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c318325
548,Callum Wilson,eng ENG,FWMF,Bournemouth,23,1992,13,9,771,8.6,5,0,5,4,1,1,0,0,0.58,0.00,0.58,0.47,0.47,Matches,c596fcb0
549,James Wilson,eng ENG,FWMF,Manchester Utd,19,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0d786ee
550,Marc Wilson,ie IRL,DF,Stoke City,27,1987,4,1,261,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c325c010
551,Kevin Wimmer,at AUT,DF,Tottenham,22,1992,10,9,812,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,faf55ce4
552,Andre Wisdom,eng ENG,DF,Norwich City,22,1993,10,9,824,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ab6a3628
553,Philipp Wollscheid,de GER,DF,Stoke City,26,1989,31,30,2684,29.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c4cca587
554,Claudio Yacob,ar ARG,MF,West Brom,28,1987,34,33,2846,31.6,0,1,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,Matches,bda6ffd4
555,DeAndre Yedlin,us USA,DFMF,Sunderland,22,1993,23,21,1811,20.1,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,ae0a7ddf
556,Maya Yoshida,jp JPN,DFMF,Southampton,26,1988,20,10,1020,11.3,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,caffaf5a
557,Ashley Young,eng ENG,DFMF,Manchester Utd,30,1985,18,11,1065,11.8,1,2,3,1,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matches,be927d03
558,Pablo Zabaleta,ar ARG,DF,Manchester City,30,1985,13,12,1062,11.8,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,6813ac34
559,Wilfried Zaha,ci CIV,MFFW,Crystal Palace,22,1992,34,30,2488,27.6,2,1,3,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,Matches,b2bc3b1f
560,Mauro Zárate,ar ARG,MFFW,West Ham,28,1987,15,9,788,8.8,3,0,3,3,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches,cc18ff4c
561,Kurt Zouma,fr FRA,DF,Chelsea,20,1994,23,21,1918,21.3,1,1,2,1,0,0,0,0,0.05,0.05,0.09,0.05,0.09,Matches,ce4246f5
