,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Charlie Adam,sct SCO,MF,Stoke City,26,1985,27,22,1757,19.5,3,2,5,3,0,0,9,1,0.15,0.10,0.26,0.15,0.26,Matches,aff418dc
2,Emmanuel Adebayor,tg TOG,FW,Tottenham,28,1984,25,18,1598,17.8,5,1,6,5,0,0,3,1,0.28,0.06,0.34,0.28,0.34,Matches,936d9e3e
3,Gabriel Agbonlahor,eng ENG,FWMF,Aston Villa,25,1986,28,24,2187,24.3,9,3,12,9,0,0,4,0,0.37,0.12,0.49,0.37,0.49,Matches,db80f5f1
4,Daniel Agger,dk DEN,DF,Liverpool,27,1984,35,35,3098,34.4,3,0,3,3,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches,f1ea4af0
5,Sergio Agüero,ar ARG,FW,Manchester City,24,1988,30,22,1941,21.6,12,2,14,10,2,2,2,0,0.56,0.09,0.65,0.46,0.56,Matches,4d034881
6,Kemy Agustien,cw CUW,DFMF,Swansea City,25,1986,18,4,578,6.4,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,027a5151
7,Karim El Ahmadi,ma MAR,MF,Aston Villa,27,1985,20,12,1176,13.1,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,0ff9eabc
8,Nathan Aké,nl NED,DFMF,Chelsea,17,1995,3,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
9,Hope Akpan,ng NGA,MF,Reading,20,1991,9,6,471,5.2,0,3,3,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches,1ccbca79
10,Marc Albrighton,eng ENG,MF,Aston Villa,22,1989,9,4,429,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b827d5b3
11,Antolín Alcaraz,py PAR,DF,Wigan Athletic,30,1982,10,8,691,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cee38e27
12,Joe Allen,wls WAL,MF,Liverpool,22,1990,27,21,1920,21.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9feb8f24
13,Sammy Ameobi,eng ENG,FWMF,Newcastle,20,1992,8,1,236,2.6,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches,acd61628
14,Shola Ameobi,ng NGA,FW,Newcastle,30,1981,23,4,686,7.6,1,1,2,1,0,0,5,0,0.13,0.13,0.26,0.13,0.26,Matches,e79a368b
15,Anderson,br BRA,MF,Manchester Utd,24,1988,17,9,824,9.2,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,ffcbeb74
16,Victor Anichebe,ng NGA,FW,Everton,24,1988,26,19,1712,19.0,6,4,10,6,0,0,2,0,0.32,0.21,0.53,0.32,0.53,Matches,4aed5c19
17,Vurnon Anita,cw CUW,DFMF,Newcastle,23,1989,25,17,1733,19.3,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,2d368fd5
18,John Arne Riise,no NOR,DFMF,Fulham,31,1980,31,29,2529,28.1,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,9bf988c2
19,Andrey Arshavin,ru RUS,FWMF,Arsenal,31,1981,7,0,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8fd1ea1f
20,Mikel Arteta,es ESP,MF,Arsenal,30,1982,34,34,2982,33.1,6,3,9,1,5,6,6,0,0.18,0.09,0.27,0.03,0.12,Matches,d934d1e6
21,Oussama Assaidi,ma MAR,FWMF,Liverpool,23,1988,4,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,483322fe
22,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,28,1984,15,12,1141,12.7,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,a557e6b0
23,César Azpilicueta,es ESP,DFMF,Chelsea,22,1989,27,24,2199,24.4,0,4,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches,53cad200
24,Demba Ba,sn SEN,FW,Newcastle,27,1985,20,19,1664,18.5,13,0,13,12,1,1,0,0,0.70,0.00,0.70,0.65,0.65,Matches,8b683d09
25,Demba Ba,sn SEN,FW,Chelsea,27,1985,14,11,868,9.6,2,0,2,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,8b683d09
26,Leighton Baines,eng ENG,DF,Everton,27,1984,38,38,3420,38.0,5,5,10,3,2,2,4,0,0.13,0.13,0.26,0.08,0.21,Matches,b18095b6
27,Chris Baird,nir NIR,DFMF,Fulham,30,1982,19,14,1320,14.7,2,0,2,2,0,0,5,0,0.14,0.00,0.14,0.14,0.14,Matches,55fd8c81
28,Nathan Baker,eng ENG,DF,Aston Villa,21,1991,26,25,2007,22.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b18af9e3
29,Gareth Bale,wls WAL,FWMF,Tottenham,23,1989,33,33,2921,32.5,21,4,25,21,0,0,6,0,0.65,0.12,0.77,0.65,0.77,Matches,a58bb1e1
30,Mario Balotelli,it ITA,FW,Manchester City,21,1990,14,7,590,6.6,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,8ff07990
31,Barry Bannan,sct SCO,MF,Aston Villa,22,1989,24,18,1626,18.1,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,9469fb13
32,Phil Bardsley,sct SCO,DF,Sunderland,27,1985,18,11,984,10.9,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,1ae30132
33,Ross Barkley,eng ENG,MF,Everton,18,1993,7,2,209,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a24769f
34,Leon Barnett,eng ENG,DF,Norwich City,26,1985,8,6,563,6.3,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,76854cdf
35,Gareth Barry,eng ENG,MF,Manchester City,31,1981,31,27,2398,26.6,1,2,3,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,Matches,7dbbe367
36,Kyle Bartley,eng ENG,DF,Swansea City,21,1991,2,1,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18e96f64
37,Sébastien Bassong,cm CMR,DF,Norwich City,26,1986,34,34,2959,32.9,3,2,5,3,0,0,3,0,0.09,0.06,0.15,0.09,0.15,Matches,0d521662
38,Jean Beausejour,cl CHI,DFFW,Wigan Athletic,28,1984,34,32,2778,30.9,1,7,8,1,0,0,4,0,0.03,0.23,0.26,0.03,0.26,Matches,c8404849
