,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
152,Graham Dorrans,sct SCO,FWMF,West Brom,23,1987,21,16,1414,15.7,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,Matches,eeb032db
153,Giovani dos Santos,mx MEX,FWMF,Tottenham,21,1989,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7dba6233
154,Stewart Downing,eng ENG,FWMF,Aston Villa,26,1984,38,38,3385,37.6,7,7,14,7,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches,b13c4620
155,Colin Doyle,ie IRL,GK,Birmingham City,25,1985,1,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,93b41c46
156,Kevin Doyle,ie IRL,FW,Wolves,26,1983,26,25,2184,24.3,5,4,9,3,2,2,1,0,0.21,0.16,0.37,0.12,0.29,Matches,c4689de2
157,Didier Drogba,ci CIV,FW,Chelsea,32,1978,36,30,2791,31,11,13,24,9,2,3,6,0,0.35,0.42,0.77,0.29,0.71,Matches,945dea33
158,Damien Duff,ie IRL,FWMF,Fulham,31,1979,24,22,1876,20.8,4,2,6,4,0,0,3,0,0.19,0.1,0.29,0.19,0.29,Matches,057a6936
159,David Dunn,eng ENG,MF,Blackburn,30,1979,27,17,1385,15.4,2,1,3,1,1,1,3,0,0.13,0.06,0.19,0.06,0.13,Matches,7ecdf483
160,Richard Dunne,ie IRL,DF,Aston Villa,30,1979,32,32,2717,30.2,0,1,1,0,0,0,4,0,0,0.03,0.03,0,0.03,Matches,6cbc015d
161,Kieron Dyer,eng ENG,MF,West Ham,31,1978,11,8,602,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,90b5a2f2
162,Edin Džeko,ba BIH,FW,Manchester City,24,1986,15,8,854,9.5,2,2,4,2,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches,3bb7f478
163,Neal Eardley,wls WAL,DF,Blackpool,21,1988,31,30,2556,28.4,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches,2bb4411f
164,Sylvan Ebanks-Blake,eng ENG,FW,Wolves,24,1986,30,11,1324,14.7,7,3,10,7,0,0,0,0,0.48,0.2,0.68,0.48,0.68,Matches,9dfe6a3f
165,Emmanuel Eboué,ci CIV,DFMF,Arsenal,27,1983,13,8,707,7.9,1,0,1,1,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches,1bfae04c
166,Nathan Eccleston,eng ENG,FW,Liverpool,19,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5d83b302
167,David Edwards,wls WAL,MF,Wolves,24,1986,15,12,913,10.1,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,Matches,9961eefb
168,Rob Edwards,wls WAL,DF,Blackpool,27,1982,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,270efb21
169,Johan Elmander,se SWE,FW,Bolton,29,1981,37,37,3092,34.4,10,6,16,10,0,0,4,0,0.29,0.17,0.47,0.29,0.47,Matches,3438cef9
170,Ahmed Elmohamady,eg EGY,DFMF,Sunderland,22,1987,36,26,2455,27.3,0,2,2,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches,615ef733
171,George Elokobi,cm CMR,DF,Wolves,24,1986,27,23,2124,23.6,2,2,4,2,0,0,6,0,0.08,0.08,0.17,0.08,0.17,Matches,36aad3ed
172,Brett Emerton,au AUS,DFMF,Blackburn,31,1979,30,24,2194,24.4,4,5,9,4,0,0,4,0,0.16,0.21,0.37,0.16,0.37,Matches,a1866af0
173,Jay Emmanuel-Thomas,eng ENG,FWMF,Arsenal,19,1990,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b5f1c3c8
174,José Enrique,es ESP,DF,Newcastle,24,1986,36,36,3123,34.7,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches,d56364d5
175,Michael Essien,gh GHA,DFMF,Chelsea,27,1982,33,32,2797,31.1,3,2,5,3,0,0,5,1,0.1,0.06,0.16,0.1,0.16,Matches,d6577282
176,Matthew Etherington,eng ENG,MF,Stoke City,28,1981,32,30,2517,28,5,6,11,3,2,2,5,0,0.18,0.21,0.39,0.11,0.32,Matches,ef616df9
177,Dickson Etuhu,ng NGA,MF,Fulham,28,1982,28,23,1971,21.9,2,2,4,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,0f04d7b6
178,Jason Euell,jm JAM,FWMF,Blackpool,33,1977,3,1,105,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,d97fe8bd
179,Jonny Evans,nir NIR,DF,Manchester Utd,22,1988,13,11,1005,11.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,f8fcd2a5
180,Ian Evatt,eng ENG,DF,Blackpool,28,1981,38,36,3215,35.7,1,3,4,1,0,0,6,1,0.03,0.08,0.11,0.03,0.11,Matches,749bcfb8
181,Patrice Evra,fr FRA,DF,Manchester Utd,29,1981,35,34,2961,32.9,1,1,2,1,0,0,1,0,0.03,0.03,0.06,0.03,0.06,Matches,51a3caf1
182,Łukasz Fabiański,pl POL,GK,Arsenal,25,1985,14,14,1260,14,0,1,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,9328b835
183,Fábio,br BRA,DF,Manchester Utd,20,1990,11,5,555,6.2,1,0,1,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches,bc7b4580
184,Cesc Fàbregas,es ESP,FWMF,Arsenal,23,1987,25,22,1880,20.9,3,11,14,3,0,1,5,0,0.14,0.53,0.67,0.14,0.67,Matches,33508c78
185,Keith Fahey,ie IRL,MF,Birmingham City,27,1983,24,19,1516,16.8,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches,e4def09b
186,Julien Faubert,fr FRA,DFFW,West Ham,26,1983,9,7,612,6.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,5.26E+05
187,Abdoulaye Faye,sn SEN,DFMF,Stoke City,32,1978,14,12,1127,12.5,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches,99df1bff
188,Marouane Fellaini,be BEL,MF,Everton,22,1987,20,19,1653,18.4,1,2,3,1,0,0,3,1,0.05,0.11,0.16,0.05,0.16,Matches,87575fd9
189,Anton Ferdinand,eng ENG,DF,Sunderland,25,1985,27,23,2088,23.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,d1891093
190,Rio Ferdinand,eng ENG,DF,Manchester Utd,31,1978,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,52465662
191,Barry Ferguson,sct SCO,MF,Birmingham City,32,1978,35,35,3150,35,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,43420ade
192,Shane Ferguson,nir NIR,DFMF,Newcastle,19,1991,7,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a0f6ddc3
193,Paulo Ferreira,pt POR,DF,Chelsea,31,1979,21,12,1039,11.5,0,2,2,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches,4ca16d65
194,Maynor Figueroa,hn HON,DF,Wigan Athletic,27,1983,33,32,2809,31.2,1,2,3,1,0,0,11,0,0.03,0.06,0.1,0.03,0.1,Matches,d8524b21
195,Jon Flanagan,eng ENG,DF,Liverpool,17,1993,7,7,620,6.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,f2428fd4
196,Darren Fletcher,sct SCO,MF,Manchester Utd,26,1984,26,24,2109,23.4,2,6,8,2,0,0,3,0,0.09,0.26,0.34,0.09,0.34,Matches,184e4970
197,Steven Fletcher,sct SCO,FW,Wolves,23,1987,29,15,1394,15.5,10,2,12,9,1,1,1,0,0.65,0.13,0.77,0.58,0.71,Matches,2c9c3502
198,Kevin Foley,ie IRL,DFMF,Wolves,25,1984,33,30,2728,30.3,2,2,4,2,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,11b3d067
199,Adam Forshaw,eng ENG,MF,Everton,18,1991,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f1938ab
200,Marc-Antoine Fortuné,fr FRA,FW,West Brom,29,1981,25,14,1119,12.4,2,1,3,2,0,0,0,0,0.16,0.08,0.24,0.16,0.24,Matches,402077cd
201,Ben Foster,eng ENG,GK,Birmingham City,27,1983,38,38,3369,37.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,d0b3ceb9
202,Brad Friedel,us USA,GK,Aston Villa,39,1971,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,b8c0a975
203,Ricardo Fuller,jm JAM,FW,Stoke City,30,1979,28,9,1096,12.2,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,Matches,c764fa54
204,Danny Gabbidon,wls WAL,DF,West Ham,30,1979,26,24,2180,24.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,90148433
205,William Gallas,fr FRA,DF,Tottenham,32,1977,27,26,2339,26,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,286fb7e0
206,Morten Gamst Pedersen,no NOR,FWMF,Blackburn,28,1981,35,27,2525,28.1,4,6,10,4,0,1,1,0,0.14,0.21,0.36,0.14,0.36,Matches,c75d2fba
207,Craig Gardner,eng ENG,MF,Birmingham City,23,1986,29,25,2216,24.6,8,0,8,7,1,1,8,2,0.32,0,0.32,0.28,0.28,Matches,1117b9ff
208,Ricardo Gardner,jm JAM,DFMF,Bolton,31,1978,5,3,321,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches,b6a1eaa0
209,Zoltán Gera,hu HUN,MF,Fulham,31,1979,27,10,1118,12.4,1,1,2,1,0,0,2,1,0.08,0.08,0.16,0.08,0.16,Matches,08bd23a0
210,Steven Gerrard,eng ENG,MF,Liverpool,30,1980,21,20,1870,20.8,4,5,9,2,2,3,2,0,0.19,0.24,0.43,0.1,0.34,Matches,caeb5442
211,Kieran Gibbs,eng ENG,DFMF,Arsenal,20,1989,7,4,348,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,46ee5234
212,Darron Gibson,ie IRL,MF,Manchester Utd,22,1987,12,6,656,7.3,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches,f0e72e1c
213,Ryan Giggs,wls WAL,FWMF,Manchester Utd,36,1973,25,19,1676,18.6,2,6,8,2,0,0,5,0,0.11,0.32,0.43,0.11,0.43,Matches,561de8d0
214,Matt Gilks,sct SCO,GK,Blackpool,28,1982,18,18,1575,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,49b8c292
215,Gaël Givet,fr FRA,DF,Blackburn,28,1981,29,29,2445,27.2,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches,6d28f149
216,Steve Gohouri,ci CIV,DF,Wigan Athletic,29,1981,27,26,2362,26.2,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,Matches,0d058ab8
217,Heurelho Gomes,br BRA,GK,Tottenham,29,1981,30,30,2700,30,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,d596e193
218,Jordi Gómez,es ESP,MF,Wigan Athletic,25,1985,13,9,720,8,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,d92b0327
219,Craig Gordon,sct SCO,GK,Sunderland,27,1982,15,15,1350,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b15780e3
220,Dan Gosling,eng ENG,DFMF,Newcastle,20,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7fec31a0
221,Hérold Goulon,fr FRA,DFMF,Blackburn,22,1988,4,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e818c267
222,Elliot Grandin,fr FRA,FWMF,Blackpool,22,1987,23,21,1499,16.7,1,3,4,1,0,0,0,0,0.06,0.18,0.24,0.06,0.24,Matches,ddbf3019
223,Robert Green,eng ENG,GK,West Ham,30,1980,37,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a350680b
224,Jonathan Greening,eng ENG,MF,Fulham,31,1979,10,6,529,5.9,0,2,2,0,0,0,2,0,0,0.34,0.34,0,0.34,Matches,892c1d7a
225,Vince Grella,au AUS,MF,Blackburn,30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,db61f587
226,Adlène Guedioura,dz ALG,MF,Wolves,24,1985,10,4,368,4.1,1,1,2,1,0,0,2,0,0.24,0.24,0.49,0.24,0.49,Matches,f75825e3
227,Magaye Gueye,fr FRA,FWMF,Everton,20,1990,5,2,191,2.1,0,1,1,0,0,0,0,0,0,0.47,0.47,0,0.47,Matches,82b85f5a
228,Danny Guthrie,eng ENG,MF,Newcastle,23,1987,14,11,949,10.5,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches,fff10a46
229,Jonás Gutiérrez,ar ARG,MF,Newcastle,27,1983,37,34,2973,33,3,4,7,3,0,0,5,0,0.09,0.12,0.21,0.09,0.21,Matches,816fd91c
230,Eiður Guðjohnsen,is ISL,FWMF,Fulham,31,1978,10,4,412,4.6,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches,32fc9ff2
231,Eiður Guðjohnsen,is ISL,FWMF,Stoke City,31,1978,4,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,32fc9ff2
232,Asamoah Gyan,gh GHA,FW,Sunderland,24,1985,31,20,2005,22.3,10,4,14,10,0,0,0,0,0.45,0.18,0.63,0.45,0.63,Matches,7f7bbbc2
233,Ali Al-Habsi,om OMA,GK,Wigan Athletic,28,1981,34,34,3060,34,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,032f766b
234,El Hadji Diouf,sn SEN,FWMF,Blackburn,29,1981,20,18,1558,17.3,0,3,3,0,0,0,4,0,0,0.17,0.17,0,0.17,Matches,1a4542c8
235,Marcus Hahnemann,us USA,GK,Wolves,38,1972,14,14,1260,14,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,c6be3102
236,Greg Halford,eng ENG,DFFW,Wolves,25,1984,2,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,06d45e81
237,Rafik Halliche,dz ALG,DF,Fulham,23,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ecb2f4e3
238,Mark Halstead,eng ENG,GK,Blackpool,19,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff36c850
239,Adam Hammill,eng ENG,FWMF,Wolves,22,1988,10,7,536,6,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches,ffd4896e
240,Brede Hangeland,no NOR,DF,Fulham,29,1981,37,37,3330,37,6,1,7,6,0,0,6,0,0.16,0.03,0.19,0.16,0.19,Matches,7cbeb80c
241,Grant Hanley,sct SCO,DF,Blackburn,18,1991,7,5,444,4.9,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches,e9254eec
242,Marlon Harewood,eng ENG,FW,Blackpool,30,1979,16,7,661,7.3,5,1,6,5,0,0,1,0,0.68,0.14,0.82,0.68,0.82,Matches,34dab521
243,Owen Hargreaves,eng ENG,MF,Manchester Utd,29,1981,1,1,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1b2b5b86
244,Steve Harper,eng ENG,GK,Newcastle,35,1975,18,18,1564,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a98f1d52
245,Joe Hart,eng ENG,GK,Manchester City,23,1987,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,cb4f24c6
246,John Heitinga,nl NED,DFMF,Everton,26,1983,27,23,1888,21,1,0,1,1,0,0,9,0,0.05,0,0.05,0.05,0.05,Matches,2661360d
247,Bjørn Helge Riise,no NOR,MF,Fulham,27,1983,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,831674a5
248,Jordan Henderson,eng ENG,MF,Sunderland,20,1990,37,37,3211,35.7,3,4,7,3,0,0,2,0,0.08,0.11,0.2,0.08,0.2,Matches,935e6b8f
249,Wayne Hennessey,wls WAL,GK,Wolves,23,1987,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,76eca7e2
250,Karl Henry,eng ENG,DFMF,Wolves,27,1982,29,28,2426,27,0,2,2,0,0,0,8,1,0,0.07,0.07,0,0.07,Matches,5eac3bb7
251,Chris Herd,au AUS,DFMF,Aston Villa,21,1989,6,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3d5db1eb
252,Javier Hernández,mx MEX,FW,Manchester Utd,22,1988,27,15,1492,16.6,13,1,14,13,0,0,5,0,0.78,0.06,0.84,0.78,0.84,Matches,189cee7b
253,Emile Heskey,eng ENG,FW,Aston Villa,32,1978,19,11,893,9.9,3,1,4,3,0,0,3,1,0.3,0.1,0.4,0.3,0.4,Matches,30184789
254,Tony Hibbert,eng ENG,DF,Everton,29,1981,20,17,1452,16.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,c878c4bf
255,Danny Higginbotham,gi GIB,DF,Stoke City,31,1978,10,9,843,9.4,2,0,2,2,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,688135a1
256,Zavon Hines,eng ENG,FWMF,West Ham,21,1988,9,4,406,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,29b8c15b
257,Thomas Hitzlsperger,de GER,MF,West Ham,28,1982,11,11,990,11,2,4,6,2,0,0,1,0,0.18,0.36,0.55,0.18,0.55,Matches,2757060a
258,Alexander Hleb,by BLR,MF,Birmingham City,29,1981,19,13,1089,12.1,1,2,3,1,0,0,0,0,0.08,0.17,0.25,0.08,0.25,Matches,35cf43aa
259,Jonathan Hogg,eng ENG,MF,Aston Villa,21,1988,5,5,394,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,9306d5ea
260,Junior Hoilett,ca CAN,FWMF,Blackburn,20,1990,24,17,1494,16.6,5,1,6,5,0,0,2,0,0.3,0.06,0.36,0.3,0.36,Matches,33af5b9e
261,Stuart Holden,us USA,MF,Bolton,24,1985,26,26,2289,25.4,2,2,4,2,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,b8e24504
262,Tim Howard,us USA,GK,Everton,31,1979,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,c444465e
263,Tom Huddlestone,eng ENG,MF,Tottenham,23,1986,14,13,1162,12.9,2,2,4,2,0,0,3,0,0.15,0.15,0.31,0.15,0.31,Matches,464cbbc9
264,Aaron Hughes,nir NIR,DF,Fulham,30,1979,38,38,3404,37.8,1,0,1,1,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,dccccccc
265,Stephen Hunt,ie IRL,FWMF,Wolves,28,1981,20,14,1340,14.9,3,2,5,3,0,0,5,0,0.2,0.13,0.34,0.2,0.34,Matches,51ac7604
266,James Hurst,eng ENG,DF,West Brom,18,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a59de39b
267,Robert Huth,de GER,DF,Stoke City,25,1984,35,35,3110,34.6,6,2,8,6,0,0,7,0,0.17,0.06,0.23,0.17,0.23,Matches,0bd1ea64
268,Alan Hutton,sct SCO,DF,Tottenham,25,1984,21,19,1706,19,2,1,3,2,0,0,2,0,0.11,0.05,0.16,0.11,0.16,Matches,688ae34c
269,Pablo Ibáñez,es ESP,DF,West Brom,28,1981,10,8,703,7.8,1,0,1,1,0,0,1,1,0.13,0,0.13,0.13,0.13,Matches,23ca89f2
270,Hérita Ilunga,cd COD,DF,West Ham,28,1982,11,10,866,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,1550f0e0
271,Stephen Ireland,ie IRL,MF,Aston Villa,23,1986,10,6,504,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,bcf30f17
272,Stephen Ireland,ie IRL,MF,Newcastle,23,1986,2,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bcf30f17
273,Branislav Ivanović,rs SRB,DF,Chelsea,26,1984,34,32,2827,31.4,4,4,8,4,0,0,12,0,0.13,0.13,0.25,0.13,0.25,Matches,85f8571a
274,Jussi Jääskeläinen,fi FIN,GK,Bolton,35,1975,35,35,3097,34.4,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches,340d2a24
275,Lars Jacobsen,dk DEN,DF,West Ham,30,1979,24,22,1994,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bef72e41
276,Phil Jagielka,eng ENG,DFMF,Everton,27,1982,33,31,2796,31.1,1,0,1,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches,3233eefd
277,Gonzalo Jara,cl CHI,DFMF,West Brom,24,1985,29,24,2106,23.4,1,0,1,1,0,0,6,1,0.04,0,0.04,0.04,0.04,Matches,9b1b4782
278,Matthew Jarvis,eng ENG,MF,Wolves,24,1986,37,34,3049,33.9,4,6,10,4,0,0,2,0,0.12,0.18,0.3,0.12,0.3,Matches,02d6d2b4
279,Jermaine Jenas,eng ENG,MF,Tottenham,27,1983,19,14,1322,14.7,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches,3149f712
280,Cameron Jerome,eng ENG,FW,Birmingham City,23,1986,34,30,2648,29.4,3,6,9,3,0,0,2,0,0.1,0.2,0.31,0.1,0.31,Matches,680fb5ee
281,Park Ji-sung,kr KOR,MF,Manchester Utd,29,1981,15,13,1080,12,5,3,8,5,0,0,1,0,0.42,0.25,0.67,0.42,0.67,Matches,3de4cb30
282,Martin Jiránek,cz CZE,DF,Birmingham City,31,1979,10,10,781,8.7,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches,eb005dc3
283,Jô,br BRA,FW,Manchester City,23,1987,12,3,348,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e47d11f8
284,Adam Johnson,eng ENG,MF,Manchester City,23,1987,31,15,1542,17.1,4,5,9,4,0,0,2,0,0.23,0.29,0.53,0.23,0.53,Matches,1ba61951
285,Andrew Johnson,eng ENG,FW,Fulham,29,1981,27,15,1559,17.3,3,3,6,3,0,0,3,0,0.17,0.17,0.35,0.17,0.35,Matches,facd1b3e
286,Eddie Johnson,us USA,FW,Fulham,26,1984,11,1,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3552c7f5
287,Glen Johnson,eng ENG,DF,Liverpool,25,1984,28,28,2437,27.1,2,2,4,2,0,0,4,0,0.07,0.07,0.15,0.07,0.15,Matches,8cceca90
288,Roger Johnson,eng ENG,DF,Birmingham City,27,1983,38,38,3375,37.5,2,1,3,2,0,0,5,0,0.05,0.03,0.08,0.05,0.08,Matches,f6e08a82
289,David Jones,eng ENG,MF,Wolves,25,1984,12,11,951,10.6,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches,2f0edbe7
290,Jermaine Jones,us USA,MF,Blackburn,28,1981,15,15,1291,14.3,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches,0c577541
291,Kenwyne Jones,tt TRI,FW,Stoke City,25,1984,34,33,2782,30.9,9,0,9,9,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches,5f3b634e
292,Phil Jones,eng ENG,DFMF,Blackburn,18,1992,26,24,2175,24.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,def899bd
293,Nigel de Jong,nl NED,MF,Manchester City,25,1984,32,30,2610,29,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matches,a0e209bc
294,Milan Jovanović,rs SRB,FWMF,Liverpool,29,1981,10,5,460,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,bd89b75e
295,Younès Kaboul,fr FRA,DF,Tottenham,24,1986,21,19,1632,18.1,1,1,2,1,0,0,2,1,0.06,0.06,0.11,0.06,0.11,Matches,3680d723
296,Gaël Kakuta,cd COD,FWMF,Chelsea,19,1991,5,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5b1bf5e3
297,Gaël Kakuta,cd COD,FWMF,Fulham,19,1991,7,2,237,2.6,1,0,1,1,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches,5b1bf5e3
298,Nikola Kalinić,hr CRO,FW,Blackburn,22,1988,18,15,1061,11.8,5,1,6,5,0,0,2,1,0.42,0.08,0.51,0.42,0.51,Matches,d4931a5a
299,Salomon Kalou,ci CIV,FWMF,Chelsea,24,1985,31,16,1570,17.4,10,3,13,10,0,0,1,0,0.57,0.17,0.75,0.57,0.75,Matches,2042d931
300,Diomansy Kamara,sn SEN,FW,Fulham,29,1980,10,7,535,5.9,2,0,2,2,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches,71e8454e
301,Robbie Keane,ie IRL,FW,Tottenham,30,1980,7,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f45e1bb2
302,Robbie Keane,ie IRL,FW,West Ham,30,1980,9,5,486,5.4,2,0,2,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches,f45e1bb2
303,Dekel Keinan,il ISR,DF,Blackpool,25,1984,6,3,399,4.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,8e3c9fb3
304,Martin Kelly,eng ENG,DFMF,Liverpool,20,1990,11,10,860,9.6,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches,d7492450
305,Stephen Kelly,ie IRL,DF,Fulham,26,1983,10,8,729,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d7dd756
306,Andy Keogh,ie IRL,FWMF,Wolves,24,1986,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c7e84594
307,Michael Kightly,eng ENG,FWMF,Wolves,24,1986,4,1,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,26e5c484
308,Ledley King,eng ENG,DFMF,Tottenham,29,1980,6,6,493,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,83ca192d
309,Richard Kingson,gh GHA,GK,Blackpool,32,1978,20,19,1695,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,05380aa0
310,Chris Kirkland,eng ENG,GK,Wigan Athletic,29,1981,4,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,710265d2
311,Ivan Klasnić,hr CRO,FW,Bolton,30,1980,22,0,335,3.7,4,1,5,4,0,0,3,2,1.07,0.27,1.34,1.07,1.34,Matches,214ed478
312,Zat Knight,eng ENG,DF,Bolton,30,1980,34,34,2996,33.3,1,0,1,1,0,0,6,0,0.03,0,0.03,0.03,0.03,Matches,607efc45
313,Aleksandar Kolarov,rs SRB,DF,Manchester City,24,1985,24,20,1719,19.1,1,0,1,1,0,0,7,1,0.05,0,0.05,0.05,0.05,Matches,eda40760
314,Vincent Kompany,be BEL,DF,Manchester City,24,1986,37,37,3330,37,0,1,1,0,0,0,6,0,0,0.03,0.03,0,0.03,Matches,d2bff301
315,Paul Konchesky,eng ENG,DFFW,Fulham,29,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,941bcf75
316,Paul Konchesky,eng ENG,DFFW,Liverpool,29,1981,15,15,1246,13.8,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches,941bcf75
