,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tosin Adarabioyo,eng ENG,DF,Manchester City,19,1997,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c81d773d
2,Victor Adeboyejo,eng ENG,FW,Chelsea,19,1998,2,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3c24495
3,Bobby Adekanye,nl NED,MFFW,Liverpool,18,1999,14,5,545,6.1,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,3ed84b2c
4,Dennis Adeniran,eng ENG,MFFW,Everton,18,1999,10,10,697,7.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,506eff98
5,Dapo Afolayan,eng ENG,MFFW,West Ham,19,1997,8,6,491,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5054c359
6,Olatunji Akinola,eng ENG,DF,West Ham,18,1998,17,17,1501,16.7,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,f148e802
7,Chuba Akpom,eng ENG,FWMF,Arsenal,21,1995,6,6,512,5.7,2,1,3,2,0,0,0,0,0.35,0.18,0.53,0.35,0.53,Matches,e2b384d2
8,Ajibola Alese,eng ENG,DF,West Ham,16,2001,5,4,431,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,182a8b9d
9,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd1acf9d
10,Chris Allan,eng ENG,MFFW,Sunderland,18,1998,10,5,513,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd929bce
