,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,George Abbott,eng ENG,MFDF,Tottenham,17,2005,12,9,852,9.5,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches,56628958
2,Zach Abbott,eng ENG,DFMF,Nottingham,17,2006,20,20,1800,20.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,c103921a
3,Hamid Abdul-Salam,SUD,MFDF,Reading FC,19,2003,10,5,549,6.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d85252e3
4,Ken Aboh,eng ENG,FW,Norwich City,18,2004,15,14,1228,13.6,11,0,11,8,3,3,3,0,0.81,0.00,0.81,0.59,0.59,Matches,282cee33
5,Kelvin Abrefa,eng ENG,DF,Reading FC,19,2003,8,6,575,6.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
6,Derrick Abu,eng ENG,DFMF,Southampton,19,2003,11,10,813,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,a6f0688b
7,Joshua Acheampong,eng ENG,MF,Chelsea,17,2006,3,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b7e62e1d
8,Josh Adam,sct SCO,MFFW,Manchester City,19,2004,16,12,1083,12.0,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,Matches,6ab21101
9,Tayo Adaramola,ie IRL,DF,Crystal Palace,19,2003,4,3,298,3.3,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,c150b220
10,Emmanuel Adegboyega,ie IRL,DF,Norwich City,19,2003,9,8,765,8.5,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,45dde494
11,Dean Adekoya,eng ENG,FW,Stoke City,17,2006,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff060d9f
12,Emeka Adiele,,MF,West Ham,,,2,1,126,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fb28e0ea
13,Mohamed Adli,jo JOR,GK,Southampton,18,2004,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce178e4c
14,Chisom Afoka,eng ENG,MFFW,Aston Villa,19,2003,13,6,562,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,515507a7
15,Asher Agbinone,eng ENG,MF,Crystal Palace,17,2005,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a10efb3
16,Brandon Aguilera,cr CRC,FWMF,Nottingham,20,2003,7,7,573,6.4,3,1,4,3,0,0,1,0,0.47,0.16,0.63,0.47,0.63,Matches,938fa024
17,Terrell Agyemang,eng ENG,MFDF,Middlesbrough,20,2002,9,9,718,8.0,0,2,2,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,3f7700d8
18,Joshua Ajala,eng ENG,FW,West Ham,16,2006,4,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1efb5369
