,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,George Abbott,eng ENG,MF,Tottenham,18,2005,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,56628958
2,Zach Abbott,eng ENG,DF,Nottingham,18,2006,16,16,1440,16.0,2,0,2,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,c103921a
3,Ahmed Abdullahi,ng NGA,FW,Sunderland,20,2004,1,1,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,8073edf4
4,Ken Aboh,eng ENG,FW,Norwich City,19,2004,3,3,270,3.0,1,4,5,1,0,0,0,0,0.33,1.33,1.67,0.33,1.67,Matches,282cee33
5,Kelvin Abrefa,eng ENG,MF,Reading FC,20,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
6,Derrick Abu,eng ENG,DFMF,Southampton,20,2003,16,15,1306,14.5,1,5,6,1,0,0,3,1,0.07,0.34,0.41,0.07,0.41,Matches,a6f0688b
7,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,5,4,363,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,b7e62e1d
8,Prince Acheampong,,MFDF,Middlesbrough,,,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5d536c91
9,Dean Adekoya,eng ENG,FW,Stoke City,18,2006,10,7,693,7.7,1,1,2,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,Matches,ff060d9f
10,Theodore Adelusi,eng ENG,DF,Norwich City,17,2007,9,6,597,6.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,5b67854d
11,Miracle Adewole,eng ENG,DF,Tottenham,16,2007,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1340d1b1
12,Emeka Adiele,,MFFW,West Ham,,,13,12,1026,11.4,3,0,3,3,0,0,3,1,0.26,0.00,0.26,0.26,0.26,Matches,fb28e0ea
13,Charles Agbawodikeizu,,FW,Derby County,,,4,1,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01be6dc0
14,Asher Agbinone,eng ENG,FWMF,Crystal Palace,18,2005,5,5,389,4.3,2,0,2,2,0,0,3,0,0.46,0.00,0.46,0.46,0.46,Matches,6a10efb3
15,Sydney Agina,ke KEN,DF,Stoke City,16,2007,8,5,497,5.5,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches,41d6cf4e
16,Demiane Agustien,nl NED,MF,Derby County,17,2007,7,3,350,3.9,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,2fa1d0f7
17,Terrell Agyemang,eng ENG,MFDF,Middlesbrough,21,2002,2,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f7700d8
