,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Azeem Abdulai,sct SCO,DF,Leicester City,17,2002,5,2,230,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a0893a41
2,Dennis Adeniran,eng ENG,MF,Everton,21,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,506eff98
3,Dapo Afolayan,eng ENG,FWMF,West Ham,22,1997,11,11,962,10.7,5,2,7,3,2,2,2,0,0.47,0.19,0.65,0.28,0.47,Matches,5054c359
4,David Agbontohoma,eng ENG,DF,Southampton,18,2001,16,13,1037,11.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e56c5673
5,Osazee Aghatise,eng ENG,MFFW,Derby County,17,2002,9,6,481,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,fff20409
6,Olatunji Akinola,eng ENG,DF,West Ham,21,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f148e802
7,Tim Akinola,eng ENG,MF,Arsenal,19,2001,22,19,1625,18.1,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,e8cd04a6
8,Ryan Alebiosu,ng NGA,DFMF,Arsenal,18,2001,18,17,1481,16.5,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,ce048fb8
9,Ajibola Alese,eng ENG,DF,West Ham,19,2001,4,4,234,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,182a8b9d
10,Kyle Alex John,eng ENG,DF,Everton,19,2001,16,16,1328,14.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c9093a1a
11,Steven Alzate,co COL,MF,Brighton,21,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ad1f61f3
12,Joseph Anang,gh GHA,GK,West Ham,20,2000,19,19,1675,18.6,0,1,1,0,0,0,0,1,0.00,0.05,0.05,0.00,0.05,Matches,21a866b7
13,Joe Anderson,eng ENG,DF,Everton,19,2001,20,17,1543,17.1,1,3,4,1,0,0,7,0,0.06,0.17,0.23,0.06,0.23,Matches,19a890ba
14,Florin Andone,ro ROU,FW,Brighton,27,1993,1,1,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc008610
15,Faustino Anjorin,eng ENG,MFFW,Chelsea,18,2001,10,9,753,8.4,4,4,8,3,1,2,1,0,0.48,0.48,0.96,0.36,0.84,Matches,b105919e
16,Louie Annesley,gi GIB,DFMF,Blackburn,20,2000,18,17,1501,16.7,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches,88ddc295
17,Keenan Appiah-Forson,eng ENG,MF,West Ham,18,2001,17,16,1372,15.2,3,0,3,3,0,0,4,0,0.20,0.00,0.20,0.20,0.20,Matches,270c700c
18,Dempsey Arlott-John,eng ENG,MF,Leicester City,18,2001,7,1,262,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,81f5774b
19,Harrison Ashby,sct SCO,DF,West Ham,18,2001,5,5,374,4.2,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches,b391383a
20,Ossama Ashley,eng ENG,MFFW,West Ham,19,2000,10,7,482,5.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,6da942ce
21,Ryan Astley,wls WAL,DF,Everton,18,2001,16,16,1440,16.0,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,0eb884e1
22,Brandon Austin,eng ENG,GK,Tottenham,21,1999,8,8,708,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e253986
23,Zach Awe,eng ENG,MFDF,Arsenal,16,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a0ae4f0
24,Daniel Ayala,es ESP,DF,Blackburn,29,1990,2,2,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,302560a0
25,Miguel Azeez,eng ENG,MF,Arsenal,17,2002,15,11,1097,12.2,1,2,3,1,0,0,2,0,0.08,0.16,0.25,0.08,0.25,Matches,660e71be
26,Goran Babic,eng ENG,MF,Southampton,16,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d44e7d1d
27,Alex Baker,eng ENG,FW,Blackburn,17,2003,5,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b115732c
28,Fabián Balbuena,py PAR,MF,West Ham,28,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3626f7d9
29,Daniel Ballard,nir NIR,DF,Arsenal,20,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38f300f3
30,Thierno Ballo,at AUT,MFFW,Chelsea,18,2002,21,17,1520,16.9,7,4,11,7,0,0,5,0,0.41,0.24,0.65,0.41,0.65,Matches,d32daf5d
31,Folarin Balogun,us USA,FW,Arsenal,19,2001,18,18,1554,17.3,8,2,10,8,0,0,5,1,0.46,0.12,0.58,0.46,0.58,Matches,31822f8c
32,Tudor Băluță,ro ROU,DF,Brighton,21,1999,1,1,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,ed33f42d
33,Beni Baningime,,MF,Everton,21,1998,13,13,1170,13.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9178af
34,Jamal Baptiste,eng ENG,DF,West Ham,16,2003,20,20,1800,20.0,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,41d3704d
35,Max Bardell,eng ENG,DFMF,Derby County,17,2002,10,7,710,7.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c683914c
36,Sam Barnes,eng ENG,DF,Blackburn,19,2001,18,17,1595,17.7,1,0,1,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,2d3cdd17
37,Lewis Bate,eng ENG,MF,Chelsea,17,2002,20,18,1575,17.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cd4256d3
38,Joseph Bateman,eng ENG,DFMF,Derby County,21,1998,17,15,1373,15.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,77893c61
39,Jack Bearne,eng ENG,MFFW,Liverpool,18,2001,11,10,742,8.2,3,1,4,3,0,0,2,0,0.36,0.12,0.49,0.36,0.49,Matches,3735641b
40,Owen Beck,wls WAL,DFMF,Liverpool,17,2002,19,17,1527,17.0,1,5,6,1,0,0,6,0,0.06,0.29,0.35,0.06,0.35,Matches,a011a1e9
41,Łukasz Bejger,pl POL,DF,Manchester Utd,18,2002,5,3,220,2.4,0,1,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches,76987501
42,Sam Bellis,eng ENG,FWMF,Southampton,17,2002,11,10,893,9.9,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,598f0ae7
43,Elliott Bennett,eng ENG,MF,Blackburn,31,1988,2,2,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02c9ea40
44,Lucas Bergström,fi FIN,GK,Chelsea,17,2002,8,8,644,7.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,b59c2a92
45,Adrian Bernabe,es ESP,DFFW,Manchester City,19,2001,14,13,1085,12.1,2,7,9,2,0,0,2,1,0.17,0.58,0.75,0.17,0.75,Matches,548672b4
46,Di'Shon Bernard,jm JAM,DF,Manchester Utd,19,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c21da05c
47,Krystian Bielik,pl POL,MF,Derby County,22,1998,2,2,155,1.7,0,1,1,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,Matches,8e0ec853
48,Max Bird,eng ENG,MF,Derby County,19,2000,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46d27ca0
49,Nathan Bishop,eng ENG,GK,Manchester Utd,20,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf713136
50,Oscar Bobb,no NOR,FW,Manchester City,17,2003,2,2,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eed2427e
51,Tolaji Bola,eng ENG,DFMF,Arsenal,21,1999,9,7,652,7.2,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,c260bdd6
52,Marko Borkovic,eng ENG,DF,Derby County,16,2004,3,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ac436d6
53,Jamie Bowden,ie IRL,MFDF,Tottenham,19,2001,15,11,972,10.8,2,1,3,1,1,2,4,0,0.19,0.09,0.28,0.09,0.19,Matches,9a5675c9
54,Josh Bowler,eng ENG,FWMF,Everton,21,1999,6,6,523,5.8,3,2,5,2,1,1,0,0,0.52,0.34,0.86,0.34,0.69,Matches,ea39a081
55,Morgan Boyes,wls WAL,DFMF,Liverpool,19,2001,10,10,817,9.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,1cda07f1
56,Jayden Braaf,nl NED,MF,Manchester City,17,2002,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c609e90e
57,Conor Bradley,nir NIR,DF,Liverpool,17,2003,14,14,1236,13.7,1,1,2,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,Matches,bbd67769
58,Jarrad Branthwaite,eng ENG,DF,Everton,18,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1949191
59,Sammy Braybrooke,eng ENG,MF,Leicester City,16,2004,3,2,213,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9f684e25
60,Kian Breckin,eng ENG,MF,Manchester City,16,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce3ed70d
61,Luke Brennan,eng ENG,FWMF,Blackburn,18,2001,8,7,639,7.1,2,2,4,2,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches,81ef454b
62,Nathan Broadhead,wls WAL,FWMF,Everton,22,1998,18,18,1496,16.6,11,3,14,9,2,2,1,0,0.66,0.18,0.84,0.54,0.72,Matches,43309491
63,Archie Brown,eng ENG,DFMF,Derby County,18,2002,18,17,1552,17.2,0,4,4,0,0,0,8,0,0.00,0.23,0.23,0.00,0.23,Matches,028b8d59
64,Charlie Brown,eng ENG,FW,Chelsea,20,1999,3,1,125,1.4,1,0,1,1,0,0,0,0,0.72,0.00,0.72,0.72,0.72,Matches,44f87ad3
65,Jordan Brown,eng ENG,DFMF,Derby County,19,2001,16,16,1440,16.0,2,0,2,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,f5f4fdd2
66,John Buckley,eng ENG,MF,Blackburn,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3ac41b5
67,Ethan Burnett,eng ENG,MF,Southampton,18,2001,13,12,1083,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5bd4f212
68,Finley Burns,eng ENG,DF,Manchester City,17,2003,16,14,1252,13.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,bebe4df1
69,Sam Burns,eng ENG,FW,Blackburn,17,2002,21,19,1739,19.3,7,3,10,6,1,1,3,0,0.36,0.16,0.52,0.31,0.47,Matches,2d88cb9a
70,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,17,2003,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a686640
71,Luke Butterfield,sct SCO,MF,Everton,16,2003,6,3,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffdb1087
72,Daniel Butterworth,eng ENG,MFFW,Blackburn,20,1999,6,6,403,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5564eb4f
