,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Chelsea,20,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f586779e
2,Bobby Adekanye,nl NED,MFFW,Liverpool,19,1999,9,8,729,8.1,1,2,3,1,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches,3ed84b2c
3,Dennis Adeniran,eng ENG,MFFW,Everton,19,1999,22,20,1797,20.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,506eff98
4,Dapo Afolayan,eng ENG,MF,West Ham,20,1997,5,2,202,2.2,2,1,3,2,0,0,0,0,0.89,0.45,1.34,0.89,1.34,Matches,5054c359
5,Soufyan Ahannach,nl NED,MF,Brighton,22,1995,7,5,486,5.4,1,1,2,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches,c79753bf
6,Olatunji Akinola,eng ENG,DF,West Ham,19,1998,11,8,667,7.4,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches,f148e802
7,Charlie Albinson,eng ENG,GK,Blackburn,21,1996,7,6,549,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,298ea5cc
8,Ajibola Alese,eng ENG,DF,West Ham,17,2001,14,14,1215,13.5,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,182a8b9d
9,Kyle Alex John,eng ENG,DF,Everton,17,2001,4,2,210,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c9093a1a
10,Taylor Allen,eng ENG,FW,Leicester City,18,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c56e6e
11,Steven Alzate,co COL,MF,Brighton,19,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad1f61f3
12,Xavier Amaechi,eng ENG,MFFW,Arsenal,17,2001,14,13,1145,12.7,4,5,9,4,0,0,0,0,0.31,0.39,0.71,0.31,0.71,Matches,1b95524b
13,Efe Ambrose,ng NGA,DF,Derby County,29,1988,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31e86a0f
14,Luke Amos,eng ENG,MF,Tottenham,21,1997,3,3,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77128f7e
15,Ethan Ampadu,wls WAL,DFMF,Chelsea,17,2000,7,7,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,10b9fa99
16,Joseph Anang,gh GHA,GK,West Ham,18,2000,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21a866b7
17,Curtis Anderson,eng ENG,GK,Manchester City,17,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,207f1684
18,Florin Andone,ro ROU,FW,Brighton,25,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc008610
19,Faustino Anjorin,eng ENG,FWMF,Chelsea,16,2001,7,3,378,4.2,2,0,2,2,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,b105919e
20,Louie Annesley,gi GIB,DFMF,Blackburn,18,2000,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,88ddc295
21,Ikechi Anya,sct SCO,DFMF,Derby County,30,1988,5,5,376,4.2,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,c55e973d
22,Keenan Appiah-Forson,eng ENG,FWMF,West Ham,16,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,270c700c
23,Joel Asoro,se SWE,MFFW,Swansea City,19,1999,2,2,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13e827f8
24,Ryan Astley,wls WAL,DFMF,Everton,16,2001,11,11,969,10.8,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,0eb884e1
25,Brandon Austin,eng ENG,GK,Tottenham,19,1999,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e253986
26,Alex Babos,wls WAL,MFFW,Derby County,19,1998,11,11,929,10.3,1,1,2,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,Matches,35ee7925
27,Courtney Baker-Richardson,eng ENG,FW,Swansea City,22,1995,2,2,153,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e2edcd1
28,Fabián Balbuena,py PAR,DF,West Ham,26,1991,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3626f7d9
29,Daniel Ballard,nir NIR,DF,Arsenal,18,1999,18,17,1474,16.4,1,0,1,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,Matches,38f300f3
30,Folarin Balogun,us USA,FW,Arsenal,17,2001,5,0,85,0.9,1,0,1,1,0,0,1,0,1.06,0.00,1.06,1.06,1.06,Matches,31822f8c
31,Beni Baningime,,MF,Everton,19,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9178af
32,Ben Barclay,eng ENG,DF,Brighton,21,1996,12,12,1080,12.0,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,17dff2e1
33,Dylan Barkers,eng ENG,MFDF,Leicester City,18,2000,2,2,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90817d76
34,Joshua Barnes,eng ENG,GK,Derby County,20,1997,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6293ff8
35,Sam Barnes,eng ENG,MF,Blackburn,17,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d3cdd17
36,Mason Barrett,eng ENG,DF,West Ham,18,1999,14,10,934,10.4,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,539455f1
37,Calvin Bassey,ng NGA,DF,Leicester City,18,1999,13,8,811,9.0,1,1,2,1,0,0,0,2,0.11,0.11,0.22,0.11,0.22,Matches,a36524bf
38,Joseph Bateman,eng ENG,DFMF,Derby County,19,1998,13,13,1070,11.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,77893c61
39,Jack Bearne,eng ENG,FW,Liverpool,16,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3735641b
40,Kristijan Belic,rs SRB,MF,West Ham,17,2001,3,1,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,999f20b3
41,Yohan Benalouane,tn TUN,DF,Leicester City,31,1987,5,5,418,4.6,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,8309b068
42,Steven Benda,de GER,GK,Swansea City,19,1998,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,caaa7fab
43,Filip Benković,hr CRO,DF,Leicester City,21,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,305a3820
44,Adrian Bernabe,es ESP,MFFW,Manchester City,17,2001,16,14,1125,12.5,3,3,6,3,0,0,2,0,0.24,0.24,0.48,0.24,0.48,Matches,548672b4
45,Botti Biabi,sct SCO,FW,Swansea City,22,1996,13,10,852,9.5,5,0,5,5,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,6109c856
46,Krystian Bielik,pl POL,DF,Arsenal,20,1998,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,8e0ec853
47,Luis Binks,eng ENG,DF,Tottenham,16,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,36e88fbc
48,Max Bird,eng ENG,MFFW,Derby County,17,2000,11,9,838,9.3,2,0,2,2,0,0,0,1,0.21,0.00,0.21,0.21,0.21,Matches,46d27ca0
49,Ryan Blair,sct SCO,MFDF,Swansea City,22,1996,8,7,644,7.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f84ad5a6
50,Matthew Blake,eng ENG,DF,Swansea City,18,1999,6,6,538,6.0,1,4,5,1,0,0,2,1,0.17,0.67,0.84,0.17,0.84,Matches,7342d4a7
51,Tolaji Bola,eng ENG,DFMF,Arsenal,19,1999,9,9,785,8.7,0,1,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,c260bdd6
