,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Zach Abbott,eng ENG,DF,Nottingham,19,2006,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c103921a
2,Ahmed Abdullahi,ng NGA,FW,Sunderland,21,2004,3,3,185,2.1,4,0,4,4,0,0,0,0,1.95,0.00,1.95,1.95,1.95,Matches,8073edf4
3,Ken Aboh,eng ENG,MFFW,Norwich City,20,2004,7,7,630,7.0,2,2,4,2,0,0,1,0,0.29,0.29,0.57,0.29,0.57,Matches,282cee33
4,Kelvin Abrefa,eng ENG,DF,Reading FC,21,2003,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
5,Abdul Abudu,,DF,West Brom,,,9,6,586,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26e12e8b
6,Prince Acheampong,,MFDF,Middlesbrough,,,7,6,468,5.2,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,5d536c91
7,Tristan Achu,eng ENG,MFDF,Stoke City,16,2008,4,3,291,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9967c088
8,Kai Adams-Collman,,DF,Crystal Palace,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bcc34f5e
9,Afi Adebayo,ie IRL,MFFW,Ipswich Town,18,2007,7,3,245,2.7,2,0,2,2,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,9ba08dbd
10,Emmanuel Adegboyega,ie IRL,DF,Norwich City,21,2003,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,45dde494
11,Noah Adekoya,eng ENG,DF,Liverpool,18,2006,4,3,334,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,d2c3f844
12,Theodore Adelusi,eng ENG,DF,Norwich City,18,2007,18,18,1610,17.9,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,5b67854d
13,Miracle Adewole,eng ENG,DF,Tottenham,17,2007,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1340d1b1
14,Emeka Adiele,,MFFW,West Ham,,,10,10,851,9.5,2,6,8,2,0,0,0,1,0.21,0.63,0.85,0.21,0.85,Matches,fb28e0ea
15,Hansel Afriyie,eng ENG,DF,Southampton,17,2008,10,8,609,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8d9eb990
16,Asher Agbinone,eng ENG,MF,Crystal Palace,19,2005,9,6,528,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,6a10efb3
17,Sydney Agina,ke KEN,DF,Stoke City,17,2007,8,7,643,7.1,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,41d6cf4e
18,Demiane Agustien,nl NED,MF,Arsenal,18,2007,15,11,1010,11.2,4,0,4,4,0,0,4,0,0.36,0.00,0.36,0.36,0.36,Matches,2fa1d0f7
19,Enock Agyei,be BEL,MF,Burnley,20,2005,3,3,205,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a1dd3b81
20,Naouirou Ahamada,fr FRA,MF,Crystal Palace,23,2002,2,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,a6c58494
21,Ashqar Ahmed,,DFMF,Reading FC,,,5,5,405,4.5,2,0,2,2,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches,aa0e5f3f
22,Kareem Ahmed,eg EGY,FW,Liverpool,18,2007,4,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b534d58
23,Yusuf Ahmed,eng ENG,MFFW,Birmingham City,18,2007,10,9,748,8.3,0,1,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,10beb30b
24,Emmanuel Airoboma,eng ENG,DF,Liverpool,18,2007,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e70229ff
25,Joshua Ajala,eng ENG,MFFW,West Ham,18,2006,14,13,1071,11.9,7,5,12,7,0,1,0,0,0.59,0.42,1.01,0.59,1.01,Matches,1efb5369
26,Noah Ajayi,de GER,FW,Manchester Utd,16,2008,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cffaf63c
27,Romeo Akachukwu,ie IRL,MFFW,Southampton,19,2006,11,11,954,10.6,3,3,6,3,0,0,0,0,0.28,0.28,0.57,0.28,0.57,Matches,e964b8f3
28,Demi Akarakiri,eng ENG,MF,Everton,16,2008,10,7,615,6.8,2,0,2,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,a05dac22
29,Yusuf Akhamrich,eng ENG,MF,Tottenham,19,2005,9,9,806,9.0,2,2,4,2,0,0,2,0,0.22,0.22,0.45,0.22,0.45,Matches,e19dc888
30,Tyron Akpata,eng ENG,MFDF,West Ham,18,2006,14,7,667,7.4,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,e1bfc002
