,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,George Abbott,eng ENG,DF,Tottenham,16,2005,9,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56628958
2,Terry Ablade,fi FIN,FW,Fulham,20,2001,20,14,1293,14.4,6,0,6,6,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,d524dcd7
3,Derrick Abu,eng ENG,DF,Chelsea,18,2003,8,7,598,6.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,a6f0688b
4,Derrick Abu,eng ENG,MF,Crystal Palace,18,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6f0688b
5,Josh Adam,sct SCO,MFFW,Manchester City,18,2004,22,8,877,9.7,4,0,4,4,0,1,1,0,0.41,0.00,0.41,0.41,0.41,Matches,6ab21101
6,Tayo Adaramola,ie IRL,DFMF,Crystal Palace,18,2003,21,21,1879,20.9,0,3,3,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,c150b220
7,Joshua Addae,,DF,Crystal Palace,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f54da680
8,Michael Agboola,eng ENG,MF,Wolves,20,2001,2,0,42,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fc1aed36
9,Terrell Agyemang,eng ENG,DF,Manchester City,19,2002,12,5,531,5.9,0,2,2,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,3f7700d8
10,Oyindamola Ajayi,eng ENG,MF,Tottenham,16,2005,6,2,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3a6f5a3
11,Yusuf Akhamrich,eng ENG,MF,Tottenham,16,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e19dc888
12,Tim Akinola,eng ENG,MF,Arsenal,21,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8cd04a6
13,Victor Akinwale,eng ENG,FW,Crystal Palace,17,2004,25,16,1500,16.7,6,1,7,5,1,2,4,0,0.36,0.06,0.42,0.30,0.36,Matches,e47e2386
14,Travis Akomeah,eng ENG,DF,Chelsea,16,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,27737745
15,Kyle Alex John,eng ENG,DF,Everton,21,2001,16,15,1358,15.1,1,3,4,1,0,0,3,0,0.07,0.20,0.27,0.07,0.27,Matches,c9093a1a
16,Mirsad Ali,eng ENG,DF,Leicester City,16,2006,5,4,366,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7c79cc59
