,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tosin Adarabioyo,eng ENG,DF,Manchester City,18,1997,15,15,1350,15.0,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,c81d773d
2,Jonathan Afolabi,ie IRL,FW,Southampton,16,2000,5,2,172,1.9,1,0,1,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches,d87e664d
3,Liam Agnew,eng ENG,MF,Sunderland,21,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0b93efcd
4,Ola Aina,ng NGA,DFMF,Chelsea,19,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,246d153b
5,Chuba Akpom,eng ENG,FWMF,Arsenal,20,1995,4,4,300,3.3,3,1,4,3,0,0,0,0,0.90,0.30,1.20,0.90,1.20,Matches,e2b384d2
6,Trent Alexander-Arnold,eng ENG,DFMF,Liverpool,17,1998,12,12,1072,11.9,4,4,8,4,0,0,3,0,0.34,0.34,0.67,0.34,0.67,Matches,cd1acf9d
7,Mukhtar Ali,sa KSA,MF,Chelsea,18,1997,8,6,498,5.5,2,1,3,1,1,1,0,0,0.36,0.18,0.54,0.18,0.36,Matches,d40cff47
8,Thierry Ambrose,gp GLP,FWMF,Manchester City,19,1997,8,4,428,4.8,5,0,5,5,0,0,0,0,1.05,0.00,1.05,1.05,1.05,Matches,2945f4b7
9,Luke Amos,eng ENG,MF,Tottenham,19,1997,14,14,1225,13.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,77128f7e
10,Angeliño,es ESP,DFMF,Manchester City,19,1997,6,6,540,6.0,0,1,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,30941e96
11,Shane Anthony Griffin,ie IRL,DF,Reading,21,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d9bae961
